Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,128,Phetchabun,THA,Thailand,16.4189970712,101.159001653,7,121.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,21.8,88.48,0.0,0.0,0.0,334.84,1.72,73.0,1006.24,
2006,1,1,1,22.37,87.11,0.0,0.0,0.0,341.67,1.97,71.0,1006.11,
2006,1,1,2,22.95,85.74,0.0,0.0,0.0,348.5,2.22,69.0,1005.98,
2006,1,1,3,23.53,84.37,0.0,0.0,0.0,355.33,2.46,67.0,1005.85,
2006,1,1,4,24.1,83.0,0.0,0.0,0.0,362.16,2.71,70.0,1006.24,
2006,1,1,5,24.68,81.63,0.0,0.0,0.0,368.99,2.96,72.0,1006.63,
2006,1,1,6,25.26,80.26,0.0,0.0,0.0,375.82,3.2,74.0,1007.03,
2006,1,1,7,25.83,78.89,0.0,0.0,0.0,382.65,3.45,63.0,1002.0,
2006,1,1,8,26.41,77.52,162.0,412.17,72.0,389.48,3.69,65.0,1002.59,
2006,1,1,9,26.99,76.15,392.0,689.37,103.0,396.31,3.94,67.0,1003.18,
2006,1,1,10,27.56,74.78,581.0,758.57,138.0,403.14,4.19,67.0,1002.43,
2006,1,1,11,28.14,73.4,728.0,824.03,150.0,409.98,4.43,67.0,1001.67,
2006,1,1,12,28.72,72.03,808.0,855.22,155.0,416.81,4.68,66.0,1000.92,
2006,1,1,13,29.29,70.66,800.0,811.91,178.0,423.64,4.93,64.0,1000.16,
2006,1,1,14,29.87,69.29,683.0,622.09,242.0,430.47,5.17,61.0,999.41,
2006,1,1,15,30.82,63.88,589.0,709.89,166.0,412.45,4.21,58.0,998.65,
2006,1,1,16,29.49,69.0,401.0,605.01,138.0,409.25,3.61,57.0,998.98,
2006,1,1,17,28.16,74.11,189.0,444.2,84.0,406.05,3.02,57.0,999.31,
2006,1,1,18,26.83,79.23,0.0,0.0,0.0,402.85,2.43,56.0,999.64,
2006,1,1,19,25.92,83.58,0.0,0.0,0.0,398.97,2.2,59.0,999.83,
2006,1,1,20,25.01,87.92,0.0,0.0,0.0,395.08,1.98,62.0,1000.03,
2006,1,1,21,24.11,92.27,0.0,0.0,0.0,391.2,1.75,65.0,1000.23,
2006,1,1,22,23.34,93.24,0.0,0.0,0.0,388.37,1.77,65.0,1000.33,
2006,1,1,23,22.57,94.21,0.0,0.0,0.0,385.53,1.8,64.0,1000.42,
2006,1,2,0,21.8,95.18,0.0,0.0,0.0,382.7,1.82,63.0,1000.52,
2006,1,2,1,21.76,95.16,0.0,0.0,0.0,384.47,2.07,63.0,1000.29,
2006,1,2,2,21.72,95.13,0.0,0.0,0.0,386.23,2.32,62.0,1000.06,
2006,1,2,3,21.69,95.11,0.0,0.0,0.0,388.0,2.57,62.0,999.83,
2006,1,2,4,21.86,94.75,0.0,0.0,0.0,390.22,2.89,62.0,1000.06,
2006,1,2,5,22.03,94.38,0.0,0.0,0.0,392.43,3.21,63.0,1000.29,
2006,1,2,6,22.2,94.02,0.0,0.0,0.0,394.65,3.53,63.0,1000.52,
2006,1,2,7,24.29,88.19,0.0,0.0,0.0,400.13,3.82,64.0,1000.85,
2006,1,2,8,26.38,82.36,111.0,101.21,89.0,405.62,4.11,65.0,1001.18,
2006,1,2,9,28.46,76.53,385.0,652.21,112.0,411.1,4.4,66.0,1001.51,
2006,1,2,10,29.51,71.42,568.0,702.34,158.0,411.12,4.45,64.0,1000.98,
2006,1,2,11,30.56,66.31,692.0,692.64,206.0,411.13,4.49,62.0,1000.46,
2006,1,2,12,31.61,61.2,791.0,792.94,185.0,411.15,4.54,60.0,999.93,
2006,1,2,13,31.65,60.21,677.0,445.75,335.0,409.42,4.4,57.0,999.11,
2006,1,2,14,31.69,59.22,697.0,661.55,227.0,407.68,4.26,55.0,998.29,
2006,1,2,15,31.73,58.23,592.0,711.01,167.0,405.95,4.12,53.0,997.47,
2006,1,2,16,29.96,65.67,406.0,618.15,136.0,401.38,3.42,56.0,997.73,
2006,1,2,17,28.19,73.11,198.0,498.8,79.0,396.82,2.72,59.0,997.99,
2006,1,2,18,26.42,80.55,0.0,0.0,0.0,392.25,2.01,62.0,998.26,
2006,1,2,19,25.56,83.73,0.0,0.0,0.0,389.02,2.01,65.0,998.52,
2006,1,2,20,24.7,86.9,0.0,0.0,0.0,385.78,2.0,68.0,998.78,
2006,1,2,21,23.85,90.08,0.0,0.0,0.0,382.55,2.0,71.0,999.04,
2006,1,2,22,23.2,91.37,0.0,0.0,0.0,377.73,2.06,69.0,999.08,
2006,1,2,23,22.56,92.67,0.0,0.0,0.0,372.92,2.11,68.0,999.11,
2006,1,3,0,21.92,93.96,0.0,0.0,0.0,368.1,2.17,66.0,999.14,
2006,1,3,1,21.65,94.31,0.0,0.0,0.0,364.8,2.13,65.0,998.85,
2006,1,3,2,21.38,94.67,0.0,0.0,0.0,361.5,2.09,64.0,998.55,
2006,1,3,3,21.11,95.02,0.0,0.0,0.0,358.2,2.06,63.0,998.26,
2006,1,3,4,20.97,95.07,0.0,0.0,0.0,356.52,2.16,64.0,998.55,
2006,1,3,5,20.84,95.12,0.0,0.0,0.0,354.83,2.27,65.0,998.85,
