Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3854,Phuket,THA,Thailand,7.87653342583,98.3815294993,7,7.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2012,1,1,0,26.09,83.81,0.0,0.0,0.0,423.4,6.56,55.0,1010.56,
2012,1,1,1,26.06,83.98,0.0,0.0,0.0,424.54,6.52,56.0,1009.86,
2012,1,1,2,26.03,84.15,0.0,0.0,0.0,425.67,6.48,57.0,1009.16,
2012,1,1,3,26.0,84.32,0.0,0.0,0.0,426.81,6.44,58.0,1008.46,
2012,1,1,4,25.97,84.49,0.0,0.0,0.0,427.95,6.41,60.0,1008.66,
2012,1,1,5,25.94,84.66,0.0,0.0,0.0,429.09,6.37,62.0,1008.86,
2012,1,1,6,25.91,84.82,0.0,0.0,0.0,430.22,6.33,64.0,1009.06,
2012,1,1,7,25.88,84.99,13.0,0.0,13.0,431.36,6.29,55.0,1011.19,
2012,1,1,8,25.85,85.16,24.0,0.0,24.0,432.5,6.25,56.0,1011.83,
2012,1,1,9,25.82,85.33,78.0,0.0,78.0,433.64,6.21,57.0,1012.46,
2012,1,1,10,25.79,85.5,177.0,0.0,177.0,434.77,6.18,59.0,1011.53,
2012,1,1,11,25.76,85.67,289.0,5.24,285.0,435.91,6.14,61.0,1010.59,
2012,1,1,12,25.73,85.83,300.0,2.38,298.0,437.05,6.1,63.0,1009.66,
2012,1,1,13,25.7,86.0,470.0,64.22,415.0,438.19,6.06,64.0,1009.06,
2012,1,1,14,25.67,86.17,314.0,6.17,309.0,439.32,6.02,64.0,1008.46,
2012,1,1,15,26.79,81.13,186.0,0.0,186.0,434.85,6.69,65.0,1007.86,
2012,1,1,16,26.89,81.35,177.0,1.82,176.0,435.85,5.82,66.0,1008.3,
2012,1,1,17,26.99,81.57,107.0,2.84,106.0,436.85,4.95,67.0,1008.73,
2012,1,1,18,27.09,81.79,21.0,0.0,21.0,437.85,4.08,67.0,1009.16,
2012,1,1,19,26.87,82.94,0.0,0.0,0.0,435.63,3.96,70.0,1009.5,
2012,1,1,20,26.65,84.09,0.0,0.0,0.0,433.42,3.84,72.0,1009.83,
2012,1,1,21,26.43,85.24,0.0,0.0,0.0,431.2,3.72,74.0,1010.16,
2012,1,1,22,26.37,85.45,0.0,0.0,0.0,431.52,3.68,75.0,1009.93,
2012,1,1,23,26.31,85.65,0.0,0.0,0.0,431.83,3.63,75.0,1009.69,
2012,1,2,0,26.25,85.86,0.0,0.0,0.0,432.15,3.59,76.0,1009.46,
2012,1,2,1,26.05,86.64,0.0,0.0,0.0,432.35,2.82,77.0,1009.16,
2012,1,2,2,25.86,87.41,0.0,0.0,0.0,432.55,2.06,79.0,1008.86,
2012,1,2,3,25.66,88.19,0.0,0.0,0.0,432.75,1.3,81.0,1008.56,
2012,1,2,4,25.53,89.28,0.0,0.0,0.0,435.83,2.21,83.0,1008.9,
2012,1,2,5,25.41,90.37,0.0,0.0,0.0,438.92,3.12,85.0,1009.23,
2012,1,2,6,25.28,91.46,0.0,0.0,0.0,442.0,4.03,88.0,1009.56,
2012,1,2,7,25.35,91.05,13.0,0.0,13.0,440.75,4.38,87.0,1010.09,
2012,1,2,8,25.42,90.65,21.0,0.0,21.0,439.5,4.73,87.0,1010.63,
2012,1,2,9,25.48,90.24,37.0,0.0,37.0,438.25,5.08,86.0,1011.16,
2012,1,2,10,25.56,89.78,100.0,0.0,100.0,437.15,4.47,89.0,1010.49,
2012,1,2,11,25.65,89.33,477.0,127.11,380.0,436.05,3.87,92.0,1009.83,
2012,1,2,12,25.73,88.87,591.0,204.6,419.0,434.95,3.27,96.0,1009.16,
2012,1,2,13,25.85,88.43,772.0,533.09,315.0,433.75,3.18,97.0,1008.53,
2012,1,2,14,25.98,87.98,791.0,718.14,208.0,432.55,3.09,98.0,1007.9,
2012,1,2,15,26.1,87.54,663.0,651.68,202.0,431.35,3.01,99.0,1007.26,
2012,1,2,16,26.25,87.34,501.0,631.4,153.0,431.02,2.26,95.0,1007.86,
2012,1,2,17,26.4,87.14,289.0,497.6,113.0,430.68,1.51,92.0,1008.46,
2012,1,2,18,26.55,86.94,56.0,77.82,46.0,430.35,0.76,88.0,1009.06,
2012,1,2,19,26.2,87.53,0.0,0.0,0.0,432.8,1.05,94.0,1009.56,
2012,1,2,20,25.86,88.13,0.0,0.0,0.0,435.25,1.35,100.0,1010.06,
2012,1,2,21,25.52,88.72,0.0,0.0,0.0,437.7,1.64,106.0,1010.56,
2012,1,2,22,25.28,90.23,0.0,0.0,0.0,435.13,2.07,106.0,1010.26,
2012,1,2,23,25.05,91.74,0.0,0.0,0.0,432.57,2.51,105.0,1009.96,
