Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4834,Lome,TGO,Togo,6.13193707166,1.22275711936,0,11.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2009,1,1,0,28.27,83.16,0.0,0.0,0.0,408.66,4.49,211.0,1008.65,
2009,1,1,1,28.14,85.5,0.0,0.0,0.0,409.51,4.36,211.0,1008.22,
2009,1,1,2,28.01,87.84,0.0,0.0,0.0,410.36,4.23,210.0,1007.78,
2009,1,1,3,27.89,90.18,0.0,0.0,0.0,411.2,4.1,208.0,1008.02,
2009,1,1,4,27.76,92.52,0.0,0.0,0.0,412.05,3.97,205.0,1008.25,
2009,1,1,5,27.63,94.86,0.0,0.0,0.0,412.9,3.84,203.0,1008.48,
2009,1,1,6,27.5,97.2,0.0,0.0,0.0,413.75,3.72,202.0,1009.05,
2009,1,1,7,27.37,99.54,141.0,194.17,97.0,414.59,3.59,200.0,1009.62,
2009,1,1,8,25.98,88.3,362.0,405.48,182.0,413.15,3.82,199.0,1010.18,
2009,1,1,9,26.12,84.48,556.0,493.53,246.0,414.53,3.77,199.0,1009.85,
2009,1,1,10,26.27,80.66,709.0,543.9,292.0,415.92,3.72,199.0,1009.52,
2009,1,1,11,26.42,76.84,840.0,668.11,272.0,417.3,3.67,198.0,1009.18,
2009,1,1,12,27.15,70.05,876.0,701.16,264.0,418.0,3.61,207.0,1008.28,
2009,1,1,13,27.87,63.26,827.0,684.11,257.0,418.7,3.55,216.0,1007.39,
2009,1,1,14,28.6,56.47,695.0,603.6,252.0,419.4,3.49,225.0,1006.49,
2009,1,1,15,28.34,61.87,508.0,484.71,226.0,418.5,3.92,219.0,1006.79,
2009,1,1,16,28.07,67.27,306.0,390.01,155.0,417.6,4.34,213.0,1007.09,
2009,1,1,17,27.81,72.67,91.0,153.08,66.0,416.7,4.77,208.0,1007.39,
2009,1,1,18,27.93,76.29,0.0,0.0,0.0,415.57,4.89,207.0,1008.28,
2009,1,1,19,28.05,79.9,0.0,0.0,0.0,414.43,5.0,206.0,1009.18,
2009,1,1,20,28.17,83.52,0.0,0.0,0.0,413.3,5.12,205.0,1010.08,
2009,1,1,21,28.14,85.5,0.0,0.0,0.0,412.65,4.92,205.0,1009.98,
2009,1,1,22,28.11,87.47,0.0,0.0,0.0,412.0,4.72,205.0,1009.88,
2009,1,1,23,28.08,89.45,0.0,0.0,0.0,411.35,4.52,205.0,1009.78,
2009,1,2,0,27.84,89.77,0.0,0.0,0.0,411.5,4.21,209.0,1009.62,
2009,1,2,1,27.59,90.09,0.0,0.0,0.0,411.65,3.89,214.0,1009.45,
2009,1,2,2,27.34,90.41,0.0,0.0,0.0,411.8,3.57,218.0,1009.28,
2009,1,2,3,27.24,91.02,0.0,0.0,0.0,411.9,3.59,218.0,1009.35,
2009,1,2,4,27.14,91.64,0.0,0.0,0.0,412.0,3.6,218.0,1009.42,
2009,1,2,5,27.04,92.25,0.0,0.0,0.0,412.1,3.61,218.0,1009.48,
2009,1,2,6,26.74,88.77,0.0,0.0,0.0,412.05,3.49,212.0,1009.98,
2009,1,2,7,26.45,85.28,141.5,226.67,90.45,412.0,3.36,207.0,1010.48,
2009,1,2,8,26.15,81.8,351.25,407.81,170.65,411.95,3.23,201.0,1010.98,
2009,1,2,9,26.07,78.56,561.45,548.38,217.35,410.8,3.09,201.0,1010.65,
2009,1,2,10,25.99,75.33,751.0,666.66,240.0,409.65,2.96,201.0,1010.31,
2009,1,2,11,25.91,72.09,844.85,695.56,253.3,408.5,2.83,202.0,1009.98,
2009,1,2,12,26.37,67.9,895.0,753.18,237.0,407.07,2.88,202.0,1009.08,
2009,1,2,13,26.82,63.72,830.05,690.24,254.1,405.63,2.94,202.0,1008.18,
2009,1,2,14,27.28,59.53,716.0,660.76,230.0,404.2,2.99,202.0,1007.29,
2009,1,2,15,27.22,63.64,526.4,537.74,212.55,405.18,3.25,197.0,1007.65,
2009,1,2,16,27.16,67.74,326.0,472.81,142.0,406.17,3.5,192.0,1008.02,
2009,1,2,17,27.1,71.85,101.4,197.48,68.75,407.15,3.75,186.0,1008.38,
2009,1,2,18,27.2,75.71,0.0,0.0,0.0,407.57,3.59,184.0,1009.25,
2009,1,2,19,27.31,79.58,0.0,0.0,0.0,407.98,3.42,181.0,1010.11,
2009,1,2,20,27.41,83.44,0.0,0.0,0.0,408.4,3.26,179.0,1010.98,
2009,1,2,21,27.29,86.29,0.0,0.0,0.0,408.08,3.02,183.0,1010.78,
2009,1,2,22,27.16,89.14,0.0,0.0,0.0,407.77,2.78,186.0,1010.58,
2009,1,2,23,27.03,91.99,0.0,0.0,0.0,407.45,2.54,190.0,1010.38,
2009,1,3,0,26.97,92.24,0.0,0.0,0.0,407.13,2.47,195.0,1010.05,
2009,1,3,1,26.9,92.5,0.0,0.0,0.0,406.82,2.4,200.0,1009.72,
