Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1275,Sokode,TGO,Togo,8.99047060031,1.14999670269,0,377.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,23.14,30.48,0.0,0.0,0.0,349.26,1.91,356.0,967.67,
2005,1,1,1,22.62,29.73,0.0,0.0,0.0,348.13,1.79,356.0,967.67,
2005,1,1,2,22.1,28.99,0.0,0.0,0.0,347.0,1.67,356.0,967.67,
2005,1,1,3,21.58,28.24,0.0,0.0,0.0,345.87,1.55,1.0,967.96,
2005,1,1,4,21.05,27.49,0.0,0.0,0.0,344.74,1.42,5.0,968.25,
2005,1,1,5,20.53,26.75,0.0,0.0,0.0,343.61,1.3,9.0,968.53,
2005,1,1,6,20.01,26.0,0.0,0.0,0.0,342.48,1.18,13.0,969.33,
2005,1,1,7,19.48,25.25,75.0,141.0,46.0,341.35,1.06,17.0,970.13,
2005,1,1,8,25.66,26.79,308.0,453.11,117.0,335.6,1.64,20.0,970.92,
2005,1,1,9,27.34,24.01,546.0,669.98,141.0,340.77,1.57,20.0,970.41,
2005,1,1,10,29.03,21.23,740.0,785.6,157.0,345.93,1.5,20.0,969.9,
2005,1,1,11,30.71,18.45,875.0,865.48,161.0,351.1,1.43,20.0,969.39,
2005,1,1,12,31.24,18.01,934.0,912.13,161.0,355.25,1.3,13.0,968.53,
2005,1,1,13,31.77,17.56,917.0,946.74,152.0,359.4,1.16,5.0,967.67,
2005,1,1,14,32.3,17.12,815.0,934.62,152.0,363.55,1.02,357.0,966.81,
2005,1,1,15,29.79,22.23,637.0,858.09,158.0,361.45,1.22,345.0,967.1,
2005,1,1,16,27.28,27.33,416.0,761.95,138.0,359.35,1.43,334.0,967.39,
2005,1,1,17,24.76,32.44,177.0,645.8,85.0,357.25,1.63,322.0,967.67,
2005,1,1,18,23.43,33.77,0.0,0.0,0.0,352.23,1.65,325.0,968.53,
2005,1,1,19,22.1,35.09,0.0,0.0,0.0,347.22,1.66,328.0,969.39,
2005,1,1,20,20.77,36.42,0.0,0.0,0.0,342.2,1.68,330.0,970.25,
2005,1,1,21,20.69,35.44,0.0,0.0,0.0,339.15,1.71,336.0,970.16,
2005,1,1,22,20.61,34.45,0.0,0.0,0.0,336.1,1.74,342.0,970.06,
2005,1,1,23,20.52,33.47,0.0,0.0,0.0,333.05,1.77,348.0,969.97,
2005,1,2,0,20.18,31.16,0.0,0.0,0.0,330.6,1.94,353.0,969.65,
2005,1,2,1,19.84,28.84,0.0,0.0,0.0,328.15,2.12,358.0,969.33,
2005,1,2,2,19.5,26.53,0.0,0.0,0.0,325.7,2.3,2.0,969.01,
2005,1,2,3,19.2,26.62,0.0,0.0,0.0,324.67,2.25,7.0,969.2,
2005,1,2,4,18.9,26.7,0.0,0.0,0.0,323.63,2.2,11.0,969.39,
2005,1,2,5,18.6,26.79,0.0,0.0,0.0,322.6,2.15,16.0,969.59,
