Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,15,Monastir,TUN,Tunisia,35.7307021352,10.7672945619,1,3.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2013,1,1,0,11.42,61.96,0.0,0.0,0.0,309.62,2.6,273.0,1012.84,
2013,1,1,1,11.04,63.56,0.0,0.0,0.0,312.52,2.51,330.0,1022.9,
2013,1,1,2,10.67,65.15,0.0,0.0,0.0,315.41,2.43,327.0,1022.47,
2013,1,1,3,10.29,66.75,0.0,0.0,0.0,318.3,2.34,323.0,1022.04,
2013,1,1,4,9.92,68.34,0.0,0.0,0.0,321.2,2.25,320.0,1021.97,
2013,1,1,5,9.54,69.94,0.0,0.0,0.0,324.09,2.17,316.0,1021.9,
2013,1,1,6,9.16,71.53,0.0,0.0,0.0,326.98,2.08,313.0,1021.84,
2013,1,1,7,8.79,73.13,0.0,0.0,0.0,329.88,1.99,295.0,1022.0,
2013,1,1,8,8.41,74.72,54.0,78.07,45.0,332.77,1.91,277.0,1022.17,
2013,1,1,9,13.01,70.81,158.0,108.97,128.0,324.25,2.12,259.0,1022.34,
2013,1,1,10,14.08,68.25,256.0,144.63,198.0,317.48,2.46,246.0,1021.97,
2013,1,1,11,15.14,65.7,368.0,276.95,234.0,310.72,2.8,233.0,1021.6,
2013,1,1,12,16.21,63.14,448.0,443.89,218.0,303.95,3.14,220.0,1021.24,
2013,1,1,13,16.13,61.01,372.0,247.22,248.0,298.72,2.95,224.0,1020.87,
2013,1,1,14,16.04,58.89,326.0,273.4,207.0,293.48,2.76,228.0,1020.5,
2013,1,1,15,15.96,56.76,213.0,185.33,153.0,288.25,2.57,232.0,1020.14,
2013,1,1,16,14.57,56.71,86.0,80.19,72.0,291.7,2.58,226.0,1020.27,
2013,1,1,17,13.18,56.67,0.0,0.0,0.0,295.15,2.6,220.0,1020.4,
2013,1,1,18,11.8,56.62,0.0,0.0,0.0,298.6,2.62,215.0,1020.54,
2013,1,1,19,11.6,57.96,0.0,0.0,0.0,300.38,3.14,215.0,1020.64,
2013,1,1,20,11.4,59.31,0.0,0.0,0.0,302.17,3.67,216.0,1020.74,
2013,1,1,21,11.21,60.65,0.0,0.0,0.0,303.95,4.19,217.0,1020.84,
2013,1,1,22,10.96,61.13,0.0,0.0,0.0,303.67,4.19,220.0,1020.67,
2013,1,1,23,10.71,61.62,0.0,0.0,0.0,303.38,4.19,223.0,1020.5,
2013,1,2,0,10.46,62.1,0.0,0.0,0.0,303.1,4.19,226.0,1020.34,
2013,1,2,1,9.82,63.82,0.0,0.0,0.0,303.38,4.12,227.0,1020.0,
2013,1,2,2,9.18,65.54,0.0,0.0,0.0,303.67,4.06,228.0,1019.67,
2013,1,2,3,8.54,67.26,0.0,0.0,0.0,303.95,3.99,229.0,1019.34,
2013,1,2,4,8.1,68.4,0.0,0.0,0.0,303.68,4.07,229.0,1019.44,
2013,1,2,5,7.67,69.54,0.0,0.0,0.0,303.42,4.16,229.0,1019.54,
2013,1,2,6,7.23,70.68,0.0,0.0,0.0,303.15,4.25,229.0,1019.64,
2013,1,2,7,8.9,71.39,0.0,0.0,0.0,304.2,4.28,227.0,1019.97,
2013,1,2,8,10.57,72.09,51.0,60.86,44.0,305.25,4.31,224.0,1020.3,
2013,1,2,9,12.25,72.8,236.0,519.32,93.0,306.3,4.34,222.0,1020.64,
2013,1,2,10,13.53,70.09,330.0,396.07,171.0,301.35,4.06,219.0,1020.27,
2013,1,2,11,14.81,67.38,483.0,744.85,122.0,296.4,3.78,216.0,1019.9,
2013,1,2,12,16.09,64.67,527.0,775.96,124.0,291.45,3.5,213.0,1019.54,
2013,1,2,13,15.92,61.94,467.0,576.37,177.0,293.52,3.14,215.0,1019.17,
2013,1,2,14,15.74,59.21,403.0,583.31,148.0,295.58,2.78,218.0,1018.8,
2013,1,2,15,15.57,56.48,134.0,18.41,128.0,297.65,2.41,220.0,1018.44,
2013,1,2,16,14.2,55.44,114.0,231.79,73.0,304.18,2.36,216.0,1018.84,
2013,1,2,17,12.84,54.41,0.0,0.0,0.0,310.72,2.3,212.0,1019.24,
2013,1,2,18,11.48,53.37,0.0,0.0,0.0,317.25,2.25,209.0,1019.64,
