Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1512,Agri,TUR,Turkey,39.7198352245,43.0513150622,2,1640.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,-4.43,72.48,0.0,0.0,0.0,219.34,1.88,203.0,841.48,
2010,1,1,1,-4.11,73.2,0.0,0.0,0.0,217.37,1.98,205.0,841.51,
2010,1,1,2,-3.78,73.92,0.0,0.0,0.0,215.39,2.07,237.0,833.14,
2010,1,1,3,-3.45,74.64,0.0,0.0,0.0,213.42,2.17,237.0,833.55,
2010,1,1,4,-3.12,75.36,0.0,0.0,0.0,211.44,2.26,237.0,833.96,
2010,1,1,5,-2.8,76.07,0.0,0.0,0.0,209.47,2.36,236.0,834.16,
2010,1,1,6,-2.47,76.79,0.0,0.0,0.0,207.49,2.45,234.0,834.35,
2010,1,1,7,-2.14,77.51,30.0,325.89,14.0,205.52,2.55,233.0,834.54,
2010,1,1,8,-1.82,78.23,193.0,751.13,39.0,203.54,2.64,236.0,833.53,
2010,1,1,9,-1.49,78.95,328.0,766.76,75.0,201.57,2.74,239.0,832.51,
2010,1,1,10,3.8,61.08,430.0,828.15,86.0,201.1,2.54,242.0,831.5,
2010,1,1,11,4.22,61.6,369.0,338.11,215.0,204.4,2.85,242.0,830.71,
2010,1,1,12,4.64,62.12,468.0,846.91,89.0,207.7,3.15,242.0,829.92,
2010,1,1,13,5.05,62.64,400.0,808.62,83.0,211.0,3.46,241.0,829.12,
2010,1,1,14,2.86,67.2,282.0,727.46,69.0,210.63,3.6,236.0,829.59,
2010,1,1,15,0.66,71.76,136.0,651.34,34.0,210.27,3.73,232.0,830.05,
2010,1,1,16,-1.53,76.32,0.0,0.0,0.0,209.9,3.86,227.0,830.52,
2010,1,1,17,-2.63,77.47,0.0,0.0,0.0,206.28,3.91,224.0,830.9,
2010,1,1,18,-3.72,78.61,0.0,0.0,0.0,202.67,3.95,221.0,831.28,
2010,1,1,19,-4.82,79.76,0.0,0.0,0.0,199.05,4.0,219.0,831.67,
2010,1,1,20,-5.53,80.41,0.0,0.0,0.0,197.88,3.97,221.0,831.75,
2010,1,1,21,-6.24,81.07,0.0,0.0,0.0,196.72,3.94,223.0,831.83,
2010,1,1,22,-6.95,81.72,0.0,0.0,0.0,195.55,3.92,225.0,831.91,
2010,1,1,23,-7.32,82.6,0.0,0.0,0.0,196.75,3.8,226.0,832.02,
2010,1,2,0,-7.68,83.47,0.0,0.0,0.0,197.95,3.69,228.0,832.13,
2010,1,2,1,-8.04,84.35,0.0,0.0,0.0,199.15,3.57,229.0,832.24,
2010,1,2,2,-7.86,85.16,0.0,0.0,0.0,203.03,3.64,231.0,832.43,
2010,1,2,3,-7.67,85.96,0.0,0.0,0.0,206.92,3.7,233.0,832.62,
2010,1,2,4,-7.48,86.77,0.0,0.0,0.0,210.8,3.77,234.0,832.82,
2010,1,2,5,-6.38,87.23,0.0,0.0,0.0,214.92,4.17,234.0,833.03,
2010,1,2,6,-5.29,87.7,0.0,0.0,0.0,219.03,4.57,233.0,833.25,
2010,1,2,7,-4.2,88.16,13.0,20.44,12.0,223.15,4.97,232.0,833.47,
2010,1,2,8,-2.17,84.04,161.0,394.86,80.0,228.65,6.07,235.0,832.73,
2010,1,2,9,-0.14,79.91,178.0,69.61,155.0,234.15,7.17,237.0,832.0,
2010,1,2,10,1.88,75.79,315.0,269.09,203.0,239.65,8.28,239.0,831.26,
2010,1,2,11,2.02,76.68,480.0,851.79,91.0,242.57,8.15,237.0,830.74,
2010,1,2,12,2.16,77.57,373.0,374.11,205.0,245.48,8.02,235.0,830.22,
2010,1,2,13,2.29,78.46,53.0,0.0,53.0,248.4,7.89,233.0,829.7,
2010,1,2,14,2.38,82.94,74.0,0.0,74.0,254.88,7.19,231.0,829.84,
2010,1,2,15,2.47,87.43,78.0,75.53,66.0,261.37,6.48,228.0,829.97,
2010,1,2,16,2.56,91.91,0.0,0.0,0.0,267.85,5.78,225.0,830.11,
2010,1,2,17,2.36,92.24,0.0,0.0,0.0,280.43,5.91,223.0,829.78,
2010,1,2,18,2.17,92.56,0.0,0.0,0.0,293.02,6.05,220.0,829.45,
2010,1,2,19,1.97,92.89,0.0,0.0,0.0,305.6,6.18,217.0,829.12,
2010,1,2,20,1.78,92.33,0.0,0.0,0.0,307.93,6.25,216.0,828.63,
2010,1,2,21,1.58,91.76,0.0,0.0,0.0,310.27,6.33,216.0,828.14,
2010,1,2,22,1.39,91.2,0.0,0.0,0.0,312.6,6.4,215.0,827.65,
2010,1,2,23,1.16,91.26,0.0,0.0,0.0,311.87,6.7,212.0,826.86,
2010,1,3,0,0.94,91.31,0.0,0.0,0.0,311.13,7.01,209.0,826.06,
2010,1,3,1,0.72,91.37,0.0,0.0,0.0,310.4,7.31,206.0,825.27,
2010,1,3,2,0.87,93.34,0.0,0.0,0.0,312.83,7.32,207.0,824.67,
2010,1,3,3,1.03,95.32,0.0,0.0,0.0,315.27,7.33,209.0,824.07,
2010,1,3,4,1.18,97.29,0.0,0.0,0.0,317.7,7.34,211.0,823.46,
2010,1,3,5,1.26,97.37,0.0,0.0,0.0,317.37,7.03,213.0,823.68,
2010,1,3,6,1.33,97.45,0.0,0.0,0.0,317.03,6.71,216.0,823.9,
2010,1,3,7,1.4,97.53,8.0,0.0,8.0,316.7,6.4,218.0,824.12,
2010,1,3,8,1.38,97.55,44.0,0.0,44.0,315.58,6.76,222.0,824.56,
2010,1,3,9,1.35,97.57,39.0,0.0,39.0,314.47,7.12,226.0,825.0,
2010,1,3,10,1.32,97.59,48.0,0.0,48.0,313.35,7.48,229.0,825.43,
2010,1,3,11,1.38,96.19,63.0,0.0,63.0,309.32,7.23,231.0,825.62,
2010,1,3,12,1.44,94.79,79.0,0.0,79.0,305.28,6.99,234.0,825.82,
2010,1,3,13,1.49,93.39,50.0,0.0,50.0,301.25,6.74,236.0,826.01,
2010,1,3,14,0.95,92.05,101.0,3.37,100.0,293.53,5.58,235.0,827.29,
2010,1,3,15,0.41,90.72,127.0,465.19,52.0,285.82,4.41,234.0,828.58,
2010,1,3,16,-0.13,89.38,0.0,0.0,0.0,278.1,3.24,234.0,829.86,
2010,1,3,17,-0.35,89.89,0.0,0.0,0.0,285.2,3.06,230.0,830.19,
2010,1,3,18,-0.58,90.4,0.0,0.0,0.0,292.3,2.88,227.0,830.52,
2010,1,3,19,-0.8,90.91,0.0,0.0,0.0,299.4,2.7,223.0,830.85,
2010,1,3,20,-0.85,91.19,0.0,0.0,0.0,301.32,2.55,221.0,830.41,
2010,1,3,21,-0.89,91.48,0.0,0.0,0.0,303.23,2.39,218.0,829.97,
2010,1,3,22,-0.94,91.76,0.0,0.0,0.0,305.15,2.23,216.0,829.53,
2010,1,3,23,-0.87,92.98,0.0,0.0,0.0,305.6,2.15,215.0,828.77,
2010,1,4,0,-0.8,94.19,0.0,0.0,0.0,306.05,2.07,215.0,828.0,
2010,1,4,1,-0.73,95.41,0.0,0.0,0.0,306.5,1.99,214.0,827.24,
2010,1,4,2,-0.58,95.96,0.0,0.0,0.0,308.1,2.12,214.0,827.18,
2010,1,4,3,-0.42,96.51,0.0,0.0,0.0,309.7,2.26,213.0,827.13,
2010,1,4,4,-0.26,97.06,0.0,0.0,0.0,311.3,2.4,212.0,827.07,
2010,1,4,5,0.16,97.17,0.0,0.0,0.0,310.27,3.67,216.0,826.64,
2010,1,4,6,0.58,97.28,0.0,0.0,0.0,309.23,4.95,220.0,826.2,
2010,1,4,7,0.99,97.39,4.0,0.0,4.0,308.2,6.22,223.0,825.76,
2010,1,4,8,1.18,96.54,21.0,0.0,21.0,308.37,6.98,225.0,825.49,
2010,1,4,9,1.36,95.68,31.0,0.0,31.0,308.53,7.75,227.0,825.21,
