Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1513,Diyarbakir,TUR,Turkey,37.9204360138,40.2300402413,2,671.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2016,1,1,0,3.44,90.24,0.0,0.0,0.0,298.17,1.25,128.0,939.36,
2016,1,1,1,3.16,91.59,0.0,0.0,0.0,302.16,1.21,120.0,939.4,
2016,1,1,2,2.89,92.94,0.0,0.0,0.0,306.15,1.17,119.0,932.84,
2016,1,1,3,2.61,94.29,0.0,0.0,0.0,310.14,1.13,112.0,932.84,
2016,1,1,4,2.34,95.64,0.0,0.0,0.0,314.14,1.09,105.0,932.84,
2016,1,1,5,2.07,96.99,0.0,0.0,0.0,318.13,1.04,116.0,932.53,
2016,1,1,6,1.79,98.34,0.0,0.0,0.0,322.12,1.0,126.0,932.23,
2016,1,1,7,1.52,99.69,0.0,0.0,0.0,326.11,0.96,136.0,931.92,
2016,1,1,8,1.24,100.0,85.0,40.51,77.0,330.1,0.92,156.0,931.55,
2016,1,1,9,0.97,100.0,27.0,0.0,27.0,334.09,0.88,177.0,931.18,
2016,1,1,10,2.85,98.28,199.0,32.67,185.0,324.85,0.36,197.0,930.81,
2016,1,1,11,2.78,98.2,42.0,0.0,42.0,318.52,0.64,210.0,930.26,
2016,1,1,12,2.72,98.12,144.0,0.0,144.0,312.18,0.92,223.0,929.7,
2016,1,1,13,2.65,98.04,107.0,0.0,107.0,305.85,1.2,236.0,929.15,
2016,1,1,14,1.82,97.58,65.0,0.0,65.0,310.72,1.68,269.0,929.49,
2016,1,1,15,0.98,97.13,76.0,19.41,72.0,315.58,2.17,301.0,929.83,
2016,1,1,16,0.15,96.67,1.0,23.43,0.0,320.45,2.65,334.0,930.17,
2016,1,1,17,-0.51,94.77,0.0,0.0,0.0,311.63,2.94,323.0,930.47,
2016,1,1,18,-1.17,92.88,0.0,0.0,0.0,302.82,3.23,311.0,930.78,
2016,1,1,19,-1.82,90.98,0.0,0.0,0.0,294.0,3.52,299.0,931.09,
2016,1,1,20,-2.59,87.15,0.0,0.0,0.0,280.78,3.61,297.0,931.77,
2016,1,1,21,-3.36,83.31,0.0,0.0,0.0,267.57,3.71,296.0,932.44,
2016,1,1,22,-4.13,79.48,0.0,0.0,0.0,254.35,3.81,294.0,933.12,
2016,1,1,23,-5.09,77.75,0.0,0.0,0.0,246.0,3.69,293.0,933.77,
2016,1,2,0,-6.05,76.03,0.0,0.0,0.0,237.65,3.57,292.0,934.41,
2016,1,2,1,-7.01,74.3,0.0,0.0,0.0,229.3,3.45,291.0,935.06,
2016,1,2,2,-7.05,75.53,0.0,0.0,0.0,225.08,3.4,297.0,935.64,
2016,1,2,3,-7.1,76.75,0.0,0.0,0.0,220.87,3.36,303.0,936.23,
2016,1,2,4,-7.14,77.98,0.0,0.0,0.0,216.65,3.31,309.0,936.81,
2016,1,2,5,-7.83,76.69,0.0,0.0,0.0,213.8,3.14,311.0,938.04,
2016,1,2,6,-8.52,75.39,0.0,0.0,0.0,210.95,2.98,314.0,939.27,
2016,1,2,7,-9.21,74.1,0.0,0.0,0.0,208.1,2.81,316.0,940.5,
2016,1,2,8,-6.83,68.33,159.0,521.62,56.0,208.43,2.83,315.0,941.0,
2016,1,2,9,-4.44,62.56,261.0,372.55,137.0,208.77,2.85,313.0,941.49,
2016,1,2,10,-2.05,56.79,248.0,97.85,206.0,209.1,2.87,312.0,941.98,
2016,1,2,11,-1.94,56.83,505.0,916.57,65.0,209.03,2.83,309.0,942.19,
2016,1,2,12,-1.82,56.87,485.0,782.41,108.0,208.97,2.8,306.0,942.41,
2016,1,2,13,-1.71,56.91,425.0,738.8,104.0,208.9,2.76,303.0,942.63,
2016,1,2,14,-2.22,55.79,231.0,213.94,158.0,212.43,2.33,306.0,943.33,
2016,1,2,15,-2.73,54.68,157.0,412.73,71.0,215.97,1.89,308.0,944.04,
2016,1,2,16,-3.24,53.56,1.0,22.22,0.0,219.5,1.46,310.0,944.75,
2016,1,2,17,-4.91,56.24,0.0,0.0,0.0,218.32,1.52,321.0,945.18,
2016,1,2,18,-6.58,58.91,0.0,0.0,0.0,217.13,1.58,333.0,945.61,
2016,1,2,19,-8.25,61.59,0.0,0.0,0.0,215.95,1.64,345.0,946.04,
2016,1,2,20,-9.49,63.55,0.0,0.0,0.0,214.52,1.8,351.0,946.35,
2016,1,2,21,-10.74,65.51,0.0,0.0,0.0,213.08,1.95,358.0,946.66,
2016,1,2,22,-11.98,67.47,0.0,0.0,0.0,211.65,2.11,5.0,946.96,
2016,1,2,23,-12.8,69.04,0.0,0.0,0.0,211.23,2.25,9.0,947.09,
2016,1,3,0,-13.61,70.62,0.0,0.0,0.0,210.82,2.39,13.0,947.21,
2016,1,3,1,-14.43,72.19,0.0,0.0,0.0,210.4,2.52,17.0,947.33,
2016,1,3,2,-14.61,71.12,0.0,0.0,0.0,211.02,2.54,19.0,947.92,
2016,1,3,3,-14.8,70.05,0.0,0.0,0.0,211.63,2.55,20.0,948.5,
2016,1,3,4,-14.99,68.98,0.0,0.0,0.0,212.25,2.57,22.0,949.09,
