Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3961,Gaziantep,TUR,Turkey,37.0749837433,37.3849942614,2,837.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2013,1,1,0,1.51,70.44,0.0,0.0,0.0,268.45,1.37,46.0,915.04,
2013,1,1,1,1.66,70.39,0.0,0.0,0.0,267.43,1.56,33.0,915.07,
2013,1,1,2,1.82,70.35,0.0,0.0,0.0,266.42,1.76,32.0,926.32,
2013,1,1,3,1.97,70.3,0.0,0.0,0.0,265.4,1.95,36.0,926.35,
2013,1,1,4,2.12,70.26,0.0,0.0,0.0,264.39,2.14,40.0,926.38,
2013,1,1,5,2.28,70.21,0.0,0.0,0.0,263.37,2.34,40.0,926.38,
2013,1,1,6,2.43,70.17,0.0,0.0,0.0,262.35,2.53,40.0,926.38,
2013,1,1,7,2.59,70.12,13.0,0.0,13.0,261.34,2.72,40.0,926.38,
2013,1,1,8,2.74,70.08,192.0,512.27,76.0,260.32,2.92,50.0,926.26,
2013,1,1,9,2.9,70.03,339.0,638.91,110.0,259.3,3.11,60.0,926.14,
2013,1,1,10,7.86,57.55,438.0,666.78,138.0,278.45,2.8,71.0,926.02,
2013,1,1,11,8.27,59.28,468.0,588.24,177.0,281.58,3.03,76.0,925.48,
2013,1,1,12,8.67,61.02,482.0,675.92,151.0,284.72,3.27,81.0,924.94,
2013,1,1,13,9.08,62.75,413.0,617.99,144.0,287.85,3.5,86.0,924.39,
2013,1,1,14,7.6,66.67,298.0,537.1,118.0,288.73,3.08,80.0,924.72,
2013,1,1,15,6.13,70.59,154.0,423.28,71.0,289.62,2.66,74.0,925.06,
2013,1,1,16,4.65,74.51,0.0,0.0,0.0,290.5,2.23,68.0,925.39,
2013,1,1,17,3.92,73.45,0.0,0.0,0.0,287.07,2.2,65.0,925.75,
2013,1,1,18,3.19,72.38,0.0,0.0,0.0,283.63,2.16,62.0,926.11,
