Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,535,Tejen,TKM,Turkmenistan,37.3786086213,60.4960383696,5,192.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2016,1,1,0,2.74,83.4,0.0,0.0,0.0,246.67,2.16,290.0,1000.32,
2016,1,1,1,3.37,82.03,0.0,0.0,0.0,250.32,2.21,278.0,1000.42,
2016,1,1,2,4.0,80.66,0.0,0.0,0.0,253.98,2.26,279.0,1000.68,
2016,1,1,3,4.63,79.29,0.0,0.0,0.0,257.63,2.31,279.0,1000.94,
2016,1,1,4,5.26,77.92,0.0,0.0,0.0,261.29,2.36,279.0,1001.2,
2016,1,1,5,5.89,76.55,0.0,0.0,0.0,264.94,2.4,221.0,995.92,
2016,1,1,6,6.52,75.18,0.0,0.0,0.0,268.59,2.45,220.0,995.72,
2016,1,1,7,7.15,73.81,0.0,0.0,0.0,272.25,2.5,218.0,995.53,
2016,1,1,8,7.78,72.44,0.0,0.0,0.0,275.9,2.55,211.0,995.17,
2016,1,1,9,8.41,71.07,11.0,0.0,11.0,279.56,2.6,204.0,994.81,
2016,1,1,10,9.04,69.7,99.0,19.59,94.0,283.21,2.65,197.0,994.45,
2016,1,1,11,9.67,68.32,66.0,0.0,66.0,286.87,2.7,191.0,993.12,
2016,1,1,12,10.3,66.95,131.0,0.0,131.0,290.52,2.75,185.0,991.78,
2016,1,1,13,17.66,41.87,462.0,573.65,179.0,304.7,3.19,179.0,990.45,
2016,1,1,14,17.76,44.89,474.0,706.1,137.0,301.4,2.87,184.0,990.18,
2016,1,1,15,17.87,47.92,373.0,530.89,154.0,298.1,2.56,190.0,989.92,
2016,1,1,16,17.98,50.94,262.0,497.57,111.0,294.8,2.25,195.0,989.66,
2016,1,1,17,15.58,55.54,118.0,387.1,57.0,288.52,2.31,213.0,990.64,
2016,1,1,18,13.19,60.15,0.0,0.0,0.0,282.23,2.37,230.0,991.62,
2016,1,1,19,10.8,64.75,0.0,0.0,0.0,275.95,2.43,248.0,992.6,
2016,1,1,20,9.86,68.05,0.0,0.0,0.0,275.1,2.31,253.0,992.86,
2016,1,1,21,8.93,71.35,0.0,0.0,0.0,274.25,2.19,258.0,993.12,
2016,1,1,22,8.0,74.65,0.0,0.0,0.0,273.4,2.07,263.0,993.38,
2016,1,1,23,7.85,76.89,0.0,0.0,0.0,281.37,2.05,260.0,992.99,
2016,1,2,0,7.7,79.12,0.0,0.0,0.0,289.33,2.02,257.0,992.6,
2016,1,2,1,7.55,81.36,0.0,0.0,0.0,297.3,2.0,254.0,992.2,
2016,1,2,2,7.74,79.75,0.0,0.0,0.0,305.2,2.1,234.0,991.46,
2016,1,2,3,7.94,78.13,0.0,0.0,0.0,313.1,2.19,215.0,990.71,
2016,1,2,4,8.13,76.52,0.0,0.0,0.0,321.0,2.29,195.0,989.96,
2016,1,2,5,8.46,71.43,0.0,0.0,0.0,322.88,3.27,190.0,989.4,
2016,1,2,6,8.8,66.34,0.0,0.0,0.0,324.77,4.26,184.0,988.85,
2016,1,2,7,9.13,61.25,0.0,0.0,0.0,326.65,5.24,179.0,988.29,
2016,1,2,8,10.48,57.43,0.0,0.0,0.0,320.17,5.66,183.0,987.64,
2016,1,2,9,11.83,53.62,7.0,0.0,7.0,313.68,6.07,188.0,986.99,
2016,1,2,10,13.18,49.8,224.0,571.88,78.0,307.2,6.48,193.0,986.34,
2016,1,2,11,15.39,45.25,290.0,306.2,174.0,306.97,6.31,200.0,985.17,
2016,1,2,12,17.61,40.7,457.0,718.86,126.0,306.73,6.13,206.0,983.99,
2016,1,2,13,19.82,36.15,496.0,729.93,135.0,306.5,5.96,213.0,982.82,
2016,1,2,14,19.26,37.44,475.0,705.83,137.0,308.38,5.47,214.0,982.85,
2016,1,2,15,18.7,38.74,397.0,651.52,127.0,310.27,4.98,216.0,982.89,
2016,1,2,16,18.14,40.03,275.0,572.62,100.0,312.15,4.5,217.0,982.92,
2016,1,2,17,16.83,48.0,106.0,250.21,66.0,309.4,3.84,213.0,983.96,
2016,1,2,18,15.52,55.98,0.0,0.0,0.0,306.65,3.19,210.0,985.0,
2016,1,2,19,14.22,63.95,0.0,0.0,0.0,303.9,2.54,206.0,986.05,
2016,1,2,20,13.08,68.94,0.0,0.0,0.0,305.03,3.9,219.0,987.87,
