Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1544,Lira,UGA,Uganda,2.26039044078,32.8900231514,3,1091.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2008,1,1,0,24.59,46.8,0.0,0.0,0.0,378.41,2.22,345.0,888.36,
2008,1,1,1,24.69,46.87,0.0,0.0,0.0,374.65,2.62,340.0,888.5,
2008,1,1,2,24.79,46.94,0.0,0.0,0.0,370.89,3.02,336.0,888.65,
2008,1,1,3,24.9,47.01,0.0,0.0,0.0,367.14,3.42,96.0,885.84,
2008,1,1,4,25.0,47.08,0.0,0.0,0.0,363.38,3.82,92.0,886.02,
2008,1,1,5,25.1,47.15,0.0,0.0,0.0,359.62,4.22,88.0,886.19,
2008,1,1,6,25.2,47.22,0.0,0.0,0.0,355.86,4.63,89.0,886.66,
2008,1,1,7,25.31,47.29,2.0,0.0,2.0,352.1,5.03,90.0,887.13,
2008,1,1,8,25.41,47.36,198.0,284.2,119.0,348.35,5.43,91.0,887.6,
2008,1,1,9,25.51,47.42,469.0,662.5,142.0,344.59,5.83,92.0,886.92,
2008,1,1,10,25.61,47.49,703.0,843.58,134.0,340.83,6.23,93.0,886.25,
2008,1,1,11,32.09,28.59,864.0,883.21,150.0,362.85,6.44,94.0,885.58,
2008,1,1,12,32.88,25.95,972.0,945.64,134.0,365.87,6.29,90.0,884.32,
2008,1,1,13,33.68,23.31,960.0,848.76,194.0,368.88,6.13,88.0,883.07,
2008,1,1,14,34.47,20.67,409.0,24.53,388.0,371.9,5.97,84.0,881.81,
2008,1,1,15,34.05,21.01,454.0,95.92,382.0,372.45,5.94,86.0,881.63,
2008,1,1,16,33.63,21.34,219.0,5.06,216.0,373.0,5.91,87.0,881.46,
2008,1,1,17,33.2,21.68,379.0,749.69,84.0,373.55,5.88,89.0,881.28,
2008,1,1,18,31.27,23.7,123.0,408.81,55.0,371.45,5.53,88.0,882.3,
2008,1,1,19,29.33,25.73,0.0,0.0,0.0,369.35,5.19,88.0,883.33,
2008,1,1,20,27.4,27.75,0.0,0.0,0.0,367.25,4.84,88.0,884.35,
2008,1,1,21,26.58,29.55,0.0,0.0,0.0,365.52,4.9,86.0,885.02,
2008,1,1,22,25.77,31.34,0.0,0.0,0.0,363.78,4.95,84.0,885.7,
2008,1,1,23,24.96,33.14,0.0,0.0,0.0,362.05,5.01,82.0,886.37,
2008,1,2,0,24.57,35.58,0.0,0.0,0.0,360.07,4.72,86.0,886.37,
2008,1,2,1,24.19,38.02,0.0,0.0,0.0,358.08,4.43,90.0,886.37,
2008,1,2,2,23.8,40.46,0.0,0.0,0.0,356.1,4.14,94.0,886.37,
2008,1,2,3,23.0,40.87,0.0,0.0,0.0,354.88,4.22,96.0,886.46,
2008,1,2,4,22.2,41.28,0.0,0.0,0.0,353.67,4.3,98.0,886.54,
2008,1,2,5,21.4,41.69,0.0,0.0,0.0,352.45,4.39,101.0,886.63,
2008,1,2,6,22.84,39.99,0.0,0.0,0.0,351.25,4.52,106.0,887.25,
2008,1,2,7,24.27,38.3,2.0,0.0,2.0,350.05,4.65,110.0,887.86,
2008,1,2,8,25.71,36.6,225.0,459.29,98.0,348.85,4.79,115.0,888.47,
2008,1,2,9,27.87,32.14,473.0,688.37,134.0,355.4,5.03,116.0,887.83,
2008,1,2,10,30.02,27.67,695.0,811.8,148.0,361.95,5.27,117.0,887.19,
2008,1,2,11,32.18,23.21,859.0,867.37,158.0,368.5,5.52,118.0,886.54,
2008,1,2,12,33.02,21.26,967.0,928.43,144.0,367.95,5.37,118.0,885.2,
2008,1,2,13,33.86,19.31,982.0,916.7,154.0,367.4,5.21,118.0,883.85,
2008,1,2,14,34.7,17.36,843.0,654.27,282.0,366.85,5.06,118.0,882.51,
2008,1,2,15,34.39,17.28,771.0,780.42,184.0,365.5,5.09,118.0,882.19,
2008,1,2,16,34.09,17.2,175.0,0.0,175.0,364.15,5.11,119.0,881.87,
2008,1,2,17,33.78,17.12,352.0,571.56,126.0,362.8,5.13,120.0,881.54,
2008,1,2,18,31.51,19.92,94.0,148.58,69.0,358.75,4.77,126.0,882.42,
2008,1,2,19,29.24,22.73,0.0,0.0,0.0,354.7,4.41,133.0,883.3,
2008,1,2,20,26.97,25.53,0.0,0.0,0.0,350.65,4.06,139.0,884.18,
2008,1,2,21,26.03,27.17,0.0,0.0,0.0,349.57,4.17,124.0,884.7,
2008,1,2,22,25.09,28.8,0.0,0.0,0.0,348.48,4.28,109.0,885.23,
2008,1,2,23,24.15,30.44,0.0,0.0,0.0,347.4,4.39,94.0,885.76,
2008,1,3,0,23.76,32.94,0.0,0.0,0.0,345.33,4.12,96.0,885.84,
2008,1,3,1,23.38,35.43,0.0,0.0,0.0,343.27,3.86,99.0,885.93,
2008,1,3,2,22.99,37.93,0.0,0.0,0.0,341.2,3.6,102.0,886.02,
2008,1,3,3,22.35,39.59,0.0,0.0,0.0,342.55,3.55,101.0,886.22,
2008,1,3,4,21.7,41.25,0.0,0.0,0.0,343.9,3.5,100.0,886.43,
2008,1,3,5,21.06,42.91,0.0,0.0,0.0,345.25,3.45,99.0,886.63,
2008,1,3,6,22.62,41.34,0.0,0.0,0.0,347.02,3.77,101.0,887.16,
2008,1,3,7,24.17,39.78,2.0,0.0,2.0,348.78,4.1,104.0,887.69,
2008,1,3,8,25.73,38.21,228.0,487.11,94.0,350.55,4.43,107.0,888.21,
2008,1,3,9,28.12,32.71,477.0,714.29,126.0,357.08,4.72,105.0,887.6,
2008,1,3,10,30.5,27.21,694.0,811.09,148.0,363.62,5.01,104.0,886.98,
2008,1,3,11,32.89,21.71,864.0,883.64,150.0,370.15,5.3,102.0,886.37,
2008,1,3,12,33.88,19.23,972.0,946.13,133.0,368.47,5.25,99.0,885.08,
