Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1341,Ras al Khaymah,ARE,United Arab Emirates,25.7915381053,55.9427762439,4,3.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,19.38,64.26,0.0,0.0,0.0,331.21,2.02,88.0,1017.94,
2005,1,1,1,19.24,65.28,0.0,0.0,0.0,328.4,2.03,92.0,1018.0,
2005,1,1,2,19.1,66.3,0.0,0.0,0.0,325.58,2.05,96.0,1018.07,
2005,1,1,3,18.96,67.32,0.0,0.0,0.0,322.77,2.06,99.0,1018.14,
2005,1,1,4,18.82,68.34,0.0,0.0,0.0,319.96,2.07,248.0,1019.14,
2005,1,1,5,18.68,69.36,0.0,0.0,0.0,317.14,2.09,248.0,1019.14,
2005,1,1,6,18.54,70.38,0.0,0.0,0.0,314.33,2.1,248.0,1019.14,
2005,1,1,7,18.4,71.4,0.0,0.0,0.0,311.52,2.11,249.0,1019.6,
2005,1,1,8,18.26,72.42,95.0,334.93,47.0,308.71,2.13,250.0,1020.07,
2005,1,1,9,18.12,73.44,302.0,634.05,92.0,305.89,2.14,251.0,1020.54,
2005,1,1,10,17.98,74.46,487.0,773.3,112.0,303.08,2.16,264.0,1020.04,
2005,1,1,11,17.84,75.48,615.0,804.67,137.0,300.27,2.17,277.0,1019.54,
2005,1,1,12,22.43,83.93,688.0,838.64,142.0,314.9,1.86,291.0,1019.04,
2005,1,1,13,22.37,81.73,691.0,840.34,143.0,316.7,1.91,295.0,1018.57,
2005,1,1,14,22.32,79.54,634.0,859.08,121.0,318.5,1.95,299.0,1018.1,
2005,1,1,15,22.27,77.34,498.0,777.71,117.0,320.3,2.0,303.0,1017.64,
2005,1,1,16,21.03,76.07,315.0,639.68,99.0,318.55,2.14,291.0,1018.0,
2005,1,1,17,19.8,74.8,112.0,391.14,53.0,316.8,2.28,280.0,1018.37,
2005,1,1,18,18.57,73.53,0.0,0.0,0.0,315.05,2.41,269.0,1018.74,
2005,1,1,19,18.14,74.55,0.0,0.0,0.0,313.7,2.44,266.0,1018.9,
2005,1,1,20,17.7,75.58,0.0,0.0,0.0,312.35,2.47,262.0,1019.07,
2005,1,1,21,17.27,76.6,0.0,0.0,0.0,311.0,2.5,259.0,1019.24,
2005,1,1,22,16.7,76.79,0.0,0.0,0.0,309.33,2.53,260.0,1018.84,
2005,1,1,23,16.14,76.97,0.0,0.0,0.0,307.67,2.56,260.0,1018.44,
2005,1,2,0,15.57,77.16,0.0,0.0,0.0,306.0,2.59,261.0,1018.04,
2005,1,2,1,15.33,77.45,0.0,0.0,0.0,304.88,2.57,260.0,1017.74,
2005,1,2,2,15.1,77.74,0.0,0.0,0.0,303.77,2.56,259.0,1017.44,
2005,1,2,3,14.86,78.03,0.0,0.0,0.0,302.65,2.54,258.0,1017.14,
2005,1,2,4,14.64,77.22,0.0,0.0,0.0,307.13,2.56,254.0,1017.27,
2005,1,2,5,14.43,76.42,0.0,0.0,0.0,311.62,2.57,249.0,1017.4,
2005,1,2,6,14.21,75.61,0.0,0.0,0.0,316.1,2.59,244.0,1017.54,
2005,1,2,7,16.12,75.31,0.0,0.0,0.0,317.92,2.55,245.0,1017.9,
2005,1,2,8,18.02,75.0,85.0,224.38,53.0,319.73,2.5,247.0,1018.27,
2005,1,2,9,19.93,74.7,266.0,411.08,130.0,321.55,2.46,248.0,1018.64,
2005,1,2,10,20.71,73.85,456.0,616.54,157.0,321.08,2.28,257.0,1017.94,
2005,1,2,11,21.5,73.0,589.0,691.35,178.0,320.62,2.11,266.0,1017.24,
2005,1,2,12,22.28,72.15,678.0,793.0,161.0,320.15,1.93,274.0,1016.54,
2005,1,2,13,22.26,71.25,644.0,653.47,217.0,322.18,1.82,281.0,1015.91,
2005,1,2,14,22.25,70.35,616.0,769.82,155.0,324.22,1.71,288.0,1015.27,
2005,1,2,15,22.24,69.45,482.0,683.08,146.0,326.25,1.6,295.0,1014.64,
2005,1,2,16,21.18,70.69,306.0,561.98,115.0,325.53,1.48,291.0,1015.04,
2005,1,2,17,20.12,71.94,105.0,293.86,60.0,324.82,1.35,287.0,1015.44,
2005,1,2,18,19.06,73.18,0.0,0.0,0.0,324.1,1.23,282.0,1015.84,
2005,1,2,19,19.14,73.99,0.0,0.0,0.0,322.7,1.11,274.0,1016.11,
2005,1,2,20,19.23,74.8,0.0,0.0,0.0,321.3,0.99,267.0,1016.37,
2005,1,2,21,19.31,75.61,0.0,0.0,0.0,319.9,0.87,259.0,1016.64,
2005,1,2,22,18.71,76.54,0.0,0.0,0.0,317.73,0.94,259.0,1016.24,
2005,1,2,23,18.12,77.47,0.0,0.0,0.0,315.57,1.02,260.0,1015.84,
2005,1,3,0,17.52,78.4,0.0,0.0,0.0,313.4,1.09,261.0,1015.44,
2005,1,3,1,16.62,79.05,0.0,0.0,0.0,311.63,1.0,250.0,1015.17,
2005,1,3,2,15.73,79.71,0.0,0.0,0.0,309.87,0.91,239.0,1014.91,
2005,1,3,3,14.83,80.36,0.0,0.0,0.0,308.1,0.81,228.0,1014.64,
2005,1,3,4,14.23,81.08,0.0,0.0,0.0,306.97,1.05,221.0,1014.94,
2005,1,3,5,13.64,81.8,0.0,0.0,0.0,305.83,1.29,215.0,1015.24,
2005,1,3,6,13.04,82.52,0.0,0.0,0.0,304.7,1.53,209.0,1015.54,
2005,1,3,7,15.39,82.31,0.0,0.0,0.0,305.82,1.75,201.0,1016.04,
2005,1,3,8,17.73,82.11,75.0,147.89,54.0,306.93,1.96,194.0,1016.54,
2005,1,3,9,20.08,81.9,212.0,178.49,153.0,308.05,2.18,186.0,1017.04,
2005,1,3,10,21.28,79.86,430.0,500.95,187.0,311.77,2.23,192.0,1016.31,
2005,1,3,11,22.47,77.81,516.0,430.22,260.0,315.48,2.27,197.0,1015.57,
2005,1,3,12,23.67,75.77,566.0,416.57,294.0,319.2,2.32,202.0,1014.84,
2005,1,3,13,23.83,73.51,562.0,398.56,301.0,319.68,2.25,215.0,1014.34,
2005,1,3,14,24.0,71.25,529.0,446.2,261.0,320.17,2.18,228.0,1013.84,
2005,1,3,15,24.17,68.99,446.0,514.21,192.0,320.65,2.11,241.0,1013.34,
2005,1,3,16,23.15,66.99,291.0,461.81,133.0,317.1,1.56,263.0,1013.97,
2005,1,3,17,22.13,64.99,117.0,405.19,54.0,313.55,1.02,286.0,1014.61,
2005,1,3,18,21.11,62.99,0.0,0.0,0.0,310.0,0.47,308.0,1015.24,
2005,1,3,19,21.05,61.93,0.0,0.0,0.0,307.97,0.63,256.0,1015.51,
2005,1,3,20,20.99,60.88,0.0,0.0,0.0,305.93,0.8,204.0,1015.77,
