Location,City,Region,Country,Latitude,Longitude,Time Zone,Elevation,Source
30910,Aberdeen/Dyce,GBR,United Kingdom,57.2,-2.22,0.0,65,PVGIS
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,4.94,83.04,0.0,0.0,0.0,314.44,6.54,349.0,980.72,
2006,1,1,1,4.41,82.82,0.0,0.0,0.0,313.02,6.06,356.0,981.87,
2006,1,1,2,3.88,82.59,0.0,0.0,0.0,311.59,5.58,4.0,983.03,
2006,1,1,3,3.35,82.37,0.0,0.0,0.0,310.16,5.1,6.0,984.05,
2006,1,1,4,2.82,82.15,0.0,0.0,0.0,308.73,4.63,8.0,985.07,
2006,1,1,5,2.29,81.92,0.0,0.0,0.0,307.31,4.15,9.0,986.09,
2006,1,1,6,1.76,81.7,0.0,0.0,0.0,305.88,3.67,14.0,987.38,
2006,1,1,7,1.23,81.48,0.0,0.0,0.0,304.45,3.19,18.0,988.66,
2006,1,1,8,2.56,82.33,0.0,0.0,0.0,306.55,4.87,23.0,989.95,
2006,1,1,9,3.37,83.75,0.0,0.0,0.0,308.72,4.63,20.0,991.2,
2006,1,1,10,4.18,85.16,33.0,9.79,32.0,310.88,4.39,16.0,992.46,
2006,1,1,11,4.99,86.58,76.0,85.25,63.0,313.05,4.15,13.0,993.71,
2006,1,1,12,5.07,86.46,98.0,147.01,73.0,311.5,4.12,8.0,995.03,
2006,1,1,13,5.15,86.33,117.0,429.61,51.0,309.95,4.09,4.0,996.35,
2006,1,1,14,5.23,86.21,57.0,162.92,40.0,308.4,4.06,360.0,997.67,
2006,1,1,15,4.77,84.95,0.0,0.0,0.0,309.78,4.01,358.0,998.79,
2006,1,1,16,4.31,83.69,0.0,0.0,0.0,311.17,3.97,356.0,999.91,
2006,1,1,17,3.85,82.43,0.0,0.0,0.0,312.55,3.93,354.0,1001.03,
2006,1,1,18,3.45,83.02,0.0,0.0,0.0,313.35,3.74,350.0,1001.99,
2006,1,1,19,3.04,83.6,0.0,0.0,0.0,314.15,3.54,346.0,1002.94,
2006,1,1,20,2.64,84.19,0.0,0.0,0.0,314.95,3.35,342.0,1003.9,
2006,1,1,21,2.55,84.83,0.0,0.0,0.0,318.5,3.16,332.0,1004.56,
2006,1,1,22,2.45,85.46,0.0,0.0,0.0,322.05,2.97,323.0,1005.22,
2006,1,1,23,2.36,86.1,0.0,0.0,0.0,325.6,2.77,314.0,1005.88,
2006,1,2,0,2.17,86.78,0.0,0.0,0.0,318.13,2.81,294.0,1006.34,
2006,1,2,1,1.97,87.46,0.0,0.0,0.0,310.67,2.86,275.0,1006.8,
2006,1,2,2,1.78,88.14,0.0,0.0,0.0,303.2,2.9,256.0,1007.26,
2006,1,2,3,2.12,88.11,0.0,0.0,0.0,306.62,3.13,253.0,1007.53,
2006,1,2,4,2.47,88.07,0.0,0.0,0.0,310.03,3.37,250.0,1007.79,
2006,1,2,5,2.81,88.04,0.0,0.0,0.0,313.45,3.6,248.0,1008.05,
2006,1,2,6,2.94,88.06,0.0,0.0,0.0,313.53,3.67,243.0,1008.28,
2006,1,2,7,3.06,88.08,0.0,0.0,0.0,313.62,3.75,239.0,1008.52,
2006,1,2,8,3.18,88.1,0.0,0.0,0.0,313.7,3.82,234.0,1008.75,
2006,1,2,9,3.98,87.73,0.0,0.0,0.0,312.53,4.16,228.0,1008.85,
2006,1,2,10,4.78,87.37,42.0,48.5,37.0,311.37,4.5,223.0,1008.94,
2006,1,2,11,5.58,87.0,87.0,143.13,65.0,310.2,4.84,217.0,1009.04,
2006,1,2,12,5.37,87.71,143.0,565.53,46.0,310.73,5.21,212.0,1008.78,
2006,1,2,13,5.15,88.43,121.0,469.94,48.0,311.27,5.58,208.0,1008.52,
2006,1,2,14,4.94,89.14,78.0,461.13,29.0,311.8,5.94,203.0,1008.25,
2006,1,2,15,4.79,89.55,0.0,0.0,0.0,308.12,6.63,202.0,1008.09,
2006,1,2,16,4.64,89.95,0.0,0.0,0.0,304.43,7.31,202.0,1007.92,
2006,1,2,17,4.49,90.36,0.0,0.0,0.0,300.75,8.0,201.0,1007.76,
2006,1,2,18,4.7,90.47,0.0,0.0,0.0,299.15,8.65,201.0,1007.43,
2006,1,2,19,4.92,90.59,0.0,0.0,0.0,297.55,9.31,202.0,1007.1,
2006,1,2,20,5.13,90.7,0.0,0.0,0.0,295.95,9.96,202.0,1006.77,
2006,1,2,21,5.58,91.35,0.0,0.0,0.0,299.82,10.02,202.0,1006.37,
2006,1,2,22,6.04,91.99,0.0,0.0,0.0,303.68,10.09,202.0,1005.98,
2006,1,2,23,6.49,92.64,0.0,0.0,0.0,307.55,10.15,201.0,1005.58,
2006,1,3,0,6.89,92.09,0.0,0.0,0.0,314.78,10.15,204.0,1005.25,
2006,1,3,1,7.28,91.53,0.0,0.0,0.0,322.02,10.15,207.0,1004.92,
2006,1,3,2,7.68,90.98,0.0,0.0,0.0,329.25,10.15,210.0,1004.59,
2006,1,3,3,7.43,88.4,0.0,0.0,0.0,334.7,9.27,228.0,1005.42,
2006,1,3,4,7.19,85.83,0.0,0.0,0.0,340.15,8.39,245.0,1006.24,
2006,1,3,5,6.95,83.25,0.0,0.0,0.0,345.6,7.5,262.0,1007.06,
2006,1,3,6,6.28,82.72,0.0,0.0,0.0,340.28,7.56,278.0,1008.42,
2006,1,3,7,5.61,82.19,0.0,0.0,0.0,334.97,7.62,293.0,1009.77,
2006,1,3,8,4.93,81.66,0.0,0.0,0.0,329.65,7.68,309.0,1011.12,
2006,1,3,9,5.31,82.08,0.0,0.0,0.0,315.87,7.28,310.0,1012.27,
2006,1,3,10,5.69,82.5,55.0,144.0,40.0,302.08,6.87,312.0,1013.43,
2006,1,3,11,6.07,82.92,87.0,141.9,65.0,288.3,6.47,314.0,1014.58,
2006,1,3,12,5.45,81.44,107.0,196.4,73.0,275.53,5.9,316.0,1015.34,
2006,1,3,13,4.83,79.96,111.0,330.84,59.0,262.77,5.34,317.0,1016.1,
2006,1,3,14,4.21,78.48,62.0,184.68,42.0,250.0,4.77,319.0,1016.86,
2006,1,3,15,2.86,78.59,0.0,0.0,0.0,253.53,4.47,319.0,1017.62,
2006,1,3,16,1.5,78.71,0.0,0.0,0.0,257.07,4.17,319.0,1018.38,
2006,1,3,17,0.14,78.82,0.0,0.0,0.0,260.6,3.88,318.0,1019.13,
2006,1,3,18,-0.38,78.52,0.0,0.0,0.0,263.85,3.55,318.0,1019.6,
2006,1,3,19,-0.91,78.21,0.0,0.0,0.0,267.1,3.23,319.0,1020.06,
2006,1,3,20,-1.43,77.91,0.0,0.0,0.0,270.35,2.91,319.0,1020.52,
2006,1,3,21,-1.34,76.63,0.0,0.0,0.0,271.7,2.27,326.0,1020.82,
2006,1,3,22,-1.26,75.34,0.0,0.0,0.0,273.05,1.63,333.0,1021.11,
2006,1,3,23,-1.17,74.06,0.0,0.0,0.0,274.4,0.99,340.0,1021.41,
2006,1,4,0,-1.25,72.58,0.0,0.0,0.0,274.77,1.08,30.0,1021.51,
2006,1,4,1,-1.33,71.1,0.0,0.0,0.0,275.13,1.16,80.0,1021.61,
2006,1,4,2,-1.41,69.62,0.0,0.0,0.0,275.5,1.24,130.0,1021.71,
