Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,575,Southend-on-Sea,GBR,United Kingdom,51.5500175162,0.71999710959,0,26.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2014,1,1,0,8.33,83.36,0.0,0.0,0.0,308.29,10.03,213.0,999.85,
2014,1,1,1,7.99,83.37,0.0,0.0,0.0,300.38,9.55,211.0,999.48,
2014,1,1,2,7.64,83.37,0.0,0.0,0.0,292.48,9.07,208.0,999.11,
2014,1,1,3,7.3,83.37,0.0,0.0,0.0,284.57,8.59,206.0,998.78,
2014,1,1,4,6.96,83.37,0.0,0.0,0.0,276.67,8.11,203.0,998.45,
2014,1,1,5,6.62,83.37,0.0,0.0,0.0,268.76,7.63,200.0,998.12,
2014,1,1,6,6.28,83.37,0.0,0.0,0.0,260.86,7.15,195.0,997.72,
2014,1,1,7,5.94,83.38,0.0,0.0,0.0,252.95,6.68,190.0,997.32,
2014,1,1,8,7.51,84.66,0.0,0.0,0.0,279.25,8.95,185.0,996.92,
2014,1,1,9,7.69,86.96,41.0,17.15,39.0,291.67,9.84,182.0,995.63,
2014,1,1,10,7.87,89.26,79.0,19.79,75.0,304.08,10.74,179.0,994.33,
2014,1,1,11,8.05,91.56,75.0,0.0,75.0,316.5,11.63,176.0,993.03,
2014,1,1,12,8.47,92.57,79.0,0.0,79.0,322.43,12.11,178.0,991.01,
2014,1,1,13,8.89,93.57,77.0,4.18,76.0,328.37,12.6,179.0,988.98,
2014,1,1,14,9.31,94.58,51.0,0.0,51.0,334.3,13.09,181.0,986.95,
2014,1,1,15,9.22,94.44,16.0,0.0,16.0,336.95,12.92,182.0,986.09,
2014,1,1,16,9.14,94.31,0.0,0.0,0.0,339.6,12.75,184.0,985.22,
2014,1,1,17,9.06,94.17,0.0,0.0,0.0,342.25,12.58,185.0,984.36,
2014,1,1,18,9.13,93.96,0.0,0.0,0.0,344.67,11.94,187.0,983.93,
2014,1,1,19,9.2,93.76,0.0,0.0,0.0,347.08,11.3,189.0,983.5,
2014,1,1,20,9.27,93.55,0.0,0.0,0.0,349.5,10.66,190.0,983.06,
2014,1,1,21,9.2,93.68,0.0,0.0,0.0,349.05,10.06,195.0,982.93,
2014,1,1,22,9.12,93.8,0.0,0.0,0.0,348.6,9.46,200.0,982.8,
2014,1,1,23,9.05,93.93,0.0,0.0,0.0,348.15,8.86,206.0,982.67,
2014,1,2,0,8.68,93.1,0.0,0.0,0.0,347.55,8.53,207.0,982.83,
2014,1,2,1,8.31,92.26,0.0,0.0,0.0,346.95,8.21,208.0,983.0,
2014,1,2,2,7.94,91.43,0.0,0.0,0.0,346.35,7.89,210.0,983.16,
2014,1,2,3,7.49,91.89,0.0,0.0,0.0,342.75,7.95,219.0,984.06,
2014,1,2,4,7.05,92.35,0.0,0.0,0.0,339.15,8.01,229.0,984.96,
2014,1,2,5,6.6,92.81,0.0,0.0,0.0,335.55,8.07,239.0,985.86,
2014,1,2,6,6.52,91.92,0.0,0.0,0.0,330.2,7.25,245.0,987.52,
2014,1,2,7,6.44,91.04,0.0,0.0,0.0,324.85,6.42,250.0,989.18,
2014,1,2,8,6.36,90.15,0.0,0.0,0.0,319.5,5.6,255.0,990.84,
2014,1,2,9,7.38,87.66,79.0,324.11,41.0,315.4,5.71,251.0,991.77,
2014,1,2,10,8.4,85.18,170.0,536.97,61.0,311.3,5.83,246.0,992.7,
2014,1,2,11,9.42,82.69,225.0,606.01,71.0,307.2,5.94,241.0,993.63,
2014,1,2,12,9.34,81.47,238.0,606.42,76.0,297.05,6.29,236.0,994.03,
2014,1,2,13,9.27,80.25,209.0,568.06,72.0,286.9,6.64,230.0,994.43,
2014,1,2,14,9.19,79.03,142.0,488.82,55.0,276.75,6.99,224.0,994.83,
2014,1,2,15,8.68,80.73,41.0,146.57,29.0,277.45,6.88,218.0,994.99,
2014,1,2,16,8.18,82.44,0.0,0.0,0.0,278.15,6.77,212.0,995.16,
2014,1,2,17,7.68,84.14,0.0,0.0,0.0,278.85,6.66,206.0,995.33,
2014,1,2,18,7.78,84.99,0.0,0.0,0.0,277.32,6.77,202.0,995.13,
2014,1,2,19,7.87,85.84,0.0,0.0,0.0,275.78,6.88,198.0,994.93,
2014,1,2,20,7.97,86.69,0.0,0.0,0.0,274.25,6.99,194.0,994.73,
2014,1,2,21,8.19,87.57,0.0,0.0,0.0,279.42,8.2,191.0,993.93,
2014,1,2,22,8.42,88.45,0.0,0.0,0.0,284.58,9.41,189.0,993.13,
2014,1,2,23,8.64,89.33,0.0,0.0,0.0,289.75,10.62,186.0,992.34,
2014,1,3,0,8.88,91.0,0.0,0.0,0.0,296.17,10.82,191.0,991.27,
2014,1,3,1,9.13,92.68,0.0,0.0,0.0,302.58,11.03,195.0,990.21,
2014,1,3,2,9.37,94.35,0.0,0.0,0.0,309.0,11.23,200.0,989.15,
2014,1,3,3,9.01,93.54,0.0,0.0,0.0,322.57,10.54,207.0,989.38,
2014,1,3,4,8.64,92.74,0.0,0.0,0.0,336.13,9.86,214.0,989.61,
2014,1,3,5,8.28,91.93,0.0,0.0,0.0,349.7,9.17,221.0,989.84,
2014,1,3,6,8.16,91.42,0.0,0.0,0.0,348.7,9.65,220.0,990.14,
2014,1,3,7,8.04,90.91,0.0,0.0,0.0,347.7,10.12,219.0,990.44,
2014,1,3,8,7.91,90.4,0.0,0.0,0.0,346.7,10.59,218.0,990.74,
2014,1,3,9,8.41,87.34,83.0,373.0,39.0,339.1,10.3,220.0,991.04,
2014,1,3,10,8.91,84.27,172.0,544.1,61.0,331.5,10.01,221.0,991.34,
2014,1,3,11,9.4,81.21,193.0,344.5,105.0,323.9,9.72,222.0,991.64,
2014,1,3,12,8.67,82.03,153.0,107.9,124.0,316.0,10.44,224.0,991.57,
2014,1,3,13,7.94,82.84,22.0,0.0,22.0,308.1,11.15,226.0,991.5,
2014,1,3,14,7.21,83.66,111.0,188.8,77.0,300.2,11.86,228.0,991.44,
2014,1,3,15,6.84,81.86,49.0,249.62,28.0,292.85,11.27,230.0,992.1,
2014,1,3,16,6.48,80.06,0.0,0.0,0.0,285.5,10.69,233.0,992.77,
2014,1,3,17,6.12,78.26,0.0,0.0,0.0,278.15,10.1,236.0,993.43,
2014,1,3,18,6.43,74.86,0.0,0.0,0.0,274.18,9.96,235.0,994.5,
2014,1,3,19,6.73,71.47,0.0,0.0,0.0,270.22,9.82,234.0,995.56,
2014,1,3,20,7.04,68.07,0.0,0.0,0.0,266.25,9.68,232.0,996.62,
2014,1,3,21,7.0,66.72,0.0,0.0,0.0,266.83,9.77,228.0,996.95,
2014,1,3,22,6.95,65.37,0.0,0.0,0.0,267.42,9.86,224.0,997.29,
2014,1,3,23,6.91,64.02,0.0,0.0,0.0,268.0,9.94,220.0,997.62,
2014,1,4,0,6.93,66.41,0.0,0.0,0.0,272.53,9.27,214.0,997.49,
2014,1,4,1,6.95,68.81,0.0,0.0,0.0,277.07,8.59,208.0,997.35,
2014,1,4,2,6.97,71.2,0.0,0.0,0.0,281.6,7.92,202.0,997.22,
2014,1,4,3,7.05,78.32,0.0,0.0,0.0,288.57,8.78,194.0,995.99,
2014,1,4,4,7.13,85.43,0.0,0.0,0.0,295.53,9.64,187.0,994.76,
2014,1,4,5,7.21,92.55,0.0,0.0,0.0,302.5,10.5,179.0,993.53,
2014,1,4,6,7.4,92.6,0.0,0.0,0.0,306.12,10.23,178.0,992.44,
2014,1,4,7,7.59,92.65,0.0,0.0,0.0,309.73,9.96,177.0,991.34,
2014,1,4,8,7.78,92.7,0.0,0.0,0.0,313.35,9.7,176.0,990.24,
2014,1,4,9,8.11,91.67,9.0,0.0,9.0,312.95,9.96,176.0,989.28,
2014,1,4,10,8.44,90.63,151.0,341.22,81.0,312.55,10.22,175.0,988.31,
2014,1,4,11,8.76,89.6,63.0,0.0,63.0,312.15,10.48,175.0,987.35,
2014,1,4,12,8.44,91.06,212.0,388.17,107.0,310.88,9.49,185.0,986.69,
2014,1,4,13,8.12,92.53,96.0,16.32,92.0,309.62,8.49,196.0,986.02,
2014,1,4,14,7.8,93.99,58.0,5.49,57.0,308.35,7.49,206.0,985.36,
2014,1,4,15,6.97,93.27,5.0,0.0,5.0,313.25,7.28,220.0,986.02,
2014,1,4,16,6.14,92.56,0.0,0.0,0.0,318.15,7.08,234.0,986.69,
2014,1,4,17,5.31,91.84,0.0,0.0,0.0,323.05,6.87,248.0,987.35,
2014,1,4,18,4.74,91.09,0.0,0.0,0.0,319.08,6.44,255.0,988.38,
2014,1,4,19,4.17,90.35,0.0,0.0,0.0,315.12,6.0,262.0,989.41,
2014,1,4,20,3.6,89.6,0.0,0.0,0.0,311.15,5.57,269.0,990.44,
2014,1,4,21,3.4,89.78,0.0,0.0,0.0,301.55,5.53,268.0,991.5,
2014,1,4,22,3.21,89.97,0.0,0.0,0.0,291.95,5.49,267.0,992.57,
2014,1,4,23,3.01,90.15,0.0,0.0,0.0,282.35,5.45,266.0,993.63,
2014,1,5,0,2.85,89.68,0.0,0.0,0.0,269.33,5.34,257.0,994.5,
2014,1,5,1,2.7,89.21,0.0,0.0,0.0,256.32,5.23,249.0,995.36,
2014,1,5,2,2.54,88.74,0.0,0.0,0.0,243.3,5.12,240.0,996.22,
2014,1,5,3,2.27,89.11,0.0,0.0,0.0,245.57,4.88,239.0,996.69,
2014,1,5,4,2.01,89.49,0.0,0.0,0.0,247.83,4.64,238.0,997.15,
2014,1,5,5,1.74,89.86,0.0,0.0,0.0,250.1,4.4,237.0,997.62,
2014,1,5,6,1.94,90.09,0.0,0.0,0.0,248.27,4.52,233.0,998.42,
2014,1,5,7,2.14,90.31,0.0,0.0,0.0,246.43,4.65,229.0,999.21,
2014,1,5,8,2.35,90.54,0.0,0.0,0.0,244.6,4.77,224.0,1000.01,
2014,1,5,9,4.0,89.12,65.0,150.28,47.0,247.92,4.63,220.0,999.88,
2014,1,5,10,5.66,87.7,115.0,116.27,91.0,251.23,4.5,216.0,999.75,
2014,1,5,11,7.31,86.28,95.0,11.61,92.0,254.55,4.36,211.0,999.61,
2014,1,5,12,7.4,86.2,82.0,0.0,82.0,272.93,5.43,206.0,999.61,
2014,1,5,13,7.48,86.11,69.0,0.0,69.0,291.32,6.51,200.0,999.61,
2014,1,5,14,7.57,86.03,44.0,0.0,44.0,309.7,7.59,195.0,999.61,
2014,1,5,15,7.65,85.5,28.0,11.24,27.0,314.55,8.57,190.0,998.48,
2014,1,5,16,7.74,84.98,0.0,0.0,0.0,319.4,9.55,184.0,997.35,
2014,1,5,17,7.83,84.45,0.0,0.0,0.0,324.25,10.54,179.0,996.22,
2014,1,5,18,8.51,87.33,0.0,0.0,0.0,328.48,10.66,182.0,995.29,
2014,1,5,19,9.2,90.22,0.0,0.0,0.0,332.72,10.78,185.0,994.36,
2014,1,5,20,9.88,93.1,0.0,0.0,0.0,336.95,10.9,188.0,993.43,
2014,1,5,21,10.25,94.01,0.0,0.0,0.0,344.68,10.89,192.0,992.67,
2014,1,5,22,10.61,94.91,0.0,0.0,0.0,352.42,10.89,197.0,991.9,
2014,1,5,23,10.98,95.82,0.0,0.0,0.0,360.15,10.88,201.0,991.14,
2014,1,6,0,10.95,95.47,0.0,0.0,0.0,360.15,10.97,204.0,990.71,
2014,1,6,1,10.91,95.11,0.0,0.0,0.0,360.15,11.06,207.0,990.28,
2014,1,6,2,10.88,94.76,0.0,0.0,0.0,360.15,11.14,209.0,989.84,
2014,1,6,3,10.57,93.69,0.0,0.0,0.0,365.05,11.07,212.0,990.14,
2014,1,6,4,10.25,92.63,0.0,0.0,0.0,369.95,11.0,215.0,990.44,
2014,1,6,5,9.94,91.56,0.0,0.0,0.0,374.85,10.92,217.0,990.74,
2014,1,6,6,9.89,90.28,0.0,0.0,0.0,370.22,10.61,216.0,991.34,
