Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1583,Bagamoyo,TZA,United Republic of Tanzania,-6.43962115593,38.8900186755,3,18.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2009,1,1,0,26.72,90.6,0.0,0.0,0.0,415.07,3.45,12.0,1008.08,
2009,1,1,1,26.9,89.21,0.0,0.0,0.0,414.63,3.47,1.0,1007.81,
2009,1,1,2,27.09,87.83,0.0,0.0,0.0,414.19,3.49,349.0,1007.55,
2009,1,1,3,27.27,86.44,0.0,0.0,0.0,413.76,3.51,5.0,1008.71,
2009,1,1,4,27.46,85.06,0.0,0.0,0.0,413.32,3.53,6.0,1008.78,
2009,1,1,5,27.64,83.67,0.0,0.0,0.0,412.88,3.55,6.0,1008.84,
2009,1,1,6,27.82,82.29,0.0,0.0,0.0,412.45,3.57,4.0,1009.28,
2009,1,1,7,28.01,80.9,61.0,5.19,60.0,412.01,3.59,2.0,1009.71,
2009,1,1,8,28.19,79.52,334.0,382.41,173.0,411.57,3.61,1.0,1010.14,
2009,1,1,9,28.38,78.13,635.0,830.37,117.0,411.14,3.63,2.0,1009.74,
2009,1,1,10,28.56,76.75,823.0,862.66,144.0,410.7,3.65,4.0,1009.34,
2009,1,1,11,31.44,72.19,962.0,904.71,148.0,428.8,4.54,6.0,1008.94,
2009,1,1,12,31.28,73.67,1024.0,906.67,159.0,429.97,4.59,10.0,1008.05,
2009,1,1,13,31.13,75.15,1014.0,903.51,159.0,431.13,4.65,15.0,1007.15,
2009,1,1,14,30.97,76.63,937.0,910.97,138.0,432.3,4.7,19.0,1006.25,
2009,1,1,15,30.81,74.75,773.0,830.81,149.0,429.7,4.58,21.0,1006.18,
2009,1,1,16,30.65,72.86,564.0,745.41,134.0,427.1,4.46,24.0,1006.12,
2009,1,1,17,30.5,70.98,323.0,595.09,105.0,424.5,4.34,26.0,1006.05,
2009,1,1,18,29.44,73.96,84.0,261.55,49.0,418.32,4.17,29.0,1006.88,
2009,1,1,19,28.38,76.93,0.0,0.0,0.0,412.13,3.99,31.0,1007.71,
2009,1,1,20,27.32,79.91,0.0,0.0,0.0,405.95,3.81,34.0,1008.54,
2009,1,1,21,26.81,81.94,0.0,0.0,0.0,403.95,3.49,32.0,1008.71,
2009,1,1,22,26.29,83.96,0.0,0.0,0.0,401.95,3.17,31.0,1008.88,
2009,1,1,23,25.78,85.99,0.0,0.0,0.0,399.95,2.86,30.0,1009.04,
2009,1,2,0,25.6,87.57,0.0,0.0,0.0,398.77,2.58,28.0,1008.61,
2009,1,2,1,25.43,89.14,0.0,0.0,0.0,397.58,2.31,26.0,1008.18,
2009,1,2,2,25.25,90.72,0.0,0.0,0.0,396.4,2.04,23.0,1007.75,
2009,1,2,3,25.35,91.08,0.0,0.0,0.0,399.78,1.94,25.0,1008.08,
2009,1,2,4,25.45,91.43,0.0,0.0,0.0,403.17,1.84,26.0,1008.41,
2009,1,2,5,25.55,91.79,0.0,0.0,0.0,406.55,1.74,27.0,1008.74,
2009,1,2,6,26.21,91.58,0.0,0.0,0.0,409.38,2.4,25.0,1009.24,
2009,1,2,7,26.87,91.38,67.4,91.25,50.0,412.22,3.05,22.0,1009.74,
2009,1,2,8,27.54,91.17,234.0,195.6,151.95,415.05,3.71,20.0,1010.24,
2009,1,2,9,28.26,88.95,476.15,429.05,209.0,418.03,4.0,19.0,1009.88,
2009,1,2,10,28.99,86.73,688.45,588.65,225.55,421.02,4.3,18.0,1009.51,
2009,1,2,11,29.71,84.51,862.25,751.64,186.15,424.0,4.59,17.0,1009.14,
2009,1,2,12,29.72,82.48,944.05,802.38,178.35,424.7,4.66,19.0,1008.25,
2009,1,2,13,29.74,80.46,1015.0,903.89,159.0,425.4,4.73,21.0,1007.35,
2009,1,2,14,29.75,78.43,865.2,788.44,172.8,426.1,4.8,22.0,1006.45,
2009,1,2,15,29.59,77.49,771.0,817.28,156.0,425.87,4.33,24.0,1006.42,
2009,1,2,16,29.43,76.55,554.3,699.05,149.9,425.63,3.86,25.0,1006.38,
2009,1,2,17,29.27,75.61,319.0,556.99,114.0,425.4,3.39,26.0,1006.35,
2009,1,2,18,28.3,78.29,90.1,279.71,52.2,420.37,3.29,27.0,1007.21,
2009,1,2,19,27.34,80.96,0.0,0.0,0.0,415.33,3.19,29.0,1008.08,
2009,1,2,20,26.37,83.64,0.0,0.0,0.0,410.3,3.09,31.0,1008.94,
2009,1,2,21,26.05,85.08,0.0,0.0,0.0,408.93,2.94,30.0,1009.18,
2009,1,2,22,25.74,86.53,0.0,0.0,0.0,407.57,2.79,30.0,1009.41,
2009,1,2,23,25.42,87.97,0.0,0.0,0.0,406.2,2.63,29.0,1009.64,
2009,1,3,0,25.35,89.18,0.0,0.0,0.0,403.83,2.41,25.0,1009.34,
2009,1,3,1,25.28,90.39,0.0,0.0,0.0,401.47,2.18,22.0,1009.04,
2009,1,3,2,25.21,91.6,0.0,0.0,0.0,399.1,1.96,18.0,1008.74,
2009,1,3,3,25.44,90.85,0.0,0.0,0.0,401.02,2.12,15.0,1008.74,
2009,1,3,4,25.68,90.09,0.0,0.0,0.0,402.93,2.29,11.0,1008.74,
2009,1,3,5,25.91,89.34,0.0,0.0,0.0,404.85,2.46,8.0,1008.74,
2009,1,3,6,26.78,85.96,0.0,0.0,0.0,406.22,2.87,8.0,1009.21,
2009,1,3,7,27.64,82.59,65.0,10.59,63.0,407.58,3.28,7.0,1009.68,
2009,1,3,8,28.51,79.21,228.45,195.12,146.9,408.95,3.7,7.0,1010.14,
2009,1,3,9,29.67,75.42,607.0,720.82,159.0,414.17,4.06,8.0,1009.74,
2009,1,3,10,30.84,71.63,668.25,537.3,246.1,419.38,4.42,10.0,1009.34,
2009,1,3,11,32.0,67.84,932.0,813.98,200.0,424.6,4.79,12.0,1008.94,
2009,1,3,12,31.97,68.6,919.1,743.43,209.45,427.0,4.94,15.0,1008.11,
2009,1,3,13,31.93,69.36,1016.0,904.24,159.0,429.4,5.1,19.0,1007.28,
2009,1,3,14,31.9,70.12,846.95,740.17,196.1,431.8,5.26,22.0,1006.45,
2009,1,3,15,31.07,71.32,772.0,817.05,156.0,428.08,5.02,25.0,1006.38,
2009,1,3,16,30.24,72.51,553.35,687.69,154.4,424.37,4.78,28.0,1006.32,
2009,1,3,17,29.41,73.71,320.0,557.13,114.0,420.65,4.54,31.0,1006.25,
2009,1,3,18,28.5,75.51,91.35,281.82,52.7,415.17,4.34,33.0,1007.15,
2009,1,3,19,27.59,77.3,0.0,0.0,0.0,409.68,4.13,34.0,1008.05,
2009,1,3,20,26.68,79.1,0.0,0.0,0.0,404.2,3.93,35.0,1008.94,
2009,1,3,21,26.38,80.13,0.0,0.0,0.0,401.95,3.73,33.0,1009.41,
2009,1,3,22,26.07,81.16,0.0,0.0,0.0,399.7,3.53,31.0,1009.88,
2009,1,3,23,25.77,82.19,0.0,0.0,0.0,397.45,3.32,30.0,1010.34,
2009,1,4,0,25.75,83.03,0.0,0.0,0.0,395.7,3.09,26.0,1010.01,
2009,1,4,1,25.74,83.87,0.0,0.0,0.0,393.95,2.86,22.0,1009.68,
2009,1,4,2,25.72,84.71,0.0,0.0,0.0,392.2,2.63,19.0,1009.34,
2009,1,4,3,25.66,85.37,0.0,0.0,0.0,392.82,2.57,19.0,1009.24,
2009,1,4,4,25.59,86.04,0.0,0.0,0.0,393.43,2.5,18.0,1009.14,
2009,1,4,5,25.53,86.7,0.0,0.0,0.0,394.05,2.43,18.0,1009.04,
2009,1,4,6,26.23,84.34,0.0,0.0,0.0,396.52,2.86,17.0,1009.54,
2009,1,4,7,26.93,81.98,77.0,37.42,70.0,398.98,3.3,15.0,1010.04,
2009,1,4,8,27.63,79.62,221.15,197.86,138.75,401.45,3.74,14.0,1010.54,
2009,1,4,9,28.41,76.86,543.0,488.39,240.0,407.85,3.94,14.0,1010.08,
2009,1,4,10,29.2,74.11,621.05,500.3,228.3,414.25,4.15,15.0,1009.61,
2009,1,4,11,29.99,71.35,961.0,904.22,148.0,420.65,4.36,16.0,1009.14,
2009,1,4,12,30.53,69.94,904.35,706.69,229.55,422.77,4.56,19.0,1008.15,
2009,1,4,13,31.07,68.52,1017.0,904.57,159.0,424.88,4.76,22.0,1007.15,
2009,1,4,14,31.61,67.11,853.15,734.38,206.55,427.0,4.97,25.0,1006.15,
2009,1,4,15,31.01,67.78,774.0,818.14,156.0,423.83,4.51,27.0,1006.32,
2009,1,4,16,30.41,68.45,547.55,664.97,160.7,420.67,4.06,29.0,1006.48,
2009,1,4,17,29.81,69.12,312.0,500.75,126.0,417.5,3.61,30.0,1006.65,
2009,1,4,18,28.76,71.81,91.4,272.75,53.55,414.87,3.56,31.0,1007.38,
