Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1581,Chake Chake,TZA,United Republic of Tanzania,-5.23953936882,39.770016641,3,46.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2014,1,1,0,27.84,83.44,0.0,0.0,0.0,415.89,5.57,20.0,1006.06,
2014,1,1,1,27.75,83.56,0.0,0.0,0.0,414.9,5.62,13.0,1006.03,
2014,1,1,2,27.66,83.68,0.0,0.0,0.0,413.91,5.67,7.0,1006.0,
2014,1,1,3,27.57,83.81,0.0,0.0,0.0,412.92,5.71,22.0,1004.27,
2014,1,1,4,27.48,83.93,0.0,0.0,0.0,411.93,5.76,24.0,1004.34,
2014,1,1,5,27.39,84.05,0.0,0.0,0.0,410.94,5.81,26.0,1004.4,
2014,1,1,6,27.3,84.17,0.0,0.0,0.0,409.95,5.85,22.0,1004.84,
2014,1,1,7,27.21,84.29,114.0,145.67,85.0,408.96,5.9,18.0,1005.27,
2014,1,1,8,27.12,84.42,354.0,447.36,163.0,407.97,5.95,14.0,1005.7,
2014,1,1,9,27.03,84.54,351.0,74.82,304.0,406.98,5.99,15.0,1005.3,
2014,1,1,10,26.94,84.66,658.0,376.44,361.0,405.99,6.04,17.0,1004.9,
2014,1,1,11,28.88,79.19,835.0,543.14,347.0,418.7,7.59,18.0,1004.5,
2014,1,1,12,28.84,79.37,874.0,517.29,383.0,417.98,7.49,22.0,1003.48,
2014,1,1,13,28.81,79.54,897.0,599.39,335.0,417.27,7.4,26.0,1002.45,
2014,1,1,14,28.77,79.72,867.0,724.04,241.0,416.55,7.31,30.0,1001.42,
2014,1,1,15,28.54,79.41,693.0,608.09,246.0,416.0,7.82,33.0,1001.59,
2014,1,1,16,28.3,79.09,473.0,449.89,222.0,415.45,8.33,37.0,1001.75,
2014,1,1,17,28.07,78.78,281.0,463.56,121.0,414.9,8.84,40.0,1001.92,
2014,1,1,18,27.7,79.86,49.0,80.86,40.0,413.6,8.89,40.0,1002.65,
2014,1,1,19,27.34,80.93,0.0,0.0,0.0,412.3,8.93,39.0,1003.38,
2014,1,1,20,26.97,82.01,0.0,0.0,0.0,411.0,8.98,38.0,1004.11,
2014,1,1,21,26.86,82.66,0.0,0.0,0.0,411.25,8.39,36.0,1004.37,
2014,1,1,22,26.74,83.3,0.0,0.0,0.0,411.5,7.79,33.0,1004.64,
2014,1,1,23,26.62,83.95,0.0,0.0,0.0,411.75,7.2,31.0,1004.9,
2014,1,2,0,26.51,84.45,0.0,0.0,0.0,413.05,6.94,29.0,1004.74,
2014,1,2,1,26.4,84.94,0.0,0.0,0.0,414.35,6.68,27.0,1004.57,
2014,1,2,2,26.29,85.44,0.0,0.0,0.0,415.65,6.41,25.0,1004.4,
2014,1,2,3,26.34,85.61,0.0,0.0,0.0,415.97,6.54,24.0,1004.57,
2014,1,2,4,26.4,85.79,0.0,0.0,0.0,416.28,6.67,23.0,1004.74,
2014,1,2,5,26.45,85.96,0.0,0.0,0.0,416.6,6.8,22.0,1004.9,
2014,1,2,6,26.75,85.41,0.0,0.0,0.0,417.47,6.92,22.0,1005.43,
2014,1,2,7,27.04,84.86,122.0,202.73,82.0,418.33,7.05,22.0,1005.96,
2014,1,2,8,27.33,84.31,359.0,474.79,157.0,419.2,7.17,21.0,1006.49,
2014,1,2,9,27.74,83.35,449.0,224.87,308.0,420.02,7.55,23.0,1006.13,
