Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1572,Kanyato,TZA,United Republic of Tanzania,-4.45653806673,30.26139807,3,1487.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2009,1,1,0,17.92,97.22,0.0,0.0,0.0,378.14,1.57,293.0,849.68,
2009,1,1,1,17.97,97.13,0.0,0.0,0.0,379.4,1.55,285.0,849.4,
2009,1,1,2,18.03,97.03,0.0,0.0,0.0,380.66,1.53,278.0,849.12,
2009,1,1,3,18.08,96.94,0.0,0.0,0.0,381.92,1.51,273.0,847.26,
2009,1,1,4,18.14,96.85,0.0,0.0,0.0,383.18,1.49,264.0,847.06,
2009,1,1,5,18.19,96.76,0.0,0.0,0.0,384.45,1.47,256.0,846.87,
2009,1,1,6,18.25,96.66,0.0,0.0,0.0,385.71,1.45,255.0,847.45,
2009,1,1,7,18.31,96.57,2.0,0.0,2.0,386.97,1.43,254.0,848.04,
2009,1,1,8,18.36,96.48,177.0,182.19,126.0,388.23,1.41,253.0,848.62,
2009,1,1,9,18.42,96.38,115.0,0.0,115.0,389.49,1.39,255.0,848.37,
2009,1,1,10,18.47,96.29,120.0,0.0,120.0,390.75,1.37,258.0,848.12,
2009,1,1,11,22.1,90.17,172.0,0.0,172.0,397.9,0.9,261.0,847.87,
2009,1,1,12,21.99,89.42,476.0,39.13,440.0,398.15,0.72,253.0,846.76,
2009,1,1,13,21.88,88.68,601.0,110.77,496.0,398.4,0.55,244.0,845.64,
2009,1,1,14,21.78,87.93,825.0,482.78,384.0,398.65,0.37,236.0,844.53,
2009,1,1,15,21.49,84.19,862.0,854.94,162.0,390.63,0.69,194.0,844.81,
2009,1,1,16,21.2,80.45,703.0,889.07,107.0,382.62,1.0,152.0,845.08,
2009,1,1,17,20.91,76.71,463.0,737.96,110.0,374.6,1.31,110.0,845.36,
2009,1,1,18,19.82,81.06,173.0,254.11,108.0,367.0,1.4,97.0,845.92,
2009,1,1,19,18.72,85.41,0.0,0.0,0.0,359.4,1.49,85.0,846.48,
2009,1,1,20,17.63,89.76,0.0,0.0,0.0,351.8,1.57,72.0,847.04,
2009,1,1,21,17.39,90.12,0.0,0.0,0.0,347.43,1.37,109.0,847.45,
2009,1,1,22,17.14,90.48,0.0,0.0,0.0,343.07,1.17,146.0,847.87,
2009,1,1,23,16.9,90.84,0.0,0.0,0.0,338.7,0.97,183.0,848.29,
2009,1,2,0,16.54,92.83,0.0,0.0,0.0,335.78,1.1,192.0,848.01,
2009,1,2,1,16.19,94.82,0.0,0.0,0.0,332.87,1.23,201.0,847.73,
2009,1,2,2,15.83,96.81,0.0,0.0,0.0,329.95,1.37,210.0,847.45,
2009,1,2,3,15.35,97.15,0.0,0.0,0.0,332.02,1.32,201.0,847.23,
2009,1,2,4,14.87,97.48,0.0,0.0,0.0,334.08,1.28,193.0,847.01,
2009,1,2,5,14.39,97.82,0.0,0.0,0.0,336.15,1.24,185.0,846.78,
2009,1,2,6,15.99,95.0,0.0,0.0,0.0,341.95,0.97,174.0,847.23,
2009,1,2,7,17.59,92.18,5.05,12.2,4.55,347.75,0.69,163.0,847.68,
2009,1,2,8,19.19,89.36,130.15,162.44,84.95,353.55,0.41,152.0,848.12,
2009,1,2,9,20.92,83.78,265.7,232.84,149.6,366.4,0.36,102.0,847.73,
2009,1,2,10,22.65,78.2,424.45,314.52,208.35,379.25,0.31,52.0,847.34,
2009,1,2,11,24.39,72.62,604.85,415.57,259.6,392.1,0.26,2.0,846.95,
2009,1,2,12,24.34,72.3,744.95,490.85,293.4,392.07,0.29,355.0,845.78,
2009,1,2,13,24.29,71.97,947.0,684.28,298.0,392.03,0.32,347.0,844.61,
2009,1,2,14,24.24,71.65,763.05,502.14,303.9,392.0,0.34,339.0,843.44,
2009,1,2,15,23.73,74.35,556.0,159.74,425.0,388.3,0.53,29.0,843.44,
2009,1,2,16,23.22,77.05,506.9,422.88,222.75,384.6,0.71,79.0,843.44,
2009,1,2,17,22.71,79.75,442.0,620.73,144.0,380.9,0.9,129.0,843.44,
2009,1,2,18,21.42,84.04,150.6,234.31,90.25,372.67,1.34,126.0,844.25,
2009,1,2,19,20.14,88.34,0.0,0.0,0.0,364.43,1.78,122.0,845.06,
2009,1,2,20,18.85,92.63,0.0,0.0,0.0,356.2,2.22,119.0,845.86,
2009,1,2,21,18.22,94.3,0.0,0.0,0.0,351.27,2.23,128.0,846.51,
2009,1,2,22,17.59,95.97,0.0,0.0,0.0,346.33,2.25,138.0,847.15,
2009,1,2,23,16.96,97.64,0.0,0.0,0.0,341.4,2.26,147.0,847.79,
2009,1,3,0,16.83,97.83,0.0,0.0,0.0,346.5,1.88,183.0,847.82,
2009,1,3,1,16.7,98.02,0.0,0.0,0.0,351.6,1.5,218.0,847.84,
2009,1,3,2,16.57,98.21,0.0,0.0,0.0,356.7,1.12,254.0,847.87,
2009,1,3,3,16.42,97.93,0.0,0.0,0.0,365.9,1.2,281.0,847.79,
2009,1,3,4,16.28,97.65,0.0,0.0,0.0,375.1,1.27,309.0,847.7,
2009,1,3,5,16.14,97.37,0.0,0.0,0.0,384.3,1.35,336.0,847.62,
2009,1,3,6,17.24,94.6,0.0,0.0,0.0,387.1,1.23,315.0,847.82,
2009,1,3,7,18.35,91.83,2.0,0.0,2.0,389.9,1.11,294.0,848.01,
2009,1,3,8,19.46,89.06,132.0,170.83,84.75,392.7,0.99,273.0,848.21,
2009,1,3,9,20.69,85.6,482.0,721.88,123.0,396.45,1.08,218.0,847.7,
2009,1,3,10,21.93,82.14,465.65,383.13,202.75,400.2,1.17,163.0,847.2,
2009,1,3,11,23.17,78.68,538.0,128.86,431.0,403.95,1.26,108.0,846.7,
2009,1,3,12,22.97,79.66,740.2,494.95,284.85,402.82,1.19,121.0,845.89,
2009,1,3,13,22.77,80.64,92.0,0.0,92.0,401.68,1.12,133.0,845.08,
2009,1,3,14,22.57,81.62,760.7,520.51,284.25,400.55,1.05,146.0,844.28,
2009,1,3,15,21.79,85.05,443.0,53.57,399.0,395.22,0.91,138.0,844.64,
2009,1,3,16,21.01,88.48,512.75,423.59,227.45,389.88,0.76,131.0,845.0,
2009,1,3,17,20.24,91.91,470.0,753.4,107.0,384.55,0.62,124.0,845.36,
2009,1,3,18,19.45,93.79,148.15,227.71,89.1,378.8,0.69,169.0,846.2,
2009,1,3,19,18.67,95.66,0.0,0.0,0.0,373.05,0.77,213.0,847.04,
2009,1,3,20,17.88,97.54,0.0,0.0,0.0,367.3,0.84,258.0,847.87,
2009,1,3,21,17.75,97.98,0.0,0.0,0.0,367.5,1.18,248.0,848.21,
2009,1,3,22,17.63,98.43,0.0,0.0,0.0,367.7,1.52,237.0,848.54,
2009,1,3,23,17.5,98.87,0.0,0.0,0.0,367.9,1.86,227.0,848.87,
2009,1,4,0,17.46,99.04,0.0,0.0,0.0,370.12,1.84,229.0,848.46,
2009,1,4,1,17.43,99.21,0.0,0.0,0.0,372.33,1.83,231.0,848.04,
2009,1,4,2,17.39,99.38,0.0,0.0,0.0,374.55,1.81,233.0,847.62,
2009,1,4,3,16.98,99.04,0.0,0.0,0.0,374.0,1.66,243.0,847.62,
2009,1,4,4,16.58,98.71,0.0,0.0,0.0,373.45,1.52,253.0,847.62,
2009,1,4,5,16.18,98.37,0.0,0.0,0.0,372.9,1.38,262.0,847.62,
2009,1,4,6,17.17,96.53,0.0,0.0,0.0,375.55,1.48,265.0,847.93,
2009,1,4,7,18.16,94.69,0.0,0.0,0.0,378.2,1.58,267.0,848.23,
2009,1,4,8,19.16,92.85,120.3,152.38,78.4,380.85,1.68,270.0,848.54,
2009,1,4,9,20.07,90.75,442.0,538.28,175.0,383.72,1.48,285.0,848.01,
2009,1,4,10,20.98,88.64,451.05,358.08,205.65,386.58,1.27,301.0,847.48,
2009,1,4,11,21.9,86.54,653.0,291.58,411.0,389.45,1.06,317.0,846.95,
