Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1559,Karema,TZA,United Republic of Tanzania,-6.81618731804,30.4332738838,3,778.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2008,1,1,0,24.6,89.32,0.0,0.0,0.0,378.86,1.62,325.0,925.44,
2008,1,1,1,24.29,89.98,0.0,0.0,0.0,379.38,1.61,327.0,925.26,
2008,1,1,2,23.97,90.63,0.0,0.0,0.0,379.9,1.61,328.0,925.08,
2008,1,1,3,23.66,91.28,0.0,0.0,0.0,380.42,1.61,234.0,922.44,
2008,1,1,4,23.34,91.93,0.0,0.0,0.0,380.94,1.6,237.0,922.35,
2008,1,1,5,23.03,92.58,0.0,0.0,0.0,381.45,1.6,241.0,922.26,
2008,1,1,6,22.71,93.24,0.0,0.0,0.0,381.97,1.6,232.0,922.74,
2008,1,1,7,22.4,93.89,28.0,132.26,20.0,382.49,1.59,223.0,923.23,
2008,1,1,8,22.08,94.54,223.0,370.97,113.0,383.01,1.59,215.0,923.71,
2008,1,1,9,21.77,95.19,374.0,265.75,237.0,383.53,1.59,199.0,923.62,
2008,1,1,10,21.45,95.85,64.0,0.0,64.0,384.05,1.58,182.0,923.53,
2008,1,1,11,21.93,89.88,80.0,0.0,80.0,410.4,1.78,166.0,923.44,
2008,1,1,12,21.91,89.71,159.0,0.0,159.0,407.83,1.71,154.0,922.38,
2008,1,1,13,21.89,89.55,306.0,0.0,306.0,405.27,1.65,141.0,921.31,
2008,1,1,14,21.87,89.38,137.0,0.0,137.0,402.7,1.59,128.0,920.25,
2008,1,1,15,22.23,88.29,239.0,0.0,239.0,398.13,1.9,122.0,920.43,
2008,1,1,16,22.59,87.21,589.0,470.26,268.0,393.57,2.21,115.0,920.62,
2008,1,1,17,22.95,86.12,456.0,676.04,124.0,389.0,2.52,109.0,920.8,
2008,1,1,18,23.14,87.12,143.0,103.98,115.0,386.4,2.16,112.0,921.5,
2008,1,1,19,23.34,88.11,0.0,0.0,0.0,383.8,1.8,115.0,922.19,
2008,1,1,20,23.54,89.11,0.0,0.0,0.0,381.2,1.43,118.0,922.89,
2008,1,1,21,23.66,88.72,0.0,0.0,0.0,379.35,1.55,115.0,923.01,
2008,1,1,22,23.79,88.33,0.0,0.0,0.0,377.5,1.66,112.0,923.14,
2008,1,1,23,23.91,87.94,0.0,0.0,0.0,375.65,1.78,108.0,923.26,
2008,1,2,0,24.08,88.06,0.0,0.0,0.0,373.42,1.65,103.0,923.08,
2008,1,2,1,24.24,88.18,0.0,0.0,0.0,371.18,1.51,99.0,922.89,
2008,1,2,2,24.41,88.3,0.0,0.0,0.0,368.95,1.38,94.0,922.71,
2008,1,2,3,24.11,89.55,0.0,0.0,0.0,369.2,1.52,96.0,922.47,
2008,1,2,4,23.8,90.81,0.0,0.0,0.0,369.45,1.66,97.0,922.23,
2008,1,2,5,23.5,92.06,0.0,0.0,0.0,369.7,1.79,99.0,921.98,
2008,1,2,6,23.64,90.91,0.0,0.0,0.0,373.78,1.99,97.0,922.59,
2008,1,2,7,23.79,89.77,27.0,136.63,19.0,377.87,2.19,94.0,923.2,
2008,1,2,8,23.94,88.62,255.0,607.18,76.0,381.95,2.39,92.0,923.8,
2008,1,2,9,23.75,87.08,506.0,805.26,92.0,387.57,2.21,87.0,923.53,
2008,1,2,10,23.55,85.54,571.0,373.46,309.0,393.18,2.04,81.0,923.26,
2008,1,2,11,23.36,84.0,870.0,830.26,169.0,398.8,1.86,75.0,922.98,
2008,1,2,12,23.1,84.48,1015.0,977.81,103.0,400.77,1.87,68.0,922.01,
2008,1,2,13,22.84,84.96,1033.0,934.77,135.0,402.73,1.87,60.0,921.04,
2008,1,2,14,22.59,85.44,780.0,391.88,417.0,404.7,1.88,53.0,920.07,
2008,1,2,15,22.95,85.93,730.0,472.36,337.0,399.8,1.96,57.0,920.01,
2008,1,2,16,23.32,86.41,268.0,8.77,262.0,394.9,2.05,61.0,919.95,
2008,1,2,17,23.69,86.9,42.0,0.0,42.0,390.0,2.14,66.0,919.89,
2008,1,2,18,23.75,88.26,25.0,0.0,25.0,384.58,1.97,65.0,920.65,
2008,1,2,19,23.81,89.62,0.0,0.0,0.0,379.17,1.8,63.0,921.41,
2008,1,2,20,23.88,90.98,0.0,0.0,0.0,373.75,1.63,62.0,922.16,
2008,1,2,21,23.72,91.48,0.0,0.0,0.0,370.72,1.66,56.0,922.65,
2008,1,2,22,23.57,91.99,0.0,0.0,0.0,367.68,1.7,49.0,923.14,
2008,1,2,23,23.41,92.49,0.0,0.0,0.0,364.65,1.74,42.0,923.62,
2008,1,3,0,23.33,93.55,0.0,0.0,0.0,364.98,1.66,38.0,923.44,
2008,1,3,1,23.24,94.6,0.0,0.0,0.0,365.32,1.58,35.0,923.26,
2008,1,3,2,23.16,95.66,0.0,0.0,0.0,365.65,1.5,31.0,923.08,
2008,1,3,3,23.21,95.74,0.0,0.0,0.0,374.53,1.26,43.0,922.86,
2008,1,3,4,23.26,95.81,0.0,0.0,0.0,383.42,1.02,55.0,922.65,
2008,1,3,5,23.32,95.89,0.0,0.0,0.0,392.3,0.77,67.0,922.44,
2008,1,3,6,23.48,95.75,0.0,0.0,0.0,396.98,0.79,67.0,922.92,
2008,1,3,7,23.65,95.62,16.0,17.66,15.0,401.67,0.8,67.0,923.41,
2008,1,3,8,23.82,95.48,242.0,522.01,89.0,406.35,0.81,67.0,923.9,
2008,1,3,9,23.83,93.33,406.0,372.51,215.0,408.23,1.09,48.0,923.59,
2008,1,3,10,23.83,91.19,739.0,943.5,78.0,410.12,1.37,29.0,923.29,
2008,1,3,11,23.84,89.04,701.0,380.41,380.0,412.0,1.64,10.0,922.98,
2008,1,3,12,23.83,86.0,1020.0,996.04,91.0,403.85,1.66,1.0,921.92,
2008,1,3,13,23.82,82.95,860.0,484.84,394.0,395.7,1.68,353.0,920.86,
2008,1,3,14,23.82,79.91,910.0,687.0,273.0,387.55,1.7,344.0,919.8,
2008,1,3,15,24.22,78.66,78.0,0.0,78.0,387.23,1.54,353.0,919.89,
2008,1,3,16,24.63,77.4,400.0,94.8,335.0,386.92,1.38,3.0,919.98,
2008,1,3,17,25.04,76.15,55.0,0.0,55.0,386.6,1.23,13.0,920.07,
2008,1,3,18,25.26,78.38,68.0,0.0,68.0,380.25,1.06,18.0,921.01,
2008,1,3,19,25.48,80.61,0.0,0.0,0.0,373.9,0.89,24.0,921.95,
2008,1,3,20,25.71,82.84,0.0,0.0,0.0,367.55,0.72,30.0,922.89,
2008,1,3,21,25.51,85.23,0.0,0.0,0.0,365.73,0.79,354.0,923.5,
2008,1,3,22,25.31,87.61,0.0,0.0,0.0,363.92,0.86,319.0,924.11,
2008,1,3,23,25.11,90.0,0.0,0.0,0.0,362.1,0.94,284.0,924.72,
2008,1,4,0,24.52,91.25,0.0,0.0,0.0,361.25,1.19,290.0,924.41,
2008,1,4,1,23.93,92.51,0.0,0.0,0.0,360.4,1.44,297.0,924.11,
2008,1,4,2,23.34,93.76,0.0,0.0,0.0,359.55,1.7,304.0,923.8,
2008,1,4,3,23.31,93.82,0.0,0.0,0.0,359.42,1.78,302.0,923.83,
2008,1,4,4,23.28,93.89,0.0,0.0,0.0,359.28,1.87,301.0,923.87,
2008,1,4,5,23.26,93.95,0.0,0.0,0.0,359.15,1.96,299.0,923.9,
2008,1,4,6,23.56,92.96,0.0,0.0,0.0,365.72,1.54,295.0,924.29,
2008,1,4,7,23.87,91.98,15.0,18.29,14.0,372.28,1.13,291.0,924.69,
2008,1,4,8,24.18,90.99,65.0,0.0,65.0,378.85,0.72,287.0,925.08,
2008,1,4,9,24.6,85.82,78.0,0.0,78.0,387.35,0.59,308.0,924.56,
2008,1,4,10,25.02,80.64,431.0,117.2,349.0,395.85,0.46,328.0,924.05,
2008,1,4,11,25.44,75.47,546.0,136.36,431.0,404.35,0.33,348.0,923.53,
2008,1,4,12,25.34,74.67,836.0,492.11,377.0,400.3,0.63,14.0,922.32,
2008,1,4,13,25.25,73.87,743.0,275.57,478.0,396.25,0.94,39.0,921.1,
2008,1,4,14,25.16,73.07,970.0,855.47,176.0,392.2,1.24,64.0,919.89,
2008,1,4,15,24.77,76.49,728.0,461.34,343.0,393.9,1.49,64.0,920.4,
2008,1,4,16,24.39,79.9,695.0,826.58,127.0,395.6,1.73,64.0,920.92,
2008,1,4,17,24.01,83.32,54.0,0.0,54.0,397.3,1.97,64.0,921.44,
2008,1,4,18,24.03,85.57,53.0,0.0,53.0,391.68,1.81,83.0,922.13,
2008,1,4,19,24.06,87.82,0.0,0.0,0.0,386.07,1.65,101.0,922.83,
2008,1,4,20,24.09,90.07,0.0,0.0,0.0,380.45,1.49,120.0,923.53,
2008,1,4,21,24.06,90.99,0.0,0.0,0.0,376.57,1.58,122.0,923.8,
2008,1,4,22,24.04,91.91,0.0,0.0,0.0,372.68,1.66,124.0,924.08,
2008,1,4,23,24.02,92.83,0.0,0.0,0.0,368.8,1.75,127.0,924.35,
2008,1,5,0,24.11,92.78,0.0,0.0,0.0,366.28,1.84,124.0,924.14,
2008,1,5,1,24.21,92.72,0.0,0.0,0.0,363.77,1.93,120.0,923.93,
2008,1,5,2,24.3,92.67,0.0,0.0,0.0,361.25,2.01,117.0,923.71,
2008,1,5,3,24.01,93.84,0.0,0.0,0.0,364.47,1.9,106.0,923.5,
2008,1,5,4,23.72,95.0,0.0,0.0,0.0,367.68,1.78,95.0,923.29,
2008,1,5,5,23.43,96.17,0.0,0.0,0.0,370.9,1.67,84.0,923.08,
2008,1,5,6,23.54,95.27,0.0,0.0,0.0,375.48,1.71,92.0,923.5,
2008,1,5,7,23.66,94.36,14.0,0.0,14.0,380.07,1.76,100.0,923.93,
2008,1,5,8,23.77,93.46,233.0,479.75,94.0,384.65,1.81,108.0,924.35,
2008,1,5,9,23.55,91.29,279.0,80.38,238.0,392.42,2.04,106.0,923.93,
2008,1,5,10,23.33,89.12,680.0,715.55,180.0,400.18,2.27,103.0,923.5,
2008,1,5,11,23.12,86.95,919.0,1009.56,68.0,407.95,2.5,101.0,923.08,
2008,1,5,12,22.97,85.28,879.0,591.78,327.0,406.75,2.37,105.0,922.16,
2008,1,5,13,22.83,83.62,1018.0,883.42,168.0,405.55,2.25,108.0,921.25,
2008,1,5,14,22.69,81.95,998.0,940.7,124.0,404.35,2.12,111.0,920.34,
2008,1,5,15,23.03,83.17,877.0,888.94,134.0,402.97,2.22,92.0,920.59,
2008,1,5,16,23.37,84.39,693.0,811.68,134.0,401.58,2.31,74.0,920.83,
2008,1,5,17,23.71,85.61,42.0,0.0,42.0,400.2,2.4,55.0,921.07,
2008,1,5,18,23.87,87.32,20.0,0.0,20.0,394.88,2.02,46.0,921.86,
2008,1,5,19,24.04,89.03,0.0,0.0,0.0,389.57,1.65,36.0,922.65,
2008,1,5,20,24.21,90.74,0.0,0.0,0.0,384.25,1.27,27.0,923.44,
2008,1,5,21,24.23,90.31,0.0,0.0,0.0,381.67,1.36,30.0,923.77,
2008,1,5,22,24.26,89.89,0.0,0.0,0.0,379.08,1.44,33.0,924.11,
2008,1,5,23,24.29,89.46,0.0,0.0,0.0,376.5,1.53,36.0,924.44,
2008,1,6,0,24.28,90.27,0.0,0.0,0.0,376.47,1.5,25.0,924.02,
2008,1,6,1,24.28,91.09,0.0,0.0,0.0,376.43,1.47,14.0,923.59,
2008,1,6,2,24.27,91.9,0.0,0.0,0.0,376.4,1.43,2.0,923.17,
2008,1,6,3,24.23,94.35,0.0,0.0,0.0,380.07,1.07,350.0,922.95,
2008,1,6,4,24.18,96.81,0.0,0.0,0.0,383.73,0.7,339.0,922.74,
2008,1,6,5,24.14,99.26,0.0,0.0,0.0,387.4,0.33,327.0,922.53,
2008,1,6,6,24.03,98.71,0.0,0.0,0.0,391.93,0.47,16.0,923.2,
2008,1,6,7,23.93,98.15,8.0,0.0,8.0,396.47,0.62,65.0,923.87,
2008,1,6,8,23.83,97.6,244.0,565.82,81.0,401.0,0.76,114.0,924.53,
2008,1,6,9,23.91,96.26,447.0,544.45,170.0,407.18,0.82,90.0,924.17,
2008,1,6,10,23.98,94.91,695.0,773.76,155.0,413.37,0.89,65.0,923.8,
2008,1,6,11,24.06,93.57,843.0,751.29,210.0,419.55,0.95,41.0,923.44,
2008,1,6,12,23.54,92.85,415.0,16.08,400.0,418.55,1.11,37.0,922.44,
2008,1,6,13,23.02,92.13,93.0,0.0,93.0,417.55,1.26,34.0,921.44,
2008,1,6,14,22.5,91.41,881.0,604.25,319.0,416.55,1.42,31.0,920.43,
2008,1,6,15,22.78,86.96,850.0,794.38,185.0,407.48,1.58,40.0,920.25,
2008,1,6,16,23.06,82.52,180.0,0.0,180.0,398.42,1.74,50.0,920.07,
2008,1,6,17,23.34,78.07,42.0,0.0,42.0,389.35,1.9,59.0,919.89,
2008,1,6,18,23.48,80.94,147.0,100.86,119.0,383.12,1.76,76.0,920.8,
2008,1,6,19,23.63,83.82,1.0,24.99,0.0,376.88,1.61,94.0,921.71,
2008,1,6,20,23.78,86.69,0.0,0.0,0.0,370.65,1.46,111.0,922.62,
2008,1,6,21,23.92,89.45,0.0,0.0,0.0,372.78,1.4,120.0,923.11,
2008,1,6,22,24.06,92.22,0.0,0.0,0.0,374.92,1.34,130.0,923.59,
2008,1,6,23,24.2,94.98,0.0,0.0,0.0,377.05,1.28,139.0,924.08,
2008,1,7,0,24.02,94.88,0.0,0.0,0.0,379.97,1.14,144.0,923.74,
2008,1,7,1,23.85,94.78,0.0,0.0,0.0,382.88,1.0,149.0,923.41,
2008,1,7,2,23.67,94.68,0.0,0.0,0.0,385.8,0.86,154.0,923.08,
2008,1,7,3,23.29,94.29,0.0,0.0,0.0,383.12,1.01,169.0,922.83,
2008,1,7,4,22.9,93.89,0.0,0.0,0.0,380.43,1.16,184.0,922.59,
2008,1,7,5,22.52,93.5,0.0,0.0,0.0,377.75,1.31,199.0,922.35,
2008,1,7,6,22.8,91.9,0.0,0.0,0.0,379.65,1.29,204.0,922.86,
2008,1,7,7,23.08,90.3,7.0,0.0,7.0,381.55,1.26,209.0,923.38,
2008,1,7,8,23.36,88.7,36.0,0.0,36.0,383.45,1.24,215.0,923.9,
2008,1,7,9,24.32,82.43,57.0,0.0,57.0,388.3,1.27,235.0,923.56,
2008,1,7,10,25.27,76.16,187.0,0.0,187.0,393.15,1.3,255.0,923.23,
2008,1,7,11,26.23,69.89,617.0,232.73,421.0,398.0,1.32,275.0,922.89,
2008,1,7,12,26.17,68.64,582.0,110.4,479.0,396.7,1.34,292.0,921.41,
2008,1,7,13,26.11,67.4,784.0,337.37,459.0,395.4,1.35,309.0,919.92,
2008,1,7,14,26.06,66.15,429.0,20.41,410.0,394.1,1.37,326.0,918.43,
2008,1,7,15,25.49,68.54,93.0,0.0,93.0,393.28,1.16,353.0,918.61,
2008,1,7,16,24.92,70.92,223.0,1.45,222.0,392.47,0.95,20.0,918.79,
2008,1,7,17,24.36,73.31,356.0,253.49,229.0,391.65,0.74,47.0,918.98,
