Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1573,Uvinza,TZA,United Republic of Tanzania,-5.11959836947,30.39002071,3,1110.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2009,1,1,0,19.71,94.61,0.0,0.0,0.0,371.83,0.73,81.0,887.42,
2009,1,1,1,19.8,94.83,0.0,0.0,0.0,373.91,0.81,81.0,887.18,
2009,1,1,2,19.89,95.05,0.0,0.0,0.0,376.0,0.9,81.0,886.95,
2009,1,1,3,19.98,95.28,0.0,0.0,0.0,378.09,0.98,286.0,887.07,
2009,1,1,4,20.07,95.5,0.0,0.0,0.0,380.18,1.06,284.0,886.92,
2009,1,1,5,20.16,95.72,0.0,0.0,0.0,382.27,1.14,282.0,886.77,
2009,1,1,6,20.25,95.95,0.0,0.0,0.0,384.35,1.22,288.0,887.36,
2009,1,1,7,20.34,96.17,18.0,40.73,16.0,386.44,1.3,294.0,887.94,
2009,1,1,8,20.43,96.39,181.0,181.9,129.0,388.53,1.38,300.0,888.53,
2009,1,1,9,20.52,96.62,342.0,189.9,246.0,390.62,1.46,296.0,888.29,
2009,1,1,10,20.61,96.84,513.0,243.83,344.0,392.71,1.54,292.0,888.06,
2009,1,1,11,24.15,88.55,726.0,429.51,367.0,400.4,1.63,288.0,887.83,
2009,1,1,12,24.5,84.44,583.0,110.39,481.0,399.52,1.52,274.0,886.57,
2009,1,1,13,24.86,80.33,992.0,801.86,229.0,398.63,1.41,260.0,885.32,
2009,1,1,14,25.21,76.22,964.0,834.58,199.0,397.75,1.3,246.0,884.06,
2009,1,1,15,24.61,77.33,567.0,172.83,425.0,392.83,1.31,196.0,884.27,
2009,1,1,16,24.01,78.44,251.0,4.46,248.0,387.92,1.31,146.0,884.47,
2009,1,1,17,23.4,79.55,267.0,83.18,227.0,383.0,1.32,97.0,884.67,
2009,1,1,18,22.28,83.37,213.0,518.59,79.0,376.35,1.46,93.0,885.35,
2009,1,1,19,21.15,87.19,0.0,0.0,0.0,369.7,1.6,89.0,886.02,
2009,1,1,20,20.03,91.01,0.0,0.0,0.0,363.05,1.74,85.0,886.69,
2009,1,1,21,19.46,92.38,0.0,0.0,0.0,358.92,1.4,64.0,887.18,
2009,1,1,22,18.89,93.76,0.0,0.0,0.0,354.78,1.06,42.0,887.68,
2009,1,1,23,18.33,95.13,0.0,0.0,0.0,350.65,0.72,21.0,888.18,
2009,1,2,0,18.17,95.55,0.0,0.0,0.0,348.57,0.81,5.0,887.8,
2009,1,2,1,18.02,95.97,0.0,0.0,0.0,346.48,0.91,349.0,887.42,
2009,1,2,2,17.87,96.39,0.0,0.0,0.0,344.4,1.01,334.0,887.04,
2009,1,2,3,17.29,97.08,0.0,0.0,0.0,348.72,0.9,291.0,886.86,
2009,1,2,4,16.71,97.76,0.0,0.0,0.0,353.03,0.79,248.0,886.69,
2009,1,2,5,16.12,98.45,0.0,0.0,0.0,357.35,0.68,205.0,886.51,
2009,1,2,6,18.0,95.2,0.0,0.0,0.0,363.12,0.64,174.0,886.95,
2009,1,2,7,19.87,91.94,8.75,21.19,7.75,368.88,0.6,144.0,887.39,
2009,1,2,8,21.75,88.69,127.7,125.62,92.0,374.65,0.57,114.0,887.83,
2009,1,2,9,23.69,80.69,316.95,267.47,182.1,387.63,0.46,167.0,887.42,
2009,1,2,10,25.64,72.68,510.55,408.07,228.1,400.62,0.35,220.0,887.01,
2009,1,2,11,27.59,64.68,580.95,373.55,268.9,413.6,0.25,273.0,886.6,
2009,1,2,12,27.18,69.93,763.75,486.91,313.85,411.77,0.31,289.0,885.49,
2009,1,2,13,26.76,75.19,1024.0,892.83,174.0,409.93,0.38,305.0,884.38,
2009,1,2,14,26.35,80.44,756.4,557.63,244.75,408.1,0.44,321.0,883.27,
2009,1,2,15,25.95,81.56,863.0,846.99,166.0,401.88,0.39,345.0,883.22,
2009,1,2,16,25.55,82.68,459.15,345.78,225.9,395.67,0.33,10.0,883.16,
2009,1,2,17,25.14,83.8,451.0,652.7,136.0,389.45,0.28,34.0,883.1,
2009,1,2,18,23.66,87.69,154.45,248.71,89.75,380.57,0.77,50.0,883.89,
2009,1,2,19,22.18,91.58,0.0,0.0,0.0,371.68,1.26,67.0,884.67,
2009,1,2,20,20.7,95.47,0.0,0.0,0.0,362.8,1.75,83.0,885.46,
2009,1,2,21,20.03,96.41,0.0,0.0,0.0,358.2,1.76,91.0,886.07,
2009,1,2,22,19.36,97.34,0.0,0.0,0.0,353.6,1.76,99.0,886.69,
2009,1,2,23,18.69,98.28,0.0,0.0,0.0,349.0,1.77,106.0,887.3,
2009,1,3,0,18.7,98.64,0.0,0.0,0.0,354.65,1.29,82.0,887.21,
2009,1,3,1,18.71,98.99,0.0,0.0,0.0,360.3,0.82,58.0,887.12,
2009,1,3,2,18.72,99.35,0.0,0.0,0.0,365.95,0.34,33.0,887.04,
2009,1,3,3,18.69,99.49,0.0,0.0,0.0,375.42,0.89,18.0,887.01,
2009,1,3,4,18.66,99.62,0.0,0.0,0.0,384.88,1.43,4.0,886.98,
2009,1,3,5,18.62,99.76,0.0,0.0,0.0,394.35,1.97,349.0,886.95,
2009,1,3,6,19.56,97.38,0.0,0.0,0.0,397.63,1.6,341.0,887.3,
2009,1,3,7,20.49,95.01,15.0,0.0,15.0,400.92,1.22,334.0,887.65,
2009,1,3,8,21.43,92.63,123.65,141.23,83.75,404.2,0.84,326.0,888.0,
2009,1,3,9,22.9,87.82,204.0,13.92,197.0,409.08,0.88,10.0,887.5,
2009,1,3,10,24.38,83.0,501.8,432.26,203.0,413.97,0.92,54.0,887.01,
2009,1,3,11,25.86,78.19,349.0,9.58,341.0,418.85,0.97,98.0,886.51,
2009,1,3,12,25.6,81.7,761.6,508.59,291.65,415.2,0.8,107.0,885.67,
2009,1,3,13,25.33,85.21,93.0,0.0,93.0,411.55,0.64,115.0,884.82,
2009,1,3,14,25.07,88.72,748.05,529.23,261.95,407.9,0.48,124.0,883.97,
2009,1,3,15,24.39,90.39,286.0,1.21,285.0,405.57,0.39,92.0,884.29,
2009,1,3,16,23.71,92.07,494.85,411.83,216.4,403.23,0.3,60.0,884.62,
2009,1,3,17,23.03,93.74,311.0,156.92,235.0,400.9,0.21,28.0,884.94,
