Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1359,Jizzax,UZB,Uzbekistan,40.1003804719,67.8300093169,5,396.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,2.97,88.12,0.0,0.0,0.0,152.42,1.99,172.0,972.34,
2005,1,1,1,3.11,87.08,0.0,0.0,0.0,159.64,2.04,172.0,972.15,
2005,1,1,2,3.25,86.04,0.0,0.0,0.0,166.86,2.09,172.0,971.96,
2005,1,1,3,3.39,85.0,0.0,0.0,0.0,174.07,2.14,172.0,971.77,
2005,1,1,4,3.54,83.96,0.0,0.0,0.0,181.29,2.19,172.0,971.58,
2005,1,1,5,3.68,82.92,0.0,0.0,0.0,188.5,2.24,179.0,970.34,
2005,1,1,6,3.82,81.88,0.0,0.0,0.0,195.72,2.3,179.0,970.34,
2005,1,1,7,3.96,80.83,0.0,0.0,0.0,202.94,2.35,179.0,970.34,
2005,1,1,8,4.11,79.79,0.0,0.0,0.0,210.15,2.4,186.0,970.85,
2005,1,1,9,4.25,78.75,41.0,6.68,40.0,217.37,2.45,193.0,971.36,
2005,1,1,10,4.39,77.71,92.0,7.0,90.0,224.59,2.5,199.0,971.87,
2005,1,1,11,4.53,76.67,122.0,2.6,121.0,231.8,2.55,207.0,971.71,
2005,1,1,12,4.68,75.63,55.0,0.0,55.0,239.02,2.6,214.0,971.55,
2005,1,1,13,7.43,68.24,37.0,0.0,37.0,240.85,1.83,221.0,971.39,
2005,1,1,14,6.35,71.63,53.0,0.0,53.0,244.87,1.45,223.0,972.25,
2005,1,1,15,5.26,75.03,35.0,0.0,35.0,248.88,1.06,225.0,973.11,
2005,1,1,16,4.18,78.42,28.0,0.0,28.0,252.9,0.68,227.0,973.97,
2005,1,1,17,3.94,85.13,1.0,20.68,0.0,246.4,0.81,215.0,975.27,
2005,1,1,18,3.71,91.84,0.0,0.0,0.0,239.9,0.95,204.0,976.57,
2005,1,1,19,3.47,98.55,0.0,0.0,0.0,233.4,1.09,192.0,977.88,
2005,1,1,20,3.63,98.43,0.0,0.0,0.0,236.7,1.09,191.0,978.29,
2005,1,1,21,3.79,98.32,0.0,0.0,0.0,240.0,1.08,190.0,978.7,
2005,1,1,22,3.96,98.2,0.0,0.0,0.0,243.3,1.08,189.0,979.12,
2005,1,1,23,3.76,98.08,0.0,0.0,0.0,240.72,1.08,187.0,979.24,
2005,1,2,0,3.57,97.96,0.0,0.0,0.0,238.13,1.08,185.0,979.37,
2005,1,2,1,3.37,97.84,0.0,0.0,0.0,235.55,1.08,183.0,979.5,
2005,1,2,2,3.12,97.72,0.0,0.0,0.0,228.07,1.07,179.0,979.75,
2005,1,2,3,2.86,97.61,0.0,0.0,0.0,220.58,1.06,176.0,980.01,
2005,1,2,4,2.6,97.49,0.0,0.0,0.0,213.1,1.05,172.0,980.26,
2005,1,2,5,2.34,97.09,0.0,0.0,0.0,213.97,1.1,166.0,980.83,
2005,1,2,6,2.07,96.7,0.0,0.0,0.0,214.83,1.16,160.0,981.41,
2005,1,2,7,1.8,96.3,0.0,0.0,0.0,215.7,1.21,154.0,981.98,
2005,1,2,8,2.76,94.02,0.0,0.0,0.0,216.65,1.24,161.0,981.85,
2005,1,2,9,3.71,91.73,95.0,293.85,51.0,217.6,1.26,167.0,981.73,
2005,1,2,10,4.66,89.45,98.0,10.49,95.0,218.55,1.28,174.0,981.6,
2005,1,2,11,5.35,87.93,73.0,0.0,73.0,219.5,1.14,191.0,980.36,
2005,1,2,12,6.04,86.42,101.0,0.0,101.0,220.45,1.0,208.0,979.12,
2005,1,2,13,6.73,84.9,94.0,0.0,94.0,221.4,0.86,225.0,977.88,
2005,1,2,14,6.28,86.21,67.0,0.0,67.0,216.8,0.72,255.0,977.56,
2005,1,2,15,5.83,87.52,75.0,0.0,75.0,212.2,0.59,285.0,977.24,
2005,1,2,16,5.38,88.83,78.0,29.24,72.0,207.6,0.46,314.0,976.92,
2005,1,2,17,4.54,91.78,1.0,19.73,0.0,204.33,1.09,266.0,976.99,
2005,1,2,18,3.69,94.74,0.0,0.0,0.0,201.07,1.71,217.0,977.05,
2005,1,2,19,2.85,97.69,0.0,0.0,0.0,197.8,2.34,169.0,977.11,
2005,1,2,20,0.98,97.92,0.0,0.0,0.0,196.82,2.55,170.0,976.54,
2005,1,2,21,-0.88,98.16,0.0,0.0,0.0,195.83,2.75,170.0,975.97,
2005,1,2,22,-2.74,98.39,0.0,0.0,0.0,194.85,2.95,170.0,975.4,
2005,1,2,23,-3.15,96.96,0.0,0.0,0.0,192.67,3.0,170.0,974.98,
2005,1,3,0,-3.56,95.52,0.0,0.0,0.0,190.48,3.04,170.0,974.57,
2005,1,3,1,-3.98,94.09,0.0,0.0,0.0,188.3,3.09,170.0,974.16,
2005,1,3,2,-3.94,93.09,0.0,0.0,0.0,186.7,3.18,169.0,973.52,
2005,1,3,3,-3.9,92.1,0.0,0.0,0.0,185.1,3.26,168.0,972.89,
2005,1,3,4,-3.87,91.1,0.0,0.0,0.0,183.5,3.35,167.0,972.25,
2005,1,3,5,-3.7,91.47,0.0,0.0,0.0,179.88,3.4,166.0,971.77,
2005,1,3,6,-3.54,91.85,0.0,0.0,0.0,176.27,3.45,166.0,971.3,
2005,1,3,7,-3.38,92.22,0.0,0.0,0.0,172.65,3.5,166.0,970.82,
2005,1,3,8,-0.02,89.64,0.0,0.0,0.0,179.05,3.14,167.0,970.5,
2005,1,3,9,3.33,87.05,47.0,13.35,45.0,185.45,2.79,168.0,970.18,
2005,1,3,10,6.68,84.47,149.0,90.74,123.0,191.85,2.43,169.0,969.86,
2005,1,3,11,7.64,80.52,158.0,20.69,150.0,203.85,2.2,168.0,968.85,
2005,1,3,12,8.59,76.57,141.0,2.26,140.0,215.85,1.98,168.0,967.83,
2005,1,3,13,9.55,72.62,136.0,0.0,136.0,227.85,1.75,167.0,966.81,
2005,1,3,14,8.46,77.25,239.0,110.99,193.0,234.77,1.98,164.0,966.49,
2005,1,3,15,7.38,81.88,287.0,568.38,99.0,241.68,2.21,161.0,966.18,
2005,1,3,16,6.29,86.51,138.0,289.14,78.0,248.6,2.44,158.0,965.86,
2005,1,3,17,6.09,86.57,12.0,18.84,11.0,250.37,2.62,160.0,965.7,
2005,1,3,18,5.88,86.64,0.0,0.0,0.0,252.13,2.8,162.0,965.54,
2005,1,3,19,5.68,86.7,0.0,0.0,0.0,253.9,2.98,164.0,965.38,
2005,1,3,20,5.55,85.19,0.0,0.0,0.0,250.98,3.09,165.0,964.84,
2005,1,3,21,5.42,83.69,0.0,0.0,0.0,248.07,3.2,165.0,964.3,
2005,1,3,22,5.3,82.18,0.0,0.0,0.0,245.15,3.31,166.0,963.76,
2005,1,3,23,4.9,81.58,0.0,0.0,0.0,240.52,3.32,167.0,963.44,
2005,1,4,0,4.51,80.98,0.0,0.0,0.0,235.88,3.34,168.0,963.12,
2005,1,4,1,4.11,80.38,0.0,0.0,0.0,231.25,3.35,170.0,962.81,
2005,1,4,2,4.47,78.98,0.0,0.0,0.0,233.95,3.36,170.0,962.65,
2005,1,4,3,4.82,77.57,0.0,0.0,0.0,236.65,3.36,170.0,962.49,
2005,1,4,4,5.17,76.17,0.0,0.0,0.0,239.35,3.37,171.0,962.33,
2005,1,4,5,5.54,73.91,0.0,0.0,0.0,242.08,3.23,172.0,962.9,
2005,1,4,6,5.91,71.64,0.0,0.0,0.0,244.82,3.1,173.0,963.47,
2005,1,4,7,6.28,69.38,0.0,0.0,0.0,247.55,2.97,174.0,964.05,
2005,1,4,8,7.19,69.61,0.0,0.0,0.0,252.38,2.91,177.0,964.33,
2005,1,4,9,8.1,69.83,59.0,46.64,52.0,257.22,2.85,179.0,964.62,
2005,1,4,10,9.01,70.06,42.0,0.0,42.0,262.05,2.79,181.0,964.9,
2005,1,4,11,9.94,68.11,132.0,5.16,130.0,265.83,2.57,182.0,964.68,
2005,1,4,12,10.86,66.17,41.0,0.0,41.0,269.62,2.36,183.0,964.46,
2005,1,4,13,11.79,64.22,75.0,0.0,75.0,273.4,2.15,184.0,964.24,
2005,1,4,14,10.53,67.07,145.0,4.8,143.0,271.2,2.05,184.0,964.55,
2005,1,4,15,9.27,69.91,173.0,81.08,146.0,269.0,1.94,184.0,964.87,
2005,1,4,16,8.01,72.76,63.0,4.76,62.0,266.8,1.83,184.0,965.19,
2005,1,4,17,7.76,75.21,10.0,0.0,10.0,265.05,1.92,182.0,966.43,
2005,1,4,18,7.5,77.65,0.0,0.0,0.0,263.3,2.01,180.0,967.67,
2005,1,4,19,7.25,80.1,0.0,0.0,0.0,261.55,2.1,178.0,968.91,
2005,1,4,20,7.12,82.55,0.0,0.0,0.0,263.7,2.03,179.0,969.51,
2005,1,4,21,6.99,85.01,0.0,0.0,0.0,265.85,1.96,181.0,970.12,
2005,1,4,22,6.87,87.46,0.0,0.0,0.0,268.0,1.89,182.0,970.72,
2005,1,4,23,6.67,89.98,0.0,0.0,0.0,271.3,1.83,184.0,971.36,
2005,1,5,0,6.47,92.5,0.0,0.0,0.0,274.6,1.78,185.0,972.0,
