Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4441,Nukus,UZB,Uzbekistan,42.4700032746,59.6150068755,5,78.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,-0.5,63.24,0.0,0.0,0.0,238.43,7.35,97.0,1015.66,
2010,1,1,1,-0.31,66.2,0.0,0.0,0.0,244.42,7.06,98.0,1015.26,
2010,1,1,2,-0.13,69.15,0.0,0.0,0.0,250.41,6.76,97.0,1014.9,
2010,1,1,3,0.06,72.11,0.0,0.0,0.0,256.39,6.47,97.0,1014.53,
2010,1,1,4,0.25,75.06,0.0,0.0,0.0,262.38,6.17,97.0,1014.17,
2010,1,1,5,0.44,78.01,0.0,0.0,0.0,268.37,5.88,45.0,1006.61,
2010,1,1,6,0.62,80.97,0.0,0.0,0.0,274.36,5.58,46.0,1006.08,
2010,1,1,7,0.81,83.92,0.0,0.0,0.0,280.34,5.29,46.0,1005.55,
2010,1,1,8,1.0,86.88,0.0,0.0,0.0,286.33,4.99,48.0,1005.42,
2010,1,1,9,1.18,89.83,5.0,0.0,5.0,292.32,4.7,49.0,1005.29,
2010,1,1,10,1.37,92.78,55.0,5.34,54.0,298.31,4.4,51.0,1005.15,
2010,1,1,11,1.56,95.74,61.0,0.0,61.0,304.29,4.11,48.0,1004.49,
2010,1,1,12,1.75,98.69,121.0,0.0,121.0,310.28,3.81,46.0,1003.83,
2010,1,1,13,3.9,84.73,81.0,0.0,81.0,302.9,4.5,43.0,1003.17,
2010,1,1,14,3.61,86.04,73.0,0.0,73.0,302.85,4.35,38.0,1002.91,
2010,1,1,15,3.32,87.34,113.0,2.92,112.0,302.8,4.21,34.0,1002.64,
2010,1,1,16,3.04,88.65,55.0,0.0,55.0,302.75,4.07,29.0,1002.38,
2010,1,1,17,2.9,90.29,18.0,0.0,18.0,302.02,3.67,21.0,1002.21,
2010,1,1,18,2.76,91.93,0.0,0.0,0.0,301.28,3.28,13.0,1002.05,
2010,1,1,19,2.62,93.57,0.0,0.0,0.0,300.55,2.88,4.0,1001.88,
2010,1,1,20,2.38,94.25,0.0,0.0,0.0,302.17,2.83,351.0,1001.95,
2010,1,1,21,2.13,94.92,0.0,0.0,0.0,303.78,2.77,337.0,1002.02,
2010,1,1,22,1.88,95.6,0.0,0.0,0.0,305.4,2.72,323.0,1002.08,
2010,1,1,23,1.59,96.21,0.0,0.0,0.0,299.47,2.71,315.0,1002.08,
2010,1,2,0,1.29,96.82,0.0,0.0,0.0,293.53,2.7,308.0,1002.08,
2010,1,2,1,0.99,97.43,0.0,0.0,0.0,287.6,2.69,300.0,1002.08,
2010,1,2,2,0.82,97.59,0.0,0.0,0.0,283.87,2.64,294.0,1002.21,
2010,1,2,3,0.66,97.76,0.0,0.0,0.0,280.13,2.6,287.0,1002.35,
2010,1,2,4,0.49,97.92,0.0,0.0,0.0,276.4,2.55,281.0,1002.48,
2010,1,2,5,0.39,98.32,0.0,0.0,0.0,284.63,2.47,278.0,1002.61,
2010,1,2,6,0.28,98.71,0.0,0.0,0.0,292.87,2.4,276.0,1002.74,
2010,1,2,7,0.18,99.11,0.0,0.0,0.0,301.1,2.32,273.0,1002.87,
2010,1,2,8,0.52,98.85,0.0,0.0,0.0,308.53,2.2,269.0,1003.24,
2010,1,2,9,0.86,98.59,9.0,0.0,9.0,315.97,2.09,265.0,1003.6,
2010,1,2,10,1.21,98.33,132.0,287.94,78.0,323.4,1.97,262.0,1003.96,
2010,1,2,11,2.12,95.26,248.0,411.46,123.0,325.15,2.18,263.0,1003.77,
2010,1,2,12,3.03,92.19,267.0,214.98,185.0,326.9,2.39,265.0,1003.57,
2010,1,2,13,3.94,89.12,244.0,98.76,203.0,328.65,2.59,266.0,1003.37,
2010,1,2,14,4.0,89.09,298.0,260.77,193.0,322.78,2.04,255.0,1003.4,
2010,1,2,15,4.06,89.06,201.0,107.31,164.0,316.92,1.49,244.0,1003.44,
2010,1,2,16,4.12,89.03,78.0,4.07,77.0,311.05,0.94,233.0,1003.47,
2010,1,2,17,3.17,90.54,43.0,35.85,39.0,293.17,1.12,192.0,1003.53,
2010,1,2,18,2.21,92.05,0.0,0.0,0.0,275.28,1.31,151.0,1003.6,
2010,1,2,19,1.25,93.56,0.0,0.0,0.0,257.4,1.49,111.0,1003.67,
2010,1,2,20,0.93,94.33,0.0,0.0,0.0,256.48,1.85,113.0,1003.6,
2010,1,2,21,0.6,95.09,0.0,0.0,0.0,255.57,2.22,116.0,1003.53,
2010,1,2,22,0.28,95.86,0.0,0.0,0.0,254.65,2.58,118.0,1003.47,
2010,1,2,23,0.12,95.86,0.0,0.0,0.0,253.87,3.01,119.0,1003.34,
2010,1,3,0,-0.04,95.85,0.0,0.0,0.0,253.08,3.43,120.0,1003.2,
2010,1,3,1,-0.19,95.85,0.0,0.0,0.0,252.3,3.86,121.0,1003.07,
2010,1,3,2,-0.31,95.82,0.0,0.0,0.0,252.17,3.6,120.0,1002.81,
2010,1,3,3,-0.44,95.8,0.0,0.0,0.0,252.03,3.35,120.0,1002.54,
2010,1,3,4,-0.56,95.77,0.0,0.0,0.0,251.9,3.09,120.0,1002.28,
2010,1,3,5,-0.08,95.41,0.0,0.0,0.0,252.73,3.61,121.0,1002.02,
2010,1,3,6,0.41,95.06,0.0,0.0,0.0,253.57,4.13,122.0,1001.75,
2010,1,3,7,0.89,94.7,0.0,0.0,0.0,254.4,4.65,124.0,1001.49,
2010,1,3,8,2.35,92.24,0.0,0.0,0.0,256.63,4.91,129.0,1001.45,
2010,1,3,9,3.82,89.79,9.0,0.0,9.0,258.87,5.16,134.0,1001.42,
2010,1,3,10,5.29,87.33,41.0,0.0,41.0,261.1,5.42,140.0,1001.39,
2010,1,3,11,7.32,82.66,56.0,0.0,56.0,267.37,5.45,145.0,1000.53,
2010,1,3,12,9.36,77.99,166.0,20.92,158.0,273.63,5.48,151.0,999.67,
2010,1,3,13,11.4,73.32,224.0,64.82,197.0,279.9,5.5,157.0,998.81,
2010,1,3,14,11.44,74.33,108.0,0.0,108.0,282.28,5.44,158.0,998.18,
2010,1,3,15,11.47,75.35,45.0,0.0,45.0,284.67,5.38,159.0,997.56,
2010,1,3,16,11.51,76.36,62.0,0.0,62.0,287.05,5.32,160.0,996.93,
2010,1,3,17,10.71,79.21,39.0,17.55,37.0,283.0,5.71,161.0,996.53,
2010,1,3,18,9.92,82.07,0.0,0.0,0.0,278.95,6.11,161.0,996.14,
2010,1,3,19,9.12,84.92,0.0,0.0,0.0,274.9,6.5,162.0,995.74,
2010,1,3,20,9.4,80.9,0.0,0.0,0.0,277.37,6.61,171.0,995.34,
2010,1,3,21,9.67,76.88,0.0,0.0,0.0,279.83,6.73,179.0,994.95,
2010,1,3,22,9.94,72.86,0.0,0.0,0.0,282.3,6.84,188.0,994.55,
2010,1,3,23,10.08,70.53,0.0,0.0,0.0,286.58,6.84,197.0,994.29,
2010,1,4,0,10.21,68.21,0.0,0.0,0.0,290.87,6.83,206.0,994.02,
2010,1,4,1,10.35,65.88,0.0,0.0,0.0,295.15,6.83,216.0,993.76,
2010,1,4,2,9.71,68.98,0.0,0.0,0.0,293.32,6.82,224.0,994.12,
2010,1,4,3,9.06,72.07,0.0,0.0,0.0,291.48,6.81,232.0,994.49,
2010,1,4,4,8.42,75.17,0.0,0.0,0.0,289.65,6.8,240.0,994.85,
2010,1,4,5,7.55,79.89,0.0,0.0,0.0,285.85,6.86,248.0,995.58,
2010,1,4,6,6.67,84.62,0.0,0.0,0.0,282.05,6.91,255.0,996.3,
2010,1,4,7,5.8,89.34,0.0,0.0,0.0,278.25,6.97,263.0,997.03,
2010,1,4,8,6.19,86.93,0.0,0.0,0.0,276.72,6.53,269.0,998.28,
2010,1,4,9,6.58,84.51,9.0,0.0,9.0,275.18,6.09,276.0,999.54,
2010,1,4,10,6.98,82.1,118.0,185.84,83.0,273.65,5.66,282.0,1000.79,
2010,1,4,11,7.8,77.62,221.0,265.33,140.0,272.48,4.72,283.0,1001.02,
2010,1,4,12,8.63,73.15,333.0,477.02,150.0,271.32,3.79,284.0,1001.26,
2010,1,4,13,9.45,68.67,395.0,621.91,135.0,270.15,2.86,286.0,1001.49,
