Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3853,Urgentch,UZB,Uzbekistan,41.5599813019,60.64000891,5,102.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2015,1,1,0,-2.35,95.91,0.0,0.0,0.0,235.91,2.04,106.0,1011.71,
2015,1,1,1,-2.1,95.28,0.0,0.0,0.0,238.91,2.06,111.0,1011.48,
2015,1,1,2,-1.85,94.65,0.0,0.0,0.0,241.92,2.08,121.0,1011.28,
2015,1,1,3,-1.6,94.01,0.0,0.0,0.0,244.93,2.1,130.0,1011.08,
2015,1,1,4,-1.35,93.38,0.0,0.0,0.0,247.94,2.11,140.0,1010.89,
2015,1,1,5,-1.1,92.75,0.0,0.0,0.0,250.95,2.13,278.0,1005.85,
2015,1,1,6,-0.85,92.12,0.0,0.0,0.0,253.96,2.15,278.0,1006.24,
2015,1,1,7,-0.6,91.48,0.0,0.0,0.0,256.96,2.16,278.0,1006.64,
2015,1,1,8,-0.35,90.85,0.0,0.0,0.0,259.97,2.18,286.0,1007.46,
2015,1,1,9,-0.09,90.22,21.0,49.81,18.0,262.98,2.2,295.0,1008.29,
2015,1,1,10,0.16,89.59,49.0,0.0,49.0,265.99,2.22,303.0,1009.11,
2015,1,1,11,0.41,88.95,51.0,0.0,51.0,269.0,2.23,305.0,1008.84,
2015,1,1,12,0.66,88.32,105.0,0.0,105.0,272.01,2.25,308.0,1008.58,
2015,1,1,13,1.49,79.06,112.0,0.0,112.0,279.25,2.77,310.0,1008.32,
2015,1,1,14,1.05,79.18,103.0,0.0,103.0,277.97,2.37,317.0,1008.38,
2015,1,1,15,0.62,79.29,88.0,0.0,88.0,276.68,1.96,323.0,1008.45,
2015,1,1,16,0.18,79.41,64.0,0.0,64.0,275.4,1.56,330.0,1008.52,
2015,1,1,17,-0.13,81.49,35.0,18.3,33.0,272.2,1.68,338.0,1008.91,
2015,1,1,18,-0.43,83.57,0.0,0.0,0.0,269.0,1.8,346.0,1009.31,
2015,1,1,19,-0.74,85.65,0.0,0.0,0.0,265.8,1.92,355.0,1009.7,
2015,1,1,20,-0.95,85.98,0.0,0.0,0.0,266.35,1.88,358.0,1009.87,
2015,1,1,21,-1.17,86.3,0.0,0.0,0.0,266.9,1.84,1.0,1010.03,
2015,1,1,22,-1.39,86.63,0.0,0.0,0.0,267.45,1.81,4.0,1010.2,
2015,1,1,23,-1.43,86.55,0.0,0.0,0.0,269.05,1.65,3.0,1010.06,
2015,1,2,0,-1.47,86.47,0.0,0.0,0.0,270.65,1.49,3.0,1009.93,
2015,1,2,1,-1.51,86.39,0.0,0.0,0.0,272.25,1.34,2.0,1009.8,
2015,1,2,2,-1.74,86.29,0.0,0.0,0.0,274.08,1.14,357.0,1009.73,
2015,1,2,3,-1.97,86.2,0.0,0.0,0.0,275.92,0.95,353.0,1009.67,
2015,1,2,4,-2.2,86.1,0.0,0.0,0.0,277.75,0.76,348.0,1009.6,
2015,1,2,5,-2.03,84.78,0.0,0.0,0.0,277.13,0.62,341.0,1009.9,
2015,1,2,6,-1.86,83.46,0.0,0.0,0.0,276.52,0.48,333.0,1010.2,
2015,1,2,7,-1.68,82.14,0.0,0.0,0.0,275.9,0.34,326.0,1010.49,
2015,1,2,8,-1.37,81.14,0.0,0.0,0.0,274.73,0.54,321.0,1010.92,
2015,1,2,9,-1.06,80.15,15.0,0.0,15.0,273.57,0.74,315.0,1011.35,
2015,1,2,10,-0.75,79.15,83.0,24.1,78.0,272.4,0.94,310.0,1011.78,
2015,1,2,11,-0.2,76.7,119.0,6.19,117.0,270.68,1.26,299.0,1011.38,
2015,1,2,12,0.34,74.26,94.0,0.0,94.0,268.97,1.59,287.0,1010.99,
2015,1,2,13,0.89,71.81,40.0,0.0,40.0,267.25,1.92,276.0,1010.59,
2015,1,2,14,0.63,71.63,105.0,0.0,105.0,265.15,1.83,281.0,1010.46,
2015,1,2,15,0.36,71.46,167.0,36.85,154.0,263.05,1.73,287.0,1010.33,
2015,1,2,16,0.1,71.28,86.0,8.02,84.0,260.95,1.64,292.0,1010.2,
2015,1,2,17,-0.01,73.37,38.0,17.92,36.0,255.37,1.74,310.0,1010.85,
2015,1,2,18,-0.11,75.45,0.0,0.0,0.0,249.78,1.84,328.0,1011.51,
2015,1,2,19,-0.22,77.54,0.0,0.0,0.0,244.2,1.94,345.0,1012.17,
2015,1,2,20,-0.68,80.11,0.0,0.0,0.0,243.27,1.59,28.0,1012.27,
2015,1,2,21,-1.14,82.69,0.0,0.0,0.0,242.33,1.24,72.0,1012.37,
2015,1,2,22,-1.61,85.26,0.0,0.0,0.0,241.4,0.88,115.0,1012.47,
2015,1,2,23,-2.52,87.79,0.0,0.0,0.0,240.62,1.0,118.0,1012.3,
2015,1,3,0,-3.43,90.32,0.0,0.0,0.0,239.83,1.12,121.0,1012.14,
2015,1,3,1,-4.34,92.85,0.0,0.0,0.0,239.05,1.24,123.0,1011.97,
2015,1,3,2,-4.69,93.28,0.0,0.0,0.0,238.02,1.18,123.0,1011.74,
2015,1,3,3,-5.04,93.72,0.0,0.0,0.0,236.98,1.11,123.0,1011.51,
2015,1,3,4,-5.39,94.15,0.0,0.0,0.0,235.95,1.05,123.0,1011.28,
2015,1,3,5,-4.09,91.14,0.0,0.0,0.0,257.45,1.3,119.0,1011.35,
2015,1,3,6,-2.78,88.14,0.0,0.0,0.0,278.95,1.55,115.0,1011.41,
2015,1,3,7,-1.47,85.13,0.0,0.0,0.0,300.45,1.81,110.0,1011.48,
2015,1,3,8,-0.46,81.96,0.0,0.0,0.0,299.95,1.98,113.0,1011.55,
2015,1,3,9,0.56,78.78,27.0,116.3,20.0,299.45,2.16,115.0,1011.61,
2015,1,3,10,1.58,75.61,135.0,202.11,93.0,298.95,2.33,117.0,1011.68,
2015,1,3,11,2.55,72.28,131.0,15.45,126.0,298.53,2.11,132.0,1010.75,
2015,1,3,12,3.53,68.96,72.0,0.0,72.0,298.12,1.9,146.0,1009.83,
2015,1,3,13,4.51,65.63,38.0,0.0,38.0,297.7,1.68,161.0,1008.91,
2015,1,3,14,4.22,68.3,50.0,0.0,50.0,289.08,1.57,139.0,1008.45,
