Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3494,San Fernando de Apure,VEN,Venezuela,7.89999452609,-67.4699491797,-4,45.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,26.46,59.7,0.0,0.0,0.0,371.08,3.71,59.0,1004.52,
2006,1,1,1,25.9,61.35,0.0,0.0,0.0,369.29,3.72,55.0,1004.52,
2006,1,1,2,25.33,62.99,0.0,0.0,0.0,367.5,3.72,55.0,1004.32,
2006,1,1,3,24.77,64.63,0.0,0.0,0.0,365.71,3.73,55.0,1004.13,
2006,1,1,4,24.79,66.18,0.0,0.0,0.0,354.15,4.17,55.0,1003.93,
2006,1,1,5,24.97,68.11,0.0,0.0,0.0,351.98,4.22,58.0,1004.59,
2006,1,1,6,25.14,70.03,0.0,0.0,0.0,349.82,4.27,60.0,1005.25,
2006,1,1,7,25.32,71.96,23.0,114.77,17.0,347.65,4.32,62.0,1005.92,
2006,1,1,8,26.95,65.9,229.0,540.57,76.0,351.35,4.34,65.0,1005.92,
2006,1,1,9,28.58,59.83,461.0,727.32,104.0,355.05,4.35,68.0,1005.92,
2006,1,1,10,30.21,53.77,662.0,816.28,122.0,358.75,4.37,71.0,1005.92,
2006,1,1,11,31.03,50.05,809.0,864.09,132.0,365.07,4.29,70.0,1004.89,
2006,1,1,12,31.86,46.33,889.0,886.39,137.0,371.38,4.2,70.0,1003.86,
2006,1,1,13,32.69,42.61,892.0,885.18,138.0,377.7,4.11,70.0,1002.83,
2006,1,1,14,32.51,42.52,820.0,864.51,134.0,383.72,3.97,67.0,1002.27,
2006,1,1,15,32.32,42.44,679.0,817.73,125.0,389.73,3.83,63.0,1001.71,
2006,1,1,16,32.14,42.35,484.0,731.01,110.0,395.75,3.68,60.0,1001.14,
2006,1,1,17,31.07,45.19,256.0,559.83,84.0,396.27,3.38,60.0,1001.8,
2006,1,1,18,30.0,48.02,64.0,153.35,52.0,396.78,3.09,60.0,1002.47,
2006,1,1,19,28.94,50.86,0.0,0.0,0.0,397.3,2.79,61.0,1003.13,
2006,1,1,20,28.53,52.65,0.0,0.0,0.0,394.42,2.91,62.0,1003.5,
2006,1,1,21,28.13,54.43,0.0,0.0,0.0,391.53,3.04,62.0,1003.86,
2006,1,1,22,27.72,56.22,0.0,0.0,0.0,388.65,3.17,63.0,1004.23,
2006,1,1,23,27.37,56.93,0.0,0.0,0.0,390.3,3.42,60.0,1004.29,
2006,1,2,0,27.02,57.63,0.0,0.0,0.0,391.95,3.66,57.0,1004.36,
2006,1,2,1,26.67,58.34,0.0,0.0,0.0,393.6,3.9,54.0,1004.42,
2006,1,2,2,26.3,59.92,0.0,0.0,0.0,393.95,3.8,55.0,1004.46,
2006,1,2,3,25.92,61.49,0.0,0.0,0.0,394.3,3.69,55.0,1004.49,
2006,1,2,4,25.55,63.07,0.0,0.0,0.0,394.65,3.59,56.0,1004.52,
2006,1,2,5,25.78,65.49,0.0,0.0,0.0,392.2,3.55,57.0,1005.25,
2006,1,2,6,26.02,67.9,0.0,0.0,0.0,389.75,3.52,59.0,1005.98,
2006,1,2,7,26.25,70.32,22.0,118.17,16.0,387.3,3.49,61.0,1006.71,
2006,1,2,8,27.34,66.96,223.0,525.22,75.0,388.57,3.66,63.0,1006.78,
2006,1,2,9,28.43,63.61,451.0,710.28,103.0,389.83,3.84,65.0,1006.84,
2006,1,2,10,29.53,60.25,649.0,800.21,120.0,391.1,4.01,67.0,1006.91,
2006,1,2,11,30.01,57.87,525.0,158.26,401.0,398.25,3.82,66.0,1005.88,
2006,1,2,12,30.5,55.49,435.0,50.65,392.0,405.4,3.63,64.0,1004.86,
2006,1,2,13,30.99,53.11,758.0,463.2,363.0,412.55,3.43,63.0,1003.83,
2006,1,2,14,30.37,55.07,808.0,849.17,133.0,411.68,3.28,64.0,1003.3,
2006,1,2,15,29.75,57.04,35.0,0.0,35.0,410.82,3.13,65.0,1002.77,
2006,1,2,16,29.14,59.0,312.0,151.88,234.0,409.95,2.98,66.0,1002.24,
2006,1,2,17,28.32,63.13,253.0,549.65,83.0,405.68,3.1,66.0,1003.06,
2006,1,2,18,27.51,67.27,62.0,0.0,62.0,401.42,3.22,65.0,1003.89,
2006,1,2,19,26.7,71.4,0.0,0.0,0.0,397.15,3.34,64.0,1004.72,
2006,1,2,20,26.29,75.44,0.0,0.0,0.0,398.73,3.38,65.0,1005.12,
2006,1,2,21,25.87,79.48,0.0,0.0,0.0,400.32,3.42,66.0,1005.52,
2006,1,2,22,25.46,83.52,0.0,0.0,0.0,401.9,3.46,67.0,1005.92,
2006,1,2,23,25.18,84.9,0.0,0.0,0.0,400.65,3.44,65.0,1005.85,
2006,1,3,0,24.89,86.27,0.0,0.0,0.0,399.4,3.43,62.0,1005.78,
2006,1,3,1,24.61,87.65,0.0,0.0,0.0,398.15,3.41,60.0,1005.72,
2006,1,3,2,24.39,88.41,0.0,0.0,0.0,398.05,3.37,61.0,1005.62,
2006,1,3,3,24.17,89.17,0.0,0.0,0.0,397.95,3.32,62.0,1005.52,
2006,1,3,4,23.95,89.93,0.0,0.0,0.0,397.85,3.28,63.0,1005.42,
2006,1,3,5,24.34,89.12,0.0,0.0,0.0,400.22,3.38,64.0,1006.02,
2006,1,3,6,24.72,88.32,0.0,0.0,0.0,402.58,3.48,66.0,1006.61,
2006,1,3,7,25.11,87.51,5.0,0.0,5.0,404.95,3.57,68.0,1007.21,
2006,1,3,8,26.25,81.87,95.0,3.56,94.0,403.27,3.89,69.0,1006.91,
2006,1,3,9,27.39,76.23,335.0,243.3,216.0,401.58,4.2,71.0,1006.61,
2006,1,3,10,28.53,70.59,647.0,797.66,120.0,399.9,4.51,73.0,1006.31,
2006,1,3,11,29.14,67.44,489.0,118.69,396.0,403.75,4.61,70.0,1005.35,
2006,1,3,12,29.76,64.29,471.0,69.46,412.0,407.6,4.7,68.0,1004.39,
2006,1,3,13,30.37,61.14,517.0,99.55,432.0,411.45,4.8,65.0,1003.43,
2006,1,3,14,29.82,64.58,809.0,848.9,133.0,412.02,4.63,61.0,1002.83,
2006,1,3,15,29.27,68.03,672.0,804.75,124.0,412.58,4.46,56.0,1002.24,
2006,1,3,16,28.73,71.47,480.0,719.64,109.0,413.15,4.29,51.0,1001.64,
2006,1,3,17,28.08,73.71,256.0,552.42,84.0,411.47,3.99,52.0,1002.43,
2006,1,3,18,27.43,75.94,61.0,0.0,61.0,409.78,3.68,53.0,1003.23,
2006,1,3,19,26.78,78.18,0.0,0.0,0.0,408.1,3.38,54.0,1004.03,
2006,1,3,20,26.52,78.43,0.0,0.0,0.0,405.98,3.51,59.0,1004.39,
2006,1,3,21,26.27,78.69,0.0,0.0,0.0,403.87,3.65,64.0,1004.76,
2006,1,3,22,26.01,78.94,0.0,0.0,0.0,401.75,3.78,68.0,1005.12,
2006,1,3,23,25.75,79.66,0.0,0.0,0.0,401.82,3.76,65.0,1004.99,
2006,1,4,0,25.48,80.37,0.0,0.0,0.0,401.88,3.73,62.0,1004.86,
2006,1,4,1,25.22,81.09,0.0,0.0,0.0,401.95,3.71,59.0,1004.72,
2006,1,4,2,25.0,81.21,0.0,0.0,0.0,402.12,3.66,56.0,1004.56,
2006,1,4,3,24.79,81.32,0.0,0.0,0.0,402.28,3.62,54.0,1004.39,
2006,1,4,4,24.57,81.44,0.0,0.0,0.0,402.45,3.57,52.0,1004.23,
2006,1,4,5,24.88,81.0,0.0,0.0,0.0,401.73,3.76,52.0,1004.72,
2006,1,4,6,25.18,80.57,0.0,0.0,0.0,401.02,3.94,52.0,1005.22,
2006,1,4,7,25.49,80.13,20.0,104.44,15.0,400.3,4.12,53.0,1005.72,
2006,1,4,8,26.72,74.48,220.0,522.48,74.0,403.05,4.41,58.0,1005.55,
2006,1,4,9,27.95,68.83,448.0,706.47,103.0,405.8,4.7,63.0,1005.39,
2006,1,4,10,29.19,63.18,380.0,98.43,315.0,408.55,4.99,69.0,1005.22,
2006,1,4,11,29.73,60.21,516.0,146.73,401.0,411.65,4.75,67.0,1004.19,
2006,1,4,12,30.28,57.24,529.0,110.58,435.0,414.75,4.51,65.0,1003.16,
2006,1,4,13,30.82,54.27,410.0,39.77,376.0,417.85,4.26,63.0,1002.14,
2006,1,4,14,30.56,54.72,813.0,852.33,133.0,411.48,4.22,63.0,1001.44,
2006,1,4,15,30.3,55.17,676.0,808.49,124.0,405.12,4.17,62.0,1000.74,
2006,1,4,16,30.05,55.62,484.0,724.58,109.0,398.75,4.12,61.0,1000.05,
2006,1,4,17,29.26,58.11,259.0,558.31,84.0,399.05,3.96,64.0,1000.78,
2006,1,4,18,28.47,60.61,62.0,0.0,62.0,399.35,3.79,67.0,1001.51,
2006,1,4,19,27.68,63.1,0.0,0.0,0.0,399.65,3.63,70.0,1002.24,
2006,1,4,20,27.34,66.97,0.0,0.0,0.0,400.78,3.62,70.0,1002.47,
2006,1,4,21,27.01,70.83,0.0,0.0,0.0,401.92,3.62,69.0,1002.7,
2006,1,4,22,26.67,74.7,0.0,0.0,0.0,403.05,3.61,69.0,1002.93,
2006,1,4,23,26.31,75.91,0.0,0.0,0.0,401.82,3.39,67.0,1002.93,
2006,1,5,0,25.96,77.13,0.0,0.0,0.0,400.58,3.16,66.0,1002.93,
2006,1,5,1,25.6,78.34,0.0,0.0,0.0,399.35,2.94,65.0,1002.93,
2006,1,5,2,25.25,79.71,0.0,0.0,0.0,399.32,2.97,62.0,1002.7,
2006,1,5,3,24.9,81.07,0.0,0.0,0.0,399.28,3.01,59.0,1002.47,
2006,1,5,4,24.55,82.44,0.0,0.0,0.0,399.25,3.05,56.0,1002.24,
2006,1,5,5,24.84,82.59,0.0,0.0,0.0,399.32,3.29,57.0,1003.0,
2006,1,5,6,25.13,82.73,0.0,0.0,0.0,399.38,3.53,58.0,1003.76,
2006,1,5,7,25.42,82.88,11.0,0.0,11.0,399.45,3.77,59.0,1004.52,
2006,1,5,8,26.57,77.15,220.0,524.54,74.0,400.85,3.81,62.0,1004.76,
2006,1,5,9,27.71,71.42,450.0,711.62,103.0,402.25,3.85,64.0,1004.99,
2006,1,5,10,28.86,65.69,414.0,139.38,322.0,403.65,3.89,67.0,1005.22,
2006,1,5,11,29.27,62.88,666.0,385.23,364.0,406.62,3.68,64.0,1004.26,
2006,1,5,12,29.68,60.06,764.0,478.38,357.0,409.58,3.47,61.0,1003.3,
2006,1,5,13,30.09,57.25,594.0,170.55,448.0,412.55,3.26,58.0,1002.34,
2006,1,5,14,29.71,58.01,620.0,278.98,397.0,410.1,2.98,58.0,1001.61,
2006,1,5,15,29.33,58.78,680.0,812.16,124.0,407.65,2.71,58.0,1000.88,
2006,1,5,16,28.96,59.54,487.0,725.59,110.0,405.2,2.44,58.0,1000.15,
2006,1,5,17,28.19,62.54,262.0,564.09,84.0,404.67,2.35,62.0,1000.88,
2006,1,5,18,27.43,65.53,63.0,0.0,63.0,404.13,2.26,65.0,1001.61,
2006,1,5,19,26.67,68.53,0.0,0.0,0.0,403.6,2.17,69.0,1002.34,
2006,1,5,20,26.48,68.87,0.0,0.0,0.0,401.02,2.44,70.0,1002.87,
2006,1,5,21,26.3,69.21,0.0,0.0,0.0,398.43,2.72,71.0,1003.4,
2006,1,5,22,26.11,69.55,0.0,0.0,0.0,395.85,2.99,71.0,1003.93,
2006,1,5,23,25.8,71.32,0.0,0.0,0.0,396.15,3.06,70.0,1003.73,
2006,1,6,0,25.5,73.09,0.0,0.0,0.0,396.45,3.12,68.0,1003.53,
2006,1,6,1,25.19,74.86,0.0,0.0,0.0,396.75,3.19,66.0,1003.33,
2006,1,6,2,25.0,75.45,0.0,0.0,0.0,397.02,3.32,64.0,1003.06,
2006,1,6,3,24.8,76.03,0.0,0.0,0.0,397.28,3.45,62.0,1002.8,
2006,1,6,4,24.61,76.62,0.0,0.0,0.0,397.55,3.59,59.0,1002.53,
2006,1,6,5,24.96,76.49,0.0,0.0,0.0,397.6,3.77,60.0,1003.36,
2006,1,6,6,25.31,76.35,0.0,0.0,0.0,397.65,3.96,60.0,1004.19,
2006,1,6,7,25.66,76.22,12.0,22.16,11.0,397.7,4.15,60.0,1005.02,
2006,1,6,8,26.65,71.77,219.0,522.92,74.0,399.5,4.48,64.0,1005.22,
2006,1,6,9,27.63,67.33,448.0,708.47,103.0,401.3,4.8,67.0,1005.42,
2006,1,6,10,28.62,62.88,433.0,166.7,323.0,403.1,5.13,70.0,1005.62,
2006,1,6,11,28.92,62.15,798.0,851.81,130.0,408.98,4.95,70.0,1004.62,
2006,1,6,12,29.23,61.41,397.0,36.4,366.0,414.87,4.76,69.0,1003.63,
2006,1,6,13,29.54,60.68,597.0,172.65,449.0,420.75,4.58,69.0,1002.63,
2006,1,6,14,29.48,60.28,818.0,855.24,133.0,418.75,4.33,69.0,1001.97,
2006,1,6,15,29.41,59.87,426.0,132.56,335.0,416.75,4.07,68.0,1001.31,
2006,1,6,16,29.35,59.47,488.0,724.64,110.0,414.75,3.82,68.0,1000.64,
2006,1,6,17,28.76,60.76,263.0,560.33,85.0,411.35,3.43,73.0,1001.54,
2006,1,6,18,28.17,62.05,63.0,158.25,49.0,407.95,3.05,78.0,1002.43,
2006,1,6,19,27.58,63.34,0.0,0.0,0.0,404.55,2.66,83.0,1003.33,
2006,1,6,20,27.25,65.05,0.0,0.0,0.0,404.43,2.78,84.0,1003.96,
2006,1,6,21,26.93,66.76,0.0,0.0,0.0,404.32,2.9,84.0,1004.59,
2006,1,6,22,26.6,68.47,0.0,0.0,0.0,404.2,3.02,84.0,1005.22,
2006,1,6,23,26.33,69.1,0.0,0.0,0.0,403.45,3.17,80.0,1005.05,
