Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1254,Upata,VEN,Venezuela,8.02042645155,-62.4099996355,-4,358.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,21.17,80.17,0.0,0.0,0.0,374.87,2.47,74.0,972.17,
2010,1,1,1,20.81,80.01,0.0,0.0,0.0,372.14,2.28,79.0,971.89,
2010,1,1,2,20.45,79.85,0.0,0.0,0.0,369.4,2.08,84.0,971.85,
2010,1,1,3,20.09,79.68,0.0,0.0,0.0,366.67,1.88,89.0,971.82,
2010,1,1,4,19.7,87.84,0.0,0.0,0.0,398.6,2.3,95.0,971.79,
2010,1,1,5,20.66,85.52,0.0,0.0,0.0,397.88,2.65,93.0,972.43,
2010,1,1,6,21.63,83.2,0.0,0.0,0.0,397.17,2.99,91.0,973.07,
2010,1,1,7,22.59,80.88,90.0,366.79,42.0,396.45,3.34,89.0,973.71,
2010,1,1,8,24.46,72.4,330.0,720.08,74.0,391.2,3.75,83.0,973.61,
2010,1,1,9,26.33,63.92,563.0,856.55,90.0,385.95,4.17,78.0,973.51,
2010,1,1,10,28.2,55.44,753.0,921.46,101.0,380.7,4.58,72.0,973.42,
2010,1,1,11,28.89,51.7,882.0,955.62,107.0,387.27,4.48,71.0,972.11,
2010,1,1,12,29.58,47.95,937.0,967.94,109.0,393.83,4.38,70.0,970.8,
2010,1,1,13,30.27,44.21,914.0,961.99,108.0,400.4,4.28,69.0,969.49,
2010,1,1,14,29.61,44.68,498.0,150.11,384.0,399.55,4.44,67.0,968.85,
2010,1,1,15,28.95,45.16,649.0,885.56,95.0,398.7,4.6,66.0,968.21,
2010,1,1,16,28.28,45.63,434.0,792.59,81.0,397.85,4.76,64.0,967.57,
2010,1,1,17,27.01,49.99,196.0,610.15,55.0,391.03,3.92,67.0,968.15,
2010,1,1,18,25.74,54.34,0.0,0.0,0.0,384.22,3.08,70.0,968.72,
2010,1,1,19,24.47,58.7,0.0,0.0,0.0,377.4,2.23,73.0,969.3,
2010,1,1,20,23.43,62.7,0.0,0.0,0.0,365.92,2.22,81.0,969.78,
2010,1,1,21,22.39,66.71,0.0,0.0,0.0,354.43,2.2,89.0,970.26,
2010,1,1,22,21.35,70.71,0.0,0.0,0.0,342.95,2.18,97.0,970.74,
2010,1,1,23,20.62,74.25,0.0,0.0,0.0,340.37,2.26,100.0,970.26,
2010,1,2,0,19.89,77.78,0.0,0.0,0.0,337.78,2.34,103.0,969.78,
2010,1,2,1,19.17,81.32,0.0,0.0,0.0,335.2,2.43,107.0,969.3,
2010,1,2,2,18.63,83.76,0.0,0.0,0.0,332.93,2.5,109.0,969.3,
2010,1,2,3,18.1,86.21,0.0,0.0,0.0,330.67,2.57,111.0,969.3,
2010,1,2,4,17.57,88.65,0.0,0.0,0.0,328.4,2.63,114.0,969.3,
2010,1,2,5,18.99,84.82,0.0,0.0,0.0,327.7,2.86,116.0,969.97,
2010,1,2,6,20.4,80.98,0.0,0.0,0.0,327.0,3.09,118.0,970.64,
2010,1,2,7,21.82,77.15,90.0,370.84,42.0,326.3,3.32,120.0,971.31,
2010,1,2,8,23.97,69.37,331.0,728.03,73.0,338.27,3.69,112.0,971.31,
2010,1,2,9,26.11,61.6,566.0,863.15,90.0,350.23,4.06,104.0,971.31,
2010,1,2,10,28.26,53.82,758.0,928.92,101.0,362.2,4.43,96.0,971.31,
2010,1,2,11,29.13,49.04,887.0,961.57,107.0,362.9,4.35,94.0,970.19,
2010,1,2,12,30.0,44.27,943.0,974.19,109.0,363.6,4.27,91.0,969.07,
2010,1,2,13,30.87,39.49,921.0,969.05,108.0,364.3,4.19,88.0,967.96,
2010,1,2,14,30.19,40.03,823.0,944.86,104.0,365.2,4.25,84.0,967.35,
2010,1,2,15,29.5,40.58,657.0,895.77,95.0,366.1,4.31,79.0,966.74,
2010,1,2,16,28.81,41.12,441.0,804.71,81.0,367.0,4.37,74.0,966.14,
2010,1,2,17,27.19,47.34,201.0,626.2,55.0,361.82,4.13,77.0,966.68,
2010,1,2,18,25.57,53.57,0.0,0.0,0.0,356.63,3.89,79.0,967.22,
2010,1,2,19,23.94,59.79,0.0,0.0,0.0,351.45,3.64,81.0,967.77,
2010,1,2,20,23.17,63.84,0.0,0.0,0.0,348.1,3.21,85.0,968.4,
2010,1,2,21,22.39,67.9,0.0,0.0,0.0,344.75,2.78,89.0,969.04,
2010,1,2,22,21.62,71.95,0.0,0.0,0.0,341.4,2.34,93.0,969.68,
2010,1,2,23,20.97,75.53,0.0,0.0,0.0,340.42,2.29,96.0,969.49,
2010,1,3,0,20.32,79.1,0.0,0.0,0.0,339.43,2.24,99.0,969.3,
2010,1,3,1,19.67,82.68,0.0,0.0,0.0,338.45,2.19,102.0,969.11,
2010,1,3,2,19.31,84.48,0.0,0.0,0.0,339.88,2.2,103.0,969.04,
2010,1,3,3,18.95,86.29,0.0,0.0,0.0,341.32,2.21,105.0,968.98,
2010,1,3,4,18.59,88.09,0.0,0.0,0.0,342.75,2.22,107.0,968.92,
2010,1,3,5,19.75,85.46,0.0,0.0,0.0,349.28,2.89,108.0,969.46,
2010,1,3,6,20.91,82.84,0.0,0.0,0.0,355.82,3.56,110.0,970.0,
2010,1,3,7,22.07,80.21,89.0,367.05,42.0,362.35,4.23,112.0,970.54,
2010,1,3,8,24.12,72.24,330.0,727.43,73.0,370.42,4.74,109.0,970.64,
2010,1,3,9,26.18,64.27,565.0,862.41,90.0,378.48,5.26,106.0,970.74,
2010,1,3,10,28.23,56.3,757.0,929.23,100.0,386.55,5.77,102.0,970.83,
2010,1,3,11,29.08,52.01,885.0,960.04,106.0,383.5,5.56,99.0,969.68,
2010,1,3,12,29.92,47.73,941.0,972.2,108.0,380.45,5.36,96.0,968.53,
2010,1,3,13,30.76,43.44,918.0,965.31,107.0,377.4,5.16,93.0,967.38,
2010,1,3,14,30.09,43.68,820.0,940.31,103.0,377.67,5.28,89.0,966.93,
2010,1,3,15,29.42,43.91,655.0,891.55,94.0,377.93,5.41,84.0,966.49,
2010,1,3,16,28.74,44.15,439.0,798.86,80.0,378.2,5.53,79.0,966.04,
2010,1,3,17,27.38,48.83,201.0,620.67,55.0,374.67,5.26,79.0,966.71,
2010,1,3,18,26.03,53.51,0.0,0.0,0.0,371.13,4.99,80.0,967.38,
2010,1,3,19,24.67,58.19,0.0,0.0,0.0,367.6,4.72,80.0,968.05,
2010,1,3,20,24.06,62.27,0.0,0.0,0.0,363.78,4.46,84.0,968.63,
2010,1,3,21,23.45,66.35,0.0,0.0,0.0,359.97,4.2,88.0,969.2,
2010,1,3,22,22.84,70.43,0.0,0.0,0.0,356.15,3.94,92.0,969.78,
2010,1,3,23,22.25,73.7,0.0,0.0,0.0,356.53,3.55,96.0,969.68,
2010,1,4,0,21.66,76.97,0.0,0.0,0.0,356.92,3.16,100.0,969.59,
2010,1,4,1,21.08,80.24,0.0,0.0,0.0,357.3,2.77,104.0,969.49,
2010,1,4,2,20.69,82.21,0.0,0.0,0.0,360.22,2.73,106.0,969.52,
2010,1,4,3,20.31,84.18,0.0,0.0,0.0,363.13,2.69,107.0,969.55,
2010,1,4,4,19.92,86.15,0.0,0.0,0.0,366.05,2.65,109.0,969.59,
2010,1,4,5,20.89,83.56,0.0,0.0,0.0,368.55,3.35,110.0,970.26,
2010,1,4,6,21.85,80.96,0.0,0.0,0.0,371.05,4.05,110.0,970.93,
2010,1,4,7,22.82,78.37,84.0,347.26,40.0,373.55,4.74,111.0,971.6,
2010,1,4,8,24.75,72.36,319.0,704.01,71.0,382.07,5.37,107.0,971.6,
2010,1,4,9,26.68,66.34,97.0,0.0,97.0,390.58,6.0,104.0,971.6,
2010,1,4,10,28.61,60.33,310.0,31.12,288.0,399.1,6.62,100.0,971.6,
2010,1,4,11,29.21,58.4,386.0,38.19,355.0,404.47,6.38,98.0,970.61,
2010,1,4,12,29.81,56.47,340.0,20.99,322.0,409.83,6.13,96.0,969.62,
2010,1,4,13,30.4,54.54,310.0,16.64,296.0,415.2,5.89,94.0,968.63,
2010,1,4,14,29.6,56.61,115.0,0.0,115.0,412.08,5.69,90.0,968.05,
2010,1,4,15,28.8,58.67,130.0,0.0,130.0,408.97,5.49,86.0,967.48,
2010,1,4,16,28.0,60.74,231.0,77.53,196.0,405.85,5.3,83.0,966.9,
2010,1,4,17,26.99,65.83,199.0,606.78,55.0,404.92,4.73,84.0,967.64,
2010,1,4,18,25.99,70.91,0.0,0.0,0.0,403.98,4.16,86.0,968.37,
2010,1,4,19,24.98,76.0,0.0,0.0,0.0,403.05,3.59,88.0,969.11,
2010,1,4,20,24.44,78.23,0.0,0.0,0.0,405.7,3.23,84.0,969.68,
