Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4832,Valencia,VEN,Venezuela,10.2299815053,-67.9800214047,-4,568.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2008,1,1,0,21.67,92.51,0.0,0.0,0.0,379.64,3.78,58.0,947.71,
2008,1,1,1,20.87,96.13,0.0,0.0,0.0,378.46,3.96,61.0,947.64,
2008,1,1,2,20.07,99.76,0.0,0.0,0.0,377.28,4.14,63.0,947.52,
2008,1,1,3,19.27,100.0,0.0,0.0,0.0,376.09,4.32,65.0,947.4,
2008,1,1,4,20.19,94.14,0.0,0.0,0.0,380.6,3.77,67.0,947.27,
2008,1,1,5,20.64,92.77,0.0,0.0,0.0,377.17,3.9,68.0,947.74,
2008,1,1,6,21.09,91.39,0.0,0.0,0.0,373.73,4.03,69.0,948.21,
2008,1,1,7,21.54,90.02,10.0,0.0,10.0,370.3,4.17,70.0,948.67,
2008,1,1,8,23.35,81.94,222.0,617.1,63.0,376.77,4.47,71.0,948.86,
2008,1,1,9,25.15,73.85,462.0,812.67,84.0,383.23,4.77,72.0,949.05,
2008,1,1,10,26.96,65.77,669.0,900.68,96.0,389.7,5.08,73.0,949.23,
2008,1,1,11,27.56,62.26,821.0,944.48,104.0,398.55,5.03,72.0,948.64,
2008,1,1,12,28.15,58.75,902.0,961.67,108.0,407.4,4.98,72.0,948.05,
2008,1,1,13,28.74,55.24,906.0,960.11,108.0,416.25,4.94,71.0,947.46,
2008,1,1,14,27.99,57.7,834.0,941.6,104.0,416.33,4.9,68.0,946.87,
2008,1,1,15,27.23,60.17,692.0,899.0,97.0,416.42,4.86,64.0,946.27,
2008,1,1,16,26.47,62.63,495.0,822.34,85.0,416.5,4.83,61.0,945.68,
2008,1,1,17,25.32,68.72,65.0,0.0,65.0,408.1,4.31,57.0,945.87,
2008,1,1,18,24.16,74.81,0.0,0.0,0.0,399.7,3.8,53.0,946.06,
2008,1,1,19,23.01,80.9,0.0,0.0,0.0,391.3,3.28,50.0,946.24,
2008,1,1,20,22.86,83.2,0.0,0.0,0.0,391.68,3.6,53.0,946.77,
2008,1,1,21,22.72,85.49,0.0,0.0,0.0,392.07,3.93,56.0,947.3,
2008,1,1,22,22.57,87.79,0.0,0.0,0.0,392.45,4.25,60.0,947.83,
