Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1416,Bac Lieu,VNM,Vietnam,9.28037538547,105.719996296,7,2.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,24.26,86.32,0.0,0.0,0.0,404.9,5.21,72.0,1012.36,
2006,1,1,1,24.46,85.67,0.0,0.0,0.0,405.11,5.34,72.0,1011.89,
2006,1,1,2,24.67,85.02,0.0,0.0,0.0,405.32,5.47,71.0,1011.43,
2006,1,1,3,24.87,84.36,0.0,0.0,0.0,405.53,5.6,70.0,1010.96,
2006,1,1,4,25.08,83.71,0.0,0.0,0.0,405.74,5.74,69.0,1011.23,
2006,1,1,5,25.29,83.06,0.0,0.0,0.0,405.95,5.87,68.0,1011.49,
2006,1,1,6,25.49,82.4,0.0,0.0,0.0,406.16,6.0,68.0,1011.76,
2006,1,1,7,25.7,81.75,68.0,9.04,67.0,406.37,6.13,58.0,1012.06,
2006,1,1,8,25.9,81.1,219.0,211.63,148.0,406.58,6.26,58.0,1012.36,
2006,1,1,9,26.11,80.45,398.0,292.58,242.0,406.79,6.4,58.0,1012.66,
2006,1,1,10,26.32,79.79,353.0,47.81,320.0,407.0,6.53,59.0,1012.03,
2006,1,1,11,26.52,79.14,724.0,528.91,303.0,407.21,6.66,60.0,1011.39,
2006,1,1,12,26.73,78.49,714.0,397.31,379.0,407.42,6.79,61.0,1010.76,
2006,1,1,13,26.93,77.84,701.0,394.64,374.0,407.63,6.93,63.0,1010.09,
2006,1,1,14,27.14,77.18,584.0,292.06,364.0,407.84,7.06,65.0,1009.43,
2006,1,1,15,27.04,77.3,459.0,253.89,301.0,404.95,6.94,66.0,1008.76,
2006,1,1,16,26.89,78.8,318.0,256.38,204.0,404.5,6.89,68.0,1009.36,
2006,1,1,17,26.73,80.3,155.0,249.59,97.0,404.05,6.85,69.0,1009.96,
2006,1,1,18,26.58,81.8,0.0,0.0,0.0,403.6,6.8,70.0,1010.56,
2006,1,1,19,26.33,82.39,0.0,0.0,0.0,404.65,6.51,70.0,1010.89,
2006,1,1,20,26.08,82.98,0.0,0.0,0.0,405.7,6.21,69.0,1011.23,
2006,1,1,21,25.83,83.57,0.0,0.0,0.0,406.75,5.92,69.0,1011.56,
2006,1,1,22,25.75,83.87,0.0,0.0,0.0,406.97,6.06,67.0,1011.53,
2006,1,1,23,25.66,84.17,0.0,0.0,0.0,407.18,6.21,66.0,1011.49,
2006,1,2,0,25.57,84.47,0.0,0.0,0.0,407.4,6.36,64.0,1011.46,
2006,1,2,1,25.48,84.49,0.0,0.0,0.0,407.63,6.56,61.0,1010.93,
2006,1,2,2,25.4,84.5,0.0,0.0,0.0,407.87,6.75,58.0,1010.39,
2006,1,2,3,25.31,84.52,0.0,0.0,0.0,408.1,6.95,54.0,1009.86,
2006,1,2,4,25.27,84.06,0.0,0.0,0.0,407.57,6.91,53.0,1010.06,
2006,1,2,5,25.22,83.59,0.0,0.0,0.0,407.03,6.86,51.0,1010.26,
2006,1,2,6,25.18,83.13,0.0,0.0,0.0,406.5,6.81,49.0,1010.46,
2006,1,2,7,25.57,81.75,65.0,9.16,64.0,407.32,6.78,50.0,1010.73,
2006,1,2,8,25.96,80.38,71.0,0.0,71.0,408.13,6.74,52.0,1010.99,
2006,1,2,9,26.35,79.0,112.0,0.0,112.0,408.95,6.7,53.0,1011.26,
2006,1,2,10,26.48,77.82,617.0,520.32,258.0,410.87,6.86,55.0,1010.79,
2006,1,2,11,26.61,76.63,577.0,219.8,402.0,412.78,7.02,56.0,1010.33,
2006,1,2,12,26.75,75.45,628.0,239.38,426.0,414.7,7.17,57.0,1009.86,
2006,1,2,13,26.7,75.73,239.0,0.0,239.0,414.93,7.46,58.0,1009.26,
2006,1,2,14,26.66,76.02,156.0,0.0,156.0,415.17,7.74,58.0,1008.66,
2006,1,2,15,26.61,76.3,56.0,0.0,56.0,415.4,8.03,58.0,1008.06,
2006,1,2,16,26.55,77.89,37.0,0.0,37.0,415.97,7.8,59.0,1008.53,
2006,1,2,17,26.48,79.47,95.0,29.85,88.0,416.53,7.57,59.0,1008.99,
2006,1,2,18,26.41,81.06,0.0,0.0,0.0,417.1,7.34,60.0,1009.46,
2006,1,2,19,26.34,81.86,0.0,0.0,0.0,417.12,7.15,60.0,1009.73,
2006,1,2,20,26.28,82.65,0.0,0.0,0.0,417.13,6.96,60.0,1009.99,
2006,1,2,21,26.22,83.45,0.0,0.0,0.0,417.15,6.77,60.0,1010.26,
2006,1,2,22,26.14,84.33,0.0,0.0,0.0,416.48,7.0,60.0,1010.19,
2006,1,2,23,26.06,85.21,0.0,0.0,0.0,415.82,7.22,60.0,1010.13,
2006,1,3,0,25.99,86.09,0.0,0.0,0.0,415.15,7.45,60.0,1010.06,
2006,1,3,1,25.88,86.68,0.0,0.0,0.0,416.77,7.56,60.0,1009.63,
2006,1,3,2,25.76,87.26,0.0,0.0,0.0,418.38,7.67,61.0,1009.19,
2006,1,3,3,25.65,87.85,0.0,0.0,0.0,420.0,7.78,62.0,1008.76,
2006,1,3,4,25.59,88.11,0.0,0.0,0.0,422.32,7.8,63.0,1009.03,
2006,1,3,5,25.53,88.36,0.0,0.0,0.0,424.63,7.83,64.0,1009.29,
2006,1,3,6,25.47,88.62,0.0,0.0,0.0,426.95,7.85,65.0,1009.56,
2006,1,3,7,25.64,87.3,108.0,166.87,90.0,422.82,8.07,65.0,1009.89,
2006,1,3,8,25.81,85.98,238.0,303.02,137.0,418.68,8.29,64.0,1010.23,
2006,1,3,9,25.99,84.66,440.0,430.63,211.0,414.55,8.51,64.0,1010.56,
