Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1405,Kon Tum,VNM,Vietnam,14.3837589711,107.983320678,7,522.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2007,1,1,0,15.39,97.2,0.0,0.0,0.0,363.56,2.72,40.0,957.21,
2007,1,1,1,16.62,95.81,0.0,0.0,0.0,366.67,2.82,40.0,957.03,
2007,1,1,2,17.84,94.41,0.0,0.0,0.0,369.78,2.93,40.0,956.84,
2007,1,1,3,19.07,93.02,0.0,0.0,0.0,372.9,3.03,40.0,956.65,
2007,1,1,4,20.3,91.62,0.0,0.0,0.0,376.01,3.14,41.0,957.18,
2007,1,1,5,21.53,90.23,0.0,0.0,0.0,379.13,3.24,42.0,957.71,
2007,1,1,6,22.76,88.83,0.0,0.0,0.0,382.24,3.35,44.0,958.25,
2007,1,1,7,23.98,87.44,83.6,119.6,70.2,385.35,3.45,49.0,955.74,
2007,1,1,8,25.21,86.05,290.0,583.16,98.0,388.47,3.56,53.0,955.96,
2007,1,1,9,26.44,84.65,512.0,761.53,118.0,391.58,3.66,56.0,956.18,
2007,1,1,10,27.67,83.26,703.0,905.6,102.0,394.69,3.77,59.0,955.21,
2007,1,1,11,28.9,81.86,817.0,932.63,110.0,397.81,3.87,63.0,954.24,
2007,1,1,12,30.12,80.47,853.0,914.11,127.0,400.92,3.98,66.0,953.27,
2007,1,1,13,31.35,79.07,796.0,805.6,176.0,404.03,4.08,66.0,952.89,
2007,1,1,14,32.58,77.68,714.0,849.91,131.0,407.15,4.19,66.0,952.52,
2007,1,1,15,30.16,82.53,285.0,54.65,255.0,407.85,3.12,66.0,952.14,
2007,1,1,16,28.51,86.95,132.0,8.15,129.0,406.72,2.87,64.0,952.86,
2007,1,1,17,26.86,91.38,56.0,19.34,53.0,405.58,2.63,63.0,953.58,
2007,1,1,18,25.21,95.8,0.0,0.0,0.0,404.45,2.39,62.0,954.3,
2007,1,1,19,24.05,96.79,0.0,0.0,0.0,399.08,2.15,58.0,954.49,
2007,1,1,20,22.9,97.78,0.0,0.0,0.0,393.72,1.91,55.0,954.68,
2007,1,1,21,21.74,98.77,0.0,0.0,0.0,388.35,1.67,51.0,954.86,
2007,1,1,22,21.24,99.0,0.0,0.0,0.0,389.03,1.71,50.0,954.65,
2007,1,1,23,20.73,99.23,0.0,0.0,0.0,389.72,1.75,48.0,954.43,
2007,1,2,0,20.23,99.46,0.0,0.0,0.0,390.4,1.79,47.0,954.21,
2007,1,2,1,20.0,99.28,0.0,0.0,0.0,392.38,1.9,45.0,953.8,
2007,1,2,2,19.78,99.11,0.0,0.0,0.0,394.37,2.01,43.0,953.39,
2007,1,2,3,19.55,98.93,0.0,0.0,0.0,396.35,2.12,40.0,952.99,
2007,1,2,4,19.95,98.65,0.0,0.0,0.0,398.33,2.22,40.0,953.42,
2007,1,2,5,20.34,98.37,0.0,0.0,0.0,400.32,2.32,40.0,953.86,
2007,1,2,6,20.74,98.09,0.0,0.0,0.0,402.3,2.41,40.0,954.3,
2007,1,2,7,23.44,90.99,17.0,0.0,17.0,400.65,2.48,42.0,954.39,
2007,1,2,8,26.14,83.88,283.0,539.1,106.0,399.0,2.54,44.0,954.49,
2007,1,2,9,28.84,76.78,453.0,497.24,196.0,397.35,2.61,46.0,954.58,
2007,1,2,10,30.21,73.35,695.0,872.56,116.0,397.98,2.56,50.0,953.8,
2007,1,2,11,31.58,69.93,818.0,933.47,110.0,398.62,2.51,53.0,953.02,
2007,1,2,12,32.95,66.5,854.0,914.38,127.0,399.25,2.46,57.0,952.23,
2007,1,2,13,32.38,69.96,619.0,320.4,372.0,403.23,2.37,59.0,951.76,
2007,1,2,14,31.81,73.43,478.0,187.6,349.0,407.22,2.28,61.0,951.29,
2007,1,2,15,31.25,76.89,307.0,78.06,264.0,411.2,2.19,63.0,950.82,
2007,1,2,16,29.32,82.21,230.0,151.35,174.0,408.1,2.08,65.0,951.45,
2007,1,2,17,27.39,87.52,26.0,0.0,26.0,405.0,1.96,68.0,952.08,
2007,1,2,18,25.47,92.84,0.0,0.0,0.0,401.9,1.85,71.0,952.7,
2007,1,2,19,24.56,94.67,0.0,0.0,0.0,400.13,1.8,70.0,952.86,
2007,1,2,20,23.66,96.5,0.0,0.0,0.0,398.37,1.76,70.0,953.02,
2007,1,2,21,22.76,98.33,0.0,0.0,0.0,396.6,1.71,69.0,953.17,
2007,1,2,22,22.35,98.71,0.0,0.0,0.0,398.0,1.77,65.0,953.2,
2007,1,2,23,21.94,99.08,0.0,0.0,0.0,399.4,1.82,62.0,953.24,
2007,1,3,0,21.53,99.46,0.0,0.0,0.0,400.8,1.88,58.0,953.27,
2007,1,3,1,21.33,99.38,0.0,0.0,0.0,401.3,1.86,57.0,953.02,
2007,1,3,2,21.13,99.3,0.0,0.0,0.0,401.8,1.84,56.0,952.77,
2007,1,3,3,20.93,99.22,0.0,0.0,0.0,402.3,1.82,55.0,952.52,
2007,1,3,4,21.27,99.11,0.0,0.0,0.0,401.6,1.99,52.0,952.92,
