Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,30,Tra Vinh,VNM,Vietnam,9.93400208679,106.334001679,7,6.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,24.29,74.0,0.0,0.0,0.0,406.38,3.03,45.0,1014.38,
2006,1,1,1,24.59,74.11,0.0,0.0,0.0,406.68,3.29,44.0,1014.11,
2006,1,1,2,24.89,74.23,0.0,0.0,0.0,406.98,3.56,42.0,1013.85,
2006,1,1,3,25.19,74.35,0.0,0.0,0.0,407.27,3.82,40.0,1013.58,
2006,1,1,4,25.49,74.47,0.0,0.0,0.0,407.57,4.08,42.0,1013.95,
2006,1,1,5,25.79,74.58,0.0,0.0,0.0,407.86,4.35,44.0,1014.31,
2006,1,1,6,26.09,74.7,0.0,0.0,0.0,408.16,4.61,45.0,1014.68,
2006,1,1,7,26.39,74.82,143.0,431.06,93.0,408.46,4.88,54.0,1011.81,
2006,1,1,8,26.69,74.94,134.0,20.62,127.0,408.75,5.14,53.0,1012.15,
2006,1,1,9,26.99,75.05,275.0,57.9,244.0,409.05,5.41,52.0,1012.48,
2006,1,1,10,27.29,75.17,542.0,318.79,322.0,409.35,5.67,53.0,1011.78,
2006,1,1,11,27.59,75.29,718.0,515.62,309.0,409.64,5.93,53.0,1011.08,
2006,1,1,12,27.89,75.4,663.0,303.22,409.0,409.94,6.2,53.0,1010.38,
2006,1,1,13,28.18,75.52,673.0,347.36,388.0,410.23,6.46,55.0,1009.71,
2006,1,1,14,28.48,75.64,608.0,352.75,346.0,410.53,6.73,56.0,1009.05,
2006,1,1,15,27.78,74.68,529.0,460.81,248.0,404.3,6.03,58.0,1008.38,
2006,1,1,16,26.94,76.7,399.0,631.52,127.0,404.18,6.02,59.0,1008.95,
2006,1,1,17,26.11,78.71,154.0,289.43,91.0,404.07,6.02,60.0,1009.51,
2006,1,1,18,25.27,80.73,0.0,0.0,0.0,403.95,6.01,62.0,1010.08,
2006,1,1,19,25.01,81.16,0.0,0.0,0.0,404.77,5.81,61.0,1010.35,
2006,1,1,20,24.76,81.58,0.0,0.0,0.0,405.58,5.6,60.0,1010.61,
2006,1,1,21,24.5,82.01,0.0,0.0,0.0,406.4,5.39,59.0,1010.88,
2006,1,1,22,24.42,82.27,0.0,0.0,0.0,406.25,5.46,57.0,1010.95,
