Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3868,Kafue,ZMB,Zambia,-15.7800329398,28.1800264066,2,986.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,21.9,87.27,0.0,0.0,0.0,396.14,2.47,6.0,898.36,
2006,1,1,1,21.86,86.99,0.0,0.0,0.0,394.17,2.77,2.0,897.92,
2006,1,1,2,21.83,86.7,0.0,0.0,0.0,392.19,3.06,53.0,901.68,
2006,1,1,3,21.79,86.41,0.0,0.0,0.0,390.21,3.35,55.0,901.62,
2006,1,1,4,21.76,86.12,0.0,0.0,0.0,388.23,3.64,58.0,901.56,
2006,1,1,5,21.72,85.84,0.0,0.0,0.0,386.26,3.93,59.0,901.92,
2006,1,1,6,21.68,85.55,6.0,0.0,6.0,384.28,4.23,60.0,902.27,
2006,1,1,7,21.65,85.26,220.0,273.12,135.0,382.3,4.52,61.0,902.63,
2006,1,1,8,21.61,84.97,252.45,158.36,168.95,380.32,4.81,63.0,902.09,
2006,1,1,9,21.57,84.69,496.0,187.51,362.0,378.35,5.1,65.0,901.56,
2006,1,1,10,25.43,67.6,520.4,255.19,300.8,395.1,5.42,66.0,901.03,
2006,1,1,11,26.04,65.36,1039.0,938.19,143.0,401.53,5.01,72.0,900.05,
2006,1,1,12,26.66,63.11,550.0,56.47,494.0,407.97,4.59,77.0,899.07,
2006,1,1,13,27.27,60.87,826.0,389.45,449.0,414.4,4.18,83.0,898.1,
2006,1,1,14,26.94,62.01,924.0,831.06,188.0,413.68,4.02,82.0,897.98,
2006,1,1,15,26.62,63.14,557.0,245.3,373.0,412.97,3.86,81.0,897.86,
2006,1,1,16,26.29,64.28,516.0,562.44,195.0,412.25,3.7,80.0,897.74,
2006,1,1,17,25.18,68.1,236.0,200.17,164.0,411.27,3.17,67.0,898.42,
2006,1,1,18,24.06,71.91,74.0,175.05,51.0,410.28,2.65,54.0,899.1,
2006,1,1,19,22.95,75.73,0.0,0.0,0.0,409.3,2.12,41.0,899.78,
2006,1,1,20,22.43,78.67,0.0,0.0,0.0,407.25,2.05,35.0,900.49,
2006,1,1,21,21.92,81.6,0.0,0.0,0.0,405.2,1.97,30.0,901.21,
2006,1,1,22,21.4,84.54,0.0,0.0,0.0,403.15,1.89,24.0,901.92,
