Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1439,Kalabo,ZMB,Zambia,-14.9895902315,22.6800003649,2,1026.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,20.6,95.73,0.0,0.0,0.0,388.11,2.59,205.0,894.51,
2006,1,1,1,20.77,94.85,0.0,0.0,0.0,385.27,2.78,216.0,894.1,
2006,1,1,2,20.95,93.97,0.0,0.0,0.0,382.44,2.97,97.0,896.08,
2006,1,1,3,21.12,93.1,0.0,0.0,0.0,379.6,3.16,93.0,895.75,
2006,1,1,4,21.29,92.22,0.0,0.0,0.0,376.77,3.35,89.0,895.43,
2006,1,1,5,21.47,91.34,0.0,0.0,0.0,373.93,3.54,88.0,895.75,
2006,1,1,6,21.64,90.46,0.0,0.0,0.0,371.1,3.73,87.0,896.08,
2006,1,1,7,21.81,89.58,181.0,497.25,70.0,368.26,3.92,86.0,896.4,
2006,1,1,8,21.98,88.71,195.9,136.57,134.85,365.43,4.12,85.0,895.78,
2006,1,1,9,22.16,87.83,654.0,794.17,140.0,362.6,4.31,83.0,895.16,
2006,1,1,10,25.91,78.89,491.15,284.68,260.5,383.0,5.37,82.0,894.54,
2006,1,1,11,26.69,73.62,978.0,855.26,187.0,391.77,5.21,82.0,893.78,
2006,1,1,12,27.47,68.34,858.0,420.99,444.0,400.53,5.05,83.0,893.01,
2006,1,1,13,28.26,63.07,995.0,728.26,280.0,409.3,4.9,84.0,892.25,
2006,1,1,14,27.98,63.67,987.0,902.0,157.0,410.03,4.53,84.0,892.13,
2006,1,1,15,27.71,64.27,850.0,891.95,134.0,410.77,4.17,85.0,892.01,
2006,1,1,16,27.43,64.87,626.0,727.86,162.0,411.5,3.81,85.0,891.89,
2006,1,1,17,25.84,72.71,219.0,55.09,195.0,407.0,3.38,78.0,892.69,
2006,1,1,18,24.25,80.55,148.0,317.43,81.0,402.5,2.96,72.0,893.48,
2006,1,1,19,22.66,88.39,0.0,0.0,0.0,398.0,2.54,65.0,894.28,
2006,1,1,20,22.16,89.44,0.0,0.0,0.0,395.35,2.36,65.0,895.07,
2006,1,1,21,21.67,90.48,0.0,0.0,0.0,392.7,2.19,65.0,895.87,
2006,1,1,22,21.17,91.53,0.0,0.0,0.0,390.05,2.01,64.0,896.67,
2006,1,1,23,20.94,92.18,0.0,0.0,0.0,386.42,2.13,68.0,896.55,
2006,1,2,0,20.7,92.83,0.0,0.0,0.0,382.78,2.25,71.0,896.43,
2006,1,2,1,20.47,93.48,0.0,0.0,0.0,379.15,2.37,75.0,896.31,
2006,1,2,2,20.19,94.08,0.0,0.0,0.0,374.42,2.44,75.0,895.93,
2006,1,2,3,19.91,94.69,0.0,0.0,0.0,369.68,2.5,75.0,895.55,
2006,1,2,4,19.63,95.29,0.0,0.0,0.0,364.95,2.57,74.0,895.16,
2006,1,2,5,20.42,93.09,0.0,0.0,0.0,363.05,3.18,73.0,895.43,
2006,1,2,6,21.2,90.88,0.0,0.0,0.0,361.15,3.8,71.0,895.69,
2006,1,2,7,21.99,88.68,64.0,4.52,63.0,359.25,4.41,69.0,895.96,
2006,1,2,8,23.18,84.35,232.2,204.93,140.95,364.85,4.65,71.0,895.46,
2006,1,2,9,24.38,80.03,546.0,419.61,275.0,370.45,4.88,74.0,894.96,
2006,1,2,10,25.58,75.7,576.5,394.87,256.95,376.05,5.12,76.0,894.46,
2006,1,2,11,26.52,71.02,955.0,790.8,224.0,386.52,4.77,80.0,893.42,
2006,1,2,12,27.46,66.35,1032.0,822.67,223.0,396.98,4.42,83.0,892.39,
2006,1,2,13,28.41,61.67,1042.0,855.2,202.0,407.45,4.07,86.0,891.36,
2006,1,2,14,28.42,59.74,955.0,804.55,214.0,410.37,3.69,85.0,891.01,
2006,1,2,15,28.42,57.82,714.0,477.68,330.0,413.28,3.31,83.0,890.65,
2006,1,2,16,28.43,55.89,428.0,170.62,319.0,416.2,2.94,81.0,890.3,
2006,1,2,17,26.92,62.21,341.0,359.16,184.0,410.2,2.74,74.0,891.1,
2006,1,2,18,25.41,68.52,143.0,272.94,85.0,404.2,2.55,67.0,891.89,
2006,1,2,19,23.9,74.84,0.0,0.0,0.0,398.2,2.36,60.0,892.69,
2006,1,2,20,23.29,78.24,0.0,0.0,0.0,398.05,2.14,61.0,893.72,
2006,1,2,21,22.69,81.64,0.0,0.0,0.0,397.9,1.92,62.0,894.75,
2006,1,2,22,22.09,85.04,0.0,0.0,0.0,397.75,1.7,63.0,895.78,
2006,1,2,23,21.61,88.13,0.0,0.0,0.0,393.25,1.5,73.0,895.58,
2006,1,3,0,21.12,91.22,0.0,0.0,0.0,388.75,1.3,83.0,895.37,
2006,1,3,1,20.64,94.31,0.0,0.0,0.0,384.25,1.1,93.0,895.16,
2006,1,3,2,20.36,94.98,0.0,0.0,0.0,380.77,1.36,97.0,894.63,
2006,1,3,3,20.08,95.65,0.0,0.0,0.0,377.28,1.62,101.0,894.1,
2006,1,3,4,19.8,96.32,0.0,0.0,0.0,373.8,1.88,106.0,893.57,
2006,1,3,5,20.31,94.45,0.0,0.0,0.0,370.57,2.47,94.0,893.81,
2006,1,3,6,20.83,92.57,0.0,0.0,0.0,367.33,3.07,83.0,894.04,
2006,1,3,7,21.34,90.7,109.0,77.54,92.0,364.1,3.67,71.0,894.28,
2006,1,3,8,22.25,88.48,280.6,307.86,144.05,374.13,3.51,66.0,893.93,
2006,1,3,9,23.17,86.26,491.0,283.96,308.0,384.17,3.36,62.0,893.57,
2006,1,3,10,24.09,84.04,673.3,517.5,255.0,394.2,3.2,57.0,893.22,
2006,1,3,11,24.28,85.53,136.0,0.0,136.0,399.22,2.91,56.0,892.42,
2006,1,3,12,24.48,87.02,451.0,17.29,434.0,404.23,2.62,54.0,891.63,
2006,1,3,13,24.68,88.51,630.0,117.03,515.0,409.25,2.33,52.0,890.83,
2006,1,3,14,24.44,87.36,445.0,26.03,421.0,404.05,2.12,48.0,890.74,
2006,1,3,15,24.21,86.2,224.0,0.0,224.0,398.85,1.92,44.0,890.65,
2006,1,3,16,23.98,85.05,471.0,249.92,311.0,393.65,1.71,41.0,890.57,
2006,1,3,17,23.27,87.03,365.0,451.47,167.0,392.7,1.52,39.0,891.24,
2006,1,3,18,22.56,89.0,115.0,112.21,91.0,391.75,1.33,38.0,891.92,
2006,1,3,19,21.85,90.98,0.0,0.0,0.0,390.8,1.14,37.0,892.6,
2006,1,3,20,21.41,92.67,0.0,0.0,0.0,388.83,1.11,40.0,893.19,
2006,1,3,21,20.98,94.37,0.0,0.0,0.0,386.87,1.08,42.0,893.78,
2006,1,3,22,20.54,96.06,0.0,0.0,0.0,384.9,1.05,45.0,894.37,
2006,1,3,23,20.42,96.7,0.0,0.0,0.0,386.68,1.21,50.0,894.01,
2006,1,4,0,20.29,97.34,0.0,0.0,0.0,388.47,1.37,55.0,893.66,
2006,1,4,1,20.17,97.98,0.0,0.0,0.0,390.25,1.53,59.0,893.31,
2006,1,4,2,19.86,98.31,0.0,0.0,0.0,382.57,1.57,54.0,892.83,
2006,1,4,3,19.56,98.63,0.0,0.0,0.0,374.88,1.6,49.0,892.36,
2006,1,4,4,19.25,98.96,0.0,0.0,0.0,367.2,1.64,44.0,891.89,
2006,1,4,5,19.88,97.94,0.0,0.0,0.0,366.62,2.03,37.0,892.25,
2006,1,4,6,20.51,96.93,0.0,0.0,0.0,366.03,2.42,30.0,892.6,
2006,1,4,7,21.14,95.91,82.0,18.42,78.0,365.45,2.81,24.0,892.95,
2006,1,4,8,21.9,94.86,303.3,368.03,140.7,373.35,2.79,24.0,892.45,
2006,1,4,9,22.66,93.82,536.0,399.62,279.0,381.25,2.76,24.0,891.95,
2006,1,4,10,23.42,92.77,703.7,559.71,251.8,389.15,2.73,25.0,891.45,
2006,1,4,11,23.92,89.74,992.0,904.22,157.0,392.65,2.42,23.0,890.59,
2006,1,4,12,24.42,86.7,980.0,685.38,306.0,396.15,2.11,22.0,889.74,
2006,1,4,13,24.93,83.67,973.0,670.3,314.0,399.65,1.79,21.0,888.89,
2006,1,4,14,24.79,83.06,785.0,390.16,425.0,398.85,1.89,12.0,888.89,
2006,1,4,15,24.66,82.45,817.0,766.59,199.0,398.05,1.98,3.0,888.89,
2006,1,4,16,24.52,81.84,311.0,34.29,289.0,397.25,2.07,354.0,888.89,
2006,1,4,17,23.63,85.17,373.0,481.85,161.0,395.58,1.83,2.0,889.92,
2006,1,4,18,22.75,88.51,110.0,92.92,90.0,393.92,1.59,9.0,890.95,
2006,1,4,19,21.86,91.84,0.0,0.0,0.0,392.25,1.35,17.0,891.98,
2006,1,4,20,21.4,93.49,0.0,0.0,0.0,391.38,1.87,11.0,892.57,
2006,1,4,21,20.94,95.14,0.0,0.0,0.0,390.52,2.38,5.0,893.16,
2006,1,4,22,20.48,96.79,0.0,0.0,0.0,389.65,2.9,359.0,893.75,
2006,1,4,23,20.34,96.94,0.0,0.0,0.0,386.48,3.03,357.0,893.45,
2006,1,5,0,20.2,97.09,0.0,0.0,0.0,383.32,3.17,356.0,893.16,
2006,1,5,1,20.07,97.24,0.0,0.0,0.0,380.15,3.31,354.0,892.86,
2006,1,5,2,19.93,97.27,0.0,0.0,0.0,383.27,3.14,358.0,892.45,
2006,1,5,3,19.8,97.3,0.0,0.0,0.0,386.38,2.96,2.0,892.04,
2006,1,5,4,19.67,97.33,0.0,0.0,0.0,389.5,2.79,6.0,891.63,
2006,1,5,5,20.06,95.83,0.0,0.0,0.0,394.35,3.25,6.0,891.89,
2006,1,5,6,20.45,94.33,0.0,0.0,0.0,399.2,3.71,6.0,892.16,
2006,1,5,7,20.84,92.83,132.0,181.23,93.0,404.05,4.18,6.0,892.42,
2006,1,5,8,22.09,88.33,301.85,364.82,141.3,401.07,4.4,1.0,892.16,
2006,1,5,9,23.34,83.83,556.0,461.24,260.0,398.08,4.61,356.0,891.89,
2006,1,5,10,24.59,79.33,694.9,541.93,257.85,395.1,4.83,351.0,891.63,
2006,1,5,11,24.95,78.94,382.0,8.67,374.0,398.48,4.72,345.0,890.92,
2006,1,5,12,25.31,78.54,666.0,149.48,519.0,401.87,4.62,339.0,890.21,
2006,1,5,13,25.68,78.15,1090.0,993.28,113.0,405.25,4.51,333.0,889.5,
2006,1,5,14,25.94,73.24,985.0,886.81,166.0,398.42,4.29,335.0,889.39,
2006,1,5,15,26.21,68.32,657.0,344.36,379.0,391.58,4.07,337.0,889.27,
2006,1,5,16,26.48,63.41,333.0,49.78,301.0,384.75,3.85,338.0,889.15,
2006,1,5,17,25.29,66.65,216.0,47.58,195.0,382.85,3.34,352.0,890.15,
2006,1,5,18,24.1,69.88,93.0,41.56,84.0,380.95,2.84,6.0,891.15,
2006,1,5,19,22.92,73.12,0.0,0.0,0.0,379.05,2.33,20.0,892.16,
2006,1,5,20,22.48,75.82,0.0,0.0,0.0,379.23,2.46,23.0,892.75,
2006,1,5,21,22.04,78.53,0.0,0.0,0.0,379.42,2.58,27.0,893.34,
2006,1,5,22,21.6,81.23,0.0,0.0,0.0,379.6,2.7,30.0,893.93,
2006,1,5,23,21.34,83.52,0.0,0.0,0.0,377.88,2.94,27.0,893.72,
2006,1,6,0,21.08,85.81,0.0,0.0,0.0,376.17,3.17,23.0,893.51,
2006,1,6,1,20.82,88.1,0.0,0.0,0.0,374.45,3.41,19.0,893.31,
2006,1,6,2,20.53,89.42,0.0,0.0,0.0,372.43,3.16,19.0,893.16,
