Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1447,Chiredzi,ZWE,Zimbabwe,-21.0495820935,31.66002071,2,439.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2008,1,1,0,23.29,77.53,0.0,0.0,0.0,398.93,2.37,109.0,964.28,
2008,1,1,1,23.21,78.52,0.0,0.0,0.0,397.82,2.42,112.0,964.03,
2008,1,1,2,23.13,79.51,0.0,0.0,0.0,396.72,2.47,198.0,961.88,
2008,1,1,3,23.05,80.5,0.0,0.0,0.0,395.61,2.51,197.0,961.82,
2008,1,1,4,22.97,81.48,0.0,0.0,0.0,394.51,2.56,196.0,961.75,
2008,1,1,5,22.89,82.47,0.0,0.0,0.0,393.41,2.61,188.0,962.07,
2008,1,1,6,22.81,83.46,84.0,96.3,68.0,392.3,2.65,181.0,962.39,
2008,1,1,7,22.72,84.45,36.0,0.0,36.0,391.2,2.7,173.0,962.7,
2008,1,1,8,22.64,85.44,91.0,0.0,91.0,390.1,2.75,173.0,962.36,
2008,1,1,9,22.56,86.43,291.0,5.22,287.0,388.99,2.79,172.0,962.01,
2008,1,1,10,27.05,71.4,700.0,283.21,446.0,406.55,3.56,172.0,961.66,
2008,1,1,11,27.5,69.17,904.0,533.57,383.0,410.9,3.6,172.0,961.03,
2008,1,1,12,27.95,66.93,809.0,319.31,490.0,415.25,3.64,173.0,960.39,
2008,1,1,13,28.4,64.7,776.0,315.65,472.0,419.6,3.68,173.0,959.76,
2008,1,1,14,28.06,66.75,473.0,55.1,425.0,417.48,3.33,168.0,959.48,
2008,1,1,15,27.71,68.79,356.0,32.91,332.0,415.37,2.97,164.0,959.19,
2008,1,1,16,27.37,70.84,282.0,54.8,252.0,413.25,2.62,159.0,958.91,
2008,1,1,17,26.09,76.17,150.0,35.53,138.0,410.88,2.53,153.0,959.29,
2008,1,1,18,24.8,81.49,45.0,43.62,40.0,408.52,2.44,148.0,959.67,
2008,1,1,19,23.52,86.82,0.0,0.0,0.0,406.15,2.34,142.0,960.05,
2008,1,1,20,23.0,86.43,0.0,0.0,0.0,402.98,2.22,144.0,960.43,
2008,1,1,21,22.48,86.04,0.0,0.0,0.0,399.82,2.09,145.0,960.81,
2008,1,1,22,21.97,85.65,0.0,0.0,0.0,396.65,1.96,146.0,961.18,
2008,1,1,23,21.74,87.48,0.0,0.0,0.0,394.48,1.83,171.0,960.93,
2008,1,2,0,21.51,89.32,0.0,0.0,0.0,392.32,1.7,195.0,960.68,
2008,1,2,1,21.28,91.15,0.0,0.0,0.0,390.15,1.57,219.0,960.43,
2008,1,2,2,20.78,92.79,0.0,0.0,0.0,389.18,1.57,219.0,960.43,
2008,1,2,3,20.28,94.43,0.0,0.0,0.0,388.22,1.57,218.0,960.43,
2008,1,2,4,19.78,96.07,0.0,0.0,0.0,387.25,1.57,217.0,960.43,
2008,1,2,5,21.57,90.43,0.0,0.0,0.0,389.73,1.94,206.0,960.81,
2008,1,2,6,23.36,84.78,106.0,256.1,64.0,392.22,2.32,195.0,961.18,
2008,1,2,7,25.15,79.14,156.0,15.56,150.0,394.7,2.69,184.0,961.56,
2008,1,2,8,25.98,75.66,487.0,398.04,252.0,401.35,2.9,183.0,961.15,
2008,1,2,9,26.81,72.18,790.0,835.83,151.0,408.0,3.11,181.0,960.74,
2008,1,2,10,27.64,68.7,939.0,848.15,179.0,414.65,3.32,180.0,960.33,
2008,1,2,11,27.96,68.16,1019.0,820.62,218.0,415.47,3.7,175.0,959.51,
2008,1,2,12,28.27,67.61,963.0,615.54,348.0,416.28,4.08,170.0,958.69,
2008,1,2,13,28.58,67.07,969.0,723.32,272.0,417.1,4.46,164.0,957.86,
2008,1,2,14,27.89,70.9,967.0,1040.18,60.0,417.63,4.04,160.0,957.64,
