Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3873,Kadoma,ZWE,Zimbabwe,-18.3300064913,29.909946654,2,1191.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,20.46,77.86,0.0,0.0,0.0,359.41,2.27,77.0,879.23,
2010,1,1,1,20.59,76.71,0.0,0.0,0.0,357.2,2.21,78.0,879.03,
2010,1,1,2,20.72,75.56,0.0,0.0,0.0,354.98,2.14,48.0,879.63,
2010,1,1,3,20.85,74.41,0.0,0.0,0.0,352.77,2.07,39.0,879.63,
2010,1,1,4,20.98,73.27,0.0,0.0,0.0,350.55,2.01,31.0,879.63,
2010,1,1,5,21.1,72.12,0.0,0.0,0.0,348.34,1.94,21.0,879.89,
2010,1,1,6,21.23,70.97,87.0,372.42,41.0,346.12,1.87,11.0,880.15,
2010,1,1,7,21.36,69.83,323.0,680.71,85.0,343.91,1.8,1.0,880.41,
2010,1,1,8,21.49,68.68,562.0,792.42,118.0,341.7,1.74,43.0,879.87,
2010,1,1,9,21.62,67.53,786.0,895.88,122.0,339.48,1.67,85.0,879.32,
2010,1,1,10,27.15,46.15,960.0,948.97,125.0,365.3,1.81,127.0,878.77,
2010,1,1,11,28.16,41.24,990.0,743.5,271.0,368.97,1.71,127.0,877.58,
2010,1,1,12,29.16,36.32,1025.0,750.5,277.0,372.63,1.61,127.0,876.4,
2010,1,1,13,30.17,31.41,925.0,585.47,359.0,376.3,1.52,126.0,875.21,
2010,1,1,14,30.15,30.2,926.0,844.98,183.0,377.13,1.61,128.0,874.41,
2010,1,1,15,30.14,29.0,613.0,371.45,338.0,377.97,1.71,129.0,873.6,
2010,1,1,16,30.13,27.79,563.0,815.33,107.0,378.8,1.81,131.0,872.79,
2010,1,1,17,28.78,30.09,307.0,596.85,99.0,376.05,2.04,130.0,873.16,
2010,1,1,18,27.43,32.38,77.0,286.1,42.0,373.3,2.27,129.0,873.54,
2010,1,1,19,26.08,34.68,0.0,0.0,0.0,370.55,2.5,127.0,873.91,
2010,1,1,20,25.34,37.78,0.0,0.0,0.0,368.43,2.22,118.0,874.95,
2010,1,1,21,24.6,40.89,0.0,0.0,0.0,366.32,1.94,108.0,875.99,
2010,1,1,22,23.85,43.99,0.0,0.0,0.0,364.2,1.67,98.0,877.03,
2010,1,1,23,23.21,48.73,0.0,0.0,0.0,362.05,1.83,85.0,877.29,
2010,1,2,0,22.56,53.47,0.0,0.0,0.0,359.9,1.98,72.0,877.55,
2010,1,2,1,21.92,58.21,0.0,0.0,0.0,357.75,2.14,58.0,877.81,
2010,1,2,2,21.2,61.9,0.0,0.0,0.0,356.5,1.99,49.0,877.96,
2010,1,2,3,20.48,65.6,0.0,0.0,0.0,355.25,1.84,40.0,878.1,
2010,1,2,4,19.76,69.29,0.0,0.0,0.0,354.0,1.7,30.0,878.25,
2010,1,2,5,21.08,66.59,0.0,0.0,0.0,352.87,2.11,17.0,878.54,
2010,1,2,6,22.4,63.88,72.0,205.96,47.0,351.73,2.53,4.0,878.83,
2010,1,2,7,23.72,61.18,293.0,497.55,120.0,350.6,2.95,351.0,879.11,
2010,1,2,8,25.01,56.1,354.0,136.04,278.0,356.7,2.64,344.0,878.54,
2010,1,2,9,26.29,51.01,772.0,847.38,145.0,362.8,2.34,337.0,877.96,
2010,1,2,10,27.58,45.93,923.0,830.4,193.0,368.9,2.03,329.0,877.38,
2010,1,2,11,28.43,41.26,1030.0,855.48,203.0,372.08,1.59,15.0,876.14,
2010,1,2,12,29.28,36.6,1109.0,985.16,127.0,375.27,1.14,61.0,874.9,
2010,1,2,13,30.14,31.93,1018.0,821.89,223.0,378.45,0.7,107.0,873.65,
2010,1,2,14,29.62,33.77,840.0,594.18,317.0,383.38,0.69,90.0,873.31,
2010,1,2,15,29.1,35.6,767.0,828.05,153.0,388.32,0.69,73.0,872.96,
2010,1,2,16,28.59,37.44,465.0,408.49,236.0,393.25,0.68,56.0,872.61,
2010,1,2,17,27.32,41.27,305.0,577.39,103.0,390.23,0.99,24.0,873.28,
2010,1,2,18,26.06,45.11,73.0,226.53,45.0,387.22,1.3,353.0,873.94,
2010,1,2,19,24.8,48.94,0.0,0.0,0.0,384.2,1.61,322.0,874.61,
2010,1,2,20,24.07,52.57,0.0,0.0,0.0,379.55,1.86,340.0,875.56,
2010,1,2,21,23.33,56.2,0.0,0.0,0.0,374.9,2.11,358.0,876.51,
2010,1,2,22,22.59,59.83,0.0,0.0,0.0,370.25,2.36,17.0,877.47,
2010,1,2,23,21.94,66.23,0.0,0.0,0.0,366.97,2.17,13.0,877.79,
2010,1,3,0,21.29,72.63,0.0,0.0,0.0,363.68,1.98,10.0,878.1,
2010,1,3,1,20.64,79.03,0.0,0.0,0.0,360.4,1.79,7.0,878.42,
2010,1,3,2,20.22,82.95,0.0,0.0,0.0,362.62,1.75,6.0,878.68,
2010,1,3,3,19.81,86.87,0.0,0.0,0.0,364.83,1.71,5.0,878.94,
2010,1,3,4,19.4,90.79,0.0,0.0,0.0,367.05,1.67,4.0,879.2,
