Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1441,Victoria Falls,ZWE,Zimbabwe,-17.9296174939,25.8400141995,2,923.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2009,1,1,0,22.0,93.14,0.0,0.0,0.0,390.03,1.51,119.0,906.98,
2009,1,1,1,22.16,92.59,0.0,0.0,0.0,388.48,1.53,120.0,906.77,
2009,1,1,2,22.33,92.04,0.0,0.0,0.0,386.93,1.56,29.0,905.28,
2009,1,1,3,22.49,91.49,0.0,0.0,0.0,385.38,1.59,30.0,905.22,
2009,1,1,4,22.65,90.94,0.0,0.0,0.0,383.84,1.61,31.0,905.16,
2009,1,1,5,22.81,90.39,0.0,0.0,0.0,382.29,1.64,34.0,905.49,
2009,1,1,6,22.98,89.84,13.0,0.0,13.0,380.74,1.67,37.0,905.81,
2009,1,1,7,23.14,89.29,111.0,17.42,106.0,379.19,1.69,40.0,906.14,
2009,1,1,8,23.3,88.74,319.0,144.87,246.0,377.64,1.72,51.0,906.02,
2009,1,1,9,23.46,88.19,662.0,633.46,222.0,376.09,1.75,63.0,905.9,
2009,1,1,10,27.6,78.7,811.0,616.91,289.0,399.4,1.63,74.0,905.78,
2009,1,1,11,27.49,78.63,799.0,371.21,447.0,400.67,1.6,90.0,905.04,
2009,1,1,12,27.38,78.55,966.0,623.8,346.0,401.93,1.56,106.0,904.29,
2009,1,1,13,27.26,78.48,691.0,178.56,516.0,403.2,1.53,121.0,903.55,
2009,1,1,14,26.62,78.83,703.0,271.04,457.0,399.7,1.29,150.0,903.78,
2009,1,1,15,25.98,79.17,501.0,127.96,401.0,396.2,1.05,179.0,904.02,
2009,1,1,16,25.34,79.52,217.0,3.28,215.0,392.7,0.81,207.0,904.26,
2009,1,1,17,24.29,82.42,200.0,51.75,179.0,387.72,0.94,255.0,904.59,
2009,1,1,18,23.23,85.33,73.0,33.01,67.0,382.73,1.06,303.0,904.92,
2009,1,1,19,22.17,88.23,0.0,0.0,0.0,377.75,1.19,351.0,905.25,
2009,1,1,20,21.6,91.02,0.0,0.0,0.0,372.25,1.49,347.0,905.72,
2009,1,1,21,21.03,93.82,0.0,0.0,0.0,366.75,1.8,344.0,906.2,
2009,1,1,22,20.45,96.61,0.0,0.0,0.0,361.25,2.11,340.0,906.68,
2009,1,1,23,20.19,97.26,0.0,0.0,0.0,359.0,1.98,332.0,906.44,
2009,1,2,0,19.93,97.92,0.0,0.0,0.0,356.75,1.84,324.0,906.2,
2009,1,2,1,19.66,98.57,0.0,0.0,0.0,354.5,1.71,316.0,905.96,
2009,1,2,2,19.48,98.38,0.0,0.0,0.0,355.22,1.56,323.0,905.78,
